Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
40.00,+46.05%,32.15,34.03,35.90,0.00,0.00,unch,0,0,0.00,324.07%,Call,N/A
45.00,+39.30%,28.15,29.08,30.00,0.00,0.00,unch,0,0,0.00,223.70%,Call,N/A
50.00,+32.56%,21.90,24.08,26.25,0.00,0.00,unch,0,0,0.00,243.89%,Call,N/A
51.00,+31.21%,20.95,23.10,25.25,0.00,0.00,unch,0,0,0.00,234.98%,Call,N/A
52.00,+29.86%,19.65,22.08,24.50,0.00,0.00,unch,0,0,0.00,235.77%,Call,N/A
53.00,+28.51%,18.70,21.03,23.35,0.00,0.00,unch,0,0,0.00,221.33%,Call,N/A
54.00,+27.16%,17.70,20.03,22.35,0.00,0.00,unch,0,0,0.00,212.71%,Call,N/A
55.00,+25.82%,16.70,19.08,21.45,21.70,1.21,+5.91%,1,2,0.50,207.74%,Call,01/13/21
56.00,+24.47%,15.85,18.15,20.45,0.00,0.00,unch,0,0,0.00,66.14%,Call,N/A
57.00,+23.12%,14.75,16.75,18.75,0.00,0.00,unch,0,0,0.00,166.32%,Call,N/A
58.00,+21.77%,13.65,15.68,17.70,0.00,0.00,unch,0,0,0.00,156.85%,Call,N/A
59.00,+20.42%,12.70,15.05,17.40,12.82,0.12,+0.94%,1,22,0.05,172.72%,Call,01/28/21
60.00,+19.07%,11.70,13.92,16.15,12.90,0.61,+4.96%,10,10,1.00,156.73%,Call,02/05/21
61.00,+17.72%,10.70,13.08,15.45,13.07,2.02,+18.28%,1,8,0.13,158.03%,Call,02/08/21
62.00,+16.37%,9.70,12.02,14.35,11.16,1.16,+11.60%,1,6,0.17,147.03%,Call,01/05/21
63.00,+15.03%,8.70,10.93,13.15,10.43,-2.92,-21.87%,2,3,0.67,133.28%,Call,02/05/21
64.00,+13.68%,8.75,9.55,10.35,10.02,0.47,+4.92%,27,639,0.04,60.03%,Call,02/08/21
65.00,+12.33%,6.70,8.93,11.15,8.38,0.67,+8.69%,5,80,0.06,117.76%,Call,02/05/21
66.00,+10.98%,6.85,8.68,10.50,5.19,-3.36,-39.30%,5,7,0.71,64.95%,Call,01/27/21
67.00,+9.63%,5.75,7.10,8.45,5.59,0.59,+11.80%,1,10,0.10,83.36%,Call,02/02/21
67.50,+8.96%,5.15,6.43,7.70,0.00,0.00,unch,0,0,0.00,72.70%,Call,N/A
68.00,+8.28%,4.75,5.98,7.20,6.25,0.85,+15.74%,4,22,0.18,34.01%,Call,02/08/21
68.50,+7.61%,4.30,5.45,6.60,5.09,5.09,unch,20,20,1.00,62.99%,Call,02/05/21
69.00,+6.93%,3.45,5.15,6.85,6.00,-2.00,-25.00%,2,3,0.67,18.51%,Call,01/22/21
69.50,+6.26%,2.25,4.48,6.70,4.85,4.85,unch,2,2,1.00,83.47%,Call,01/26/21
70.00,+5.58%,2.93,3.97,5.00,4.38,0.73,+20.00%,13,387,0.03,30.74%,Call,02/08/21
70.50,+4.91%,1.35,3.58,5.80,2.84,-0.29,-9.27%,1,21,0.05,77.50%,Call,02/02/21
71.00,+4.24%,2.40,3.22,4.05,3.30,0.99,+42.86%,12,127,0.09,22.21%,Call,02/08/21
71.50,+3.56%,0.59,2.30,4.00,3.00,1.32,+78.57%,4,21,0.19,26.23%,Call,02/08/21
72.00,+2.89%,0.47,2.74,5.00,2.04,0.34,+20.00%,23,107,0.21,29.26%,Call,02/05/21
72.50,+2.21%,1.42,2.19,2.96,2.23,0.65,+41.14%,5,19,0.26,25.58%,Call,02/08/21
73.00,+1.54%,1.22,1.73,2.23,1.76,0.37,+26.62%,21,155,0.14,22.52%,Call,02/08/21
73.50,+0.86%,0.96,1.48,2.01,1.08,0.26,+31.71%,7,11,0.64,23.26%,Call,02/05/21
74.00,+0.19%,0.84,1.16,1.47,1.06,0.15,+16.48%,78,"3,019",0.03,20.16%,Call,02/08/21
74.50,-0.49%,0.50,0.83,1.16,0.82,0.18,+28.12%,20,25,0.80,20.12%,Call,02/08/21
75.00,-1.16%,0.40,0.63,0.85,0.60,0.11,+22.45%,7,357,0.02,19.66%,Call,02/08/21
75.50,-1.83%,0.07,0.56,1.04,0.49,0.21,+75.00%,1,14,0.07,20.82%,Call,02/08/21
76.00,-2.51%,0.03,0.23,0.43,0.31,0.08,+34.78%,8,"4,617",0.00,19.52%,Call,02/08/21
76.50,-3.18%,0.04,0.31,0.57,0.27,0.01,+3.85%,7,2,3.50,21.21%,Call,02/08/21
77.00,-3.86%,0.08,0.27,0.45,0.20,0.08,+66.67%,2,"5,681",0.00,21.54%,Call,02/08/21
77.50,-4.53%,0.04,0.19,0.35,0.40,-0.11,-21.57%,3,4,0.75,23.78%,Call,01/28/21
78.00,-5.21%,0.01,0.12,0.22,0.11,-0.02,-15.38%,4,"2,217",0.00,0.00%,Call,02/05/21
78.50,-5.88%,0.04,0.14,0.24,0.91,0.91,unch,34,34,1.00,0.00%,Call,01/19/21
79.00,-6.56%,0.03,0.10,0.17,0.07,-0.01,-12.50%,2,"2,747",0.00,0.00%,Call,02/05/21
79.50,-7.23%,0.01,0.09,0.17,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
80.00,-7.90%,0.02,0.05,0.08,0.03,-0.01,-25.00%,22,466,0.05,23.66%,Call,02/08/21
80.50,-8.58%,0.01,0.09,0.16,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
81.00,-9.25%,0.03,0.06,0.08,0.03,-0.01,-25.00%,20,187,0.11,26.84%,Call,02/08/21
82.00,-10.60%,0.05,0.05,0.05,0.03,-0.02,-40.00%,11,77,0.14,0.00%,Call,02/05/21
83.00,-11.95%,0.05,0.10,0.14,0.05,-0.09,-64.29%,2,53,0.04,35.69%,Call,02/08/21
84.00,-13.30%,0.02,0.08,0.14,0.04,-0.13,-76.47%,2,6,0.33,0.00%,Call,02/02/21
85.00,-14.65%,0.05,0.09,0.13,0.06,-0.06,-50.00%,10,376,0.03,0.00%,Call,01/28/21
86.00,-16.00%,0.01,0.08,0.14,0.04,-0.41,-91.11%,4,5,0.80,0.00%,Call,02/05/21
90.00,-21.39%,0.02,0.03,0.03,0.04,-0.06,-60.00%,2,3,0.67,0.00%,Call,01/12/21
40.00,-46.05%,0.01,0.07,0.12,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
45.00,-39.30%,0.01,0.18,0.34,0.05,0.05,unch,4,4,1.00,0.00%,Put,01/11/21
50.00,-32.56%,0.01,0.07,0.12,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
51.00,-31.21%,0.01,0.07,0.12,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
52.00,-29.86%,0.01,0.07,0.13,0.00,0.00,unch,0,3,0.00,0.00%,Put,N/A
53.00,-28.51%,0.01,0.07,0.13,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
54.00,-27.16%,0.01,0.07,0.13,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
