Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
40.00,+45.62%,31.20,33.60,36.00,0.00,0.00,unch,0,0,0.00,210.57%,Call,N/A
45.00,+38.82%,26.20,28.60,31.00,0.00,0.00,unch,0,0,0.00,173.46%,Call,N/A
50.00,+32.02%,21.20,23.60,26.00,0.00,0.00,unch,0,0,0.00,139.91%,Call,N/A
55.00,+25.22%,16.15,18.58,21.00,0.00,0.00,unch,0,0,0.00,100.78%,Call,N/A
60.00,+18.42%,11.00,13.40,15.80,14.90,0.60,+4.20%,3,4,0.75,208.20%,Call,02/25/21
64.00,+12.98%,7.05,9.53,12.00,10.08,-0.39,-3.72%,2,1,2.00,95.90%,Call,02/26/21
65.00,+11.62%,6.00,8.35,10.70,0.00,0.00,unch,0,0,0.00,152.65%,Call,N/A
66.00,+10.27%,5.15,7.58,10.00,8.90,0.05,+0.56%,2,1,2.00,42.92%,Call,02/16/21
66.50,+9.59%,4.60,7.05,9.50,0.00,0.00,unch,0,0,0.00,30.68%,Call,N/A
67.00,+8.91%,4.00,6.30,8.60,8.25,1.65,+25.00%,1,2,0.50,128.68%,Call,02/25/21
67.50,+8.23%,3.65,6.08,8.50,0.00,0.00,unch,0,0,0.00,35.30%,Call,N/A
68.00,+7.55%,3.00,5.33,7.65,0.00,0.00,unch,0,0,0.00,119.88%,Call,N/A
69.00,+6.19%,2.20,4.60,7.00,0.00,0.00,unch,0,0,0.00,30.70%,Call,N/A
69.50,+5.51%,1.65,4.08,6.50,0.00,0.00,unch,0,0,0.00,25.03%,Call,N/A
70.00,+4.83%,1.65,3.97,6.30,5.50,5.50,unch,160,80,2.00,44.55%,Call,02/22/21
70.50,+4.15%,1.10,3.50,5.90,3.17,0.34,+12.01%,1,1,1.00,41.45%,Call,02/04/21
71.00,+3.47%,0.50,2.85,5.20,3.31,0.26,+8.52%,3,3,1.00,31.70%,Call,02/11/21
71.50,+2.79%,0.15,2.58,5.00,2.51,0.19,+8.19%,1,3,0.33,35.47%,Call,02/04/21
72.00,+2.11%,0.31,2.66,5.00,3.67,1.21,+49.19%,1,2,0.50,47.95%,Call,02/25/21
72.50,+1.43%,0.02,2.49,4.95,2.12,2.12,unch,3,2,1.50,51.54%,Call,02/02/21
73.00,+0.75%,0.10,2.25,4.40,1.69,-0.16,-8.65%,211,18,11.72,37.56%,Call,02/26/21
73.50,+0.07%,0.25,2.43,4.60,1.77,1.77,unch,10,0,0.00,46.64%,Call,02/26/21
74.00,-0.61%,0.10,2.18,4.25,1.06,-0.74,-41.11%,2,32,0.06,33.93%,Call,02/26/21
74.50,-1.29%,0.08,1.87,3.65,0.74,-0.50,-40.32%,4,5,0.80,30.64%,Call,02/26/21
75.00,-1.97%,0.04,0.39,0.74,0.60,-1.43,-70.44%,36,84,0.43,31.41%,Call,02/26/21
75.50,-2.65%,0.11,0.34,0.57,0.50,-0.36,-41.86%,2,41,0.05,32.64%,Call,02/26/21
76.00,-3.33%,0.03,0.19,0.35,0.40,-0.35,-46.67%,1,"2,665",0.00,25.06%,Call,02/26/21
76.50,-4.01%,0.01,1.01,2.00,0.46,-0.49,-51.58%,4,18,0.22,56.68%,Call,02/25/21
77.00,-4.69%,0.01,0.98,1.94,0.19,-1.00,-84.03%,3,53,0.06,31.39%,Call,02/26/21
77.50,-5.37%,0.01,0.94,1.86,0.33,-0.30,-47.62%,3,1,3.00,62.65%,Call,02/25/21
78.00,-6.05%,0.05,0.44,0.82,0.06,-0.39,-86.67%,15,10,1.50,28.29%,Call,02/26/21
78.50,-6.73%,0.06,1.03,1.99,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
79.00,-7.41%,0.02,0.98,1.94,0.13,-0.10,-43.48%,9,"5,012",0.00,75.42%,Call,02/25/21
79.50,-8.09%,0.08,0.99,1.90,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
80.00,-8.77%,0.02,0.11,0.20,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
80.50,-9.45%,0.01,0.97,1.93,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
81.00,-10.13%,0.01,0.98,1.94,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
81.50,-10.81%,0.02,0.95,1.87,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
82.00,-11.49%,0.02,0.90,1.77,0.06,-1.45,-96.03%,1,1,1.00,0.00%,Call,02/24/21
82.50,-12.17%,0.01,0.89,1.77,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
83.00,-12.85%,0.01,0.93,1.85,0.15,0.15,unch,1,1,1.00,0.00%,Call,01/26/21
85.00,-15.57%,0.01,0.95,1.88,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
90.00,-22.37%,0.01,0.96,1.91,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
40.00,-45.62%,0.04,0.88,1.72,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
45.00,-38.82%,0.05,0.91,1.76,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
50.00,-32.02%,0.02,0.98,1.94,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
55.00,-25.22%,0.05,0.99,1.93,0.27,0.27,unch,10,10,1.00,0.00%,Put,01/25/21
60.00,-18.42%,0.01,0.87,1.73,0.29,0.29,unch,1,1,1.00,0.00%,Put,01/26/21
64.00,-12.98%,0.01,0.10,0.19,0.21,-0.05,-19.23%,1,6,0.17,0.00%,Put,02/18/21
65.00,-11.62%,0.01,0.91,1.80,0.32,-0.48,-60.00%,1,2,0.50,0.00%,Put,02/04/21
