Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLB|20210312|70.50C,XLB,70.50,+6.10%,3.90,4.83,5.75,0.00,-3.33,-100.00%,0,0,0.00,35.56%,Call,9,03/12/21,N/A,22.68%
XLB|20210312|71.00C,XLB,71.00,+5.43%,3.50,4.40,5.30,0.00,-4.00,-100.00%,0,0,0.00,35.56%,Call,9,03/12/21,N/A,22.68%
XLB|20210312|71.50C,XLB,71.50,+4.77%,2.61,3.63,4.65,0.00,0.00,unch,0,0,0.00,20.55%,Call,9,03/12/21,N/A,22.68%
XLB|20210312|72.00C,XLB,72.00,+4.10%,2.95,3.30,3.65,0.00,-3.25,-100.00%,0,0,0.00,26.03%,Call,9,03/12/21,N/A,22.68%
XLB|20210312|72.50C,XLB,72.50,+3.44%,2.53,2.94,3.35,0.00,-2.40,-100.00%,0,0,0.00,27.56%,Call,9,03/12/21,N/A,22.68%
XLB|20210312|73.00C,XLB,73.00,+2.77%,2.33,2.60,2.87,0.00,0.00,unch,0,0,0.00,28.60%,Call,9,03/12/21,N/A,22.68%
XLB|20210312|73.50C,XLB,73.50,+2.10%,1.75,2.13,2.50,2.57,-0.39,-13.18%,1,526,0.00,25.55%,Call,9,03/12/21,03/03/21,22.68%
XLB|20210312|74.00C,XLB,74.00,+1.44%,1.63,1.87,2.11,0.00,-2.85,-100.00%,0,0,0.00,27.28%,Call,9,03/12/21,N/A,22.68%
XLB|20210312|74.50C,XLB,74.50,+0.77%,1.22,1.47,1.72,0.00,-1.64,-100.00%,0,0,0.00,25.01%,Call,9,03/12/21,N/A,22.68%
XLB|20210312|75.00C,XLB,75.00,+0.11%,1.04,1.21,1.39,0.00,-1.18,-100.00%,0,0,0.00,25.27%,Call,9,03/12/21,N/A,22.68%
XLB|20210312|75.50C,XLB,75.50,-0.56%,0.76,0.94,1.12,1.06,-0.16,-13.11%,3,22,0.14,26.94%,Call,9,03/12/21,03/03/21,22.68%
XLB|20210312|76.00C,XLB,76.00,-1.23%,0.57,0.85,1.12,0.88,-0.19,-17.76%,12,"3,161",0.00,27.45%,Call,9,03/12/21,03/03/21,22.68%
XLB|20210312|76.50C,XLB,76.50,-1.89%,0.43,0.54,0.65,0.00,-0.76,-100.00%,0,0,0.00,23.54%,Call,9,03/12/21,N/A,22.68%
XLB|20210312|77.00C,XLB,77.00,-2.56%,0.28,0.39,0.50,0.46,-0.24,-34.29%,3,28,0.11,24.95%,Call,9,03/12/21,03/03/21,22.68%
XLB|20210312|77.50C,XLB,77.50,-3.22%,0.19,0.28,0.36,0.37,-0.10,-21.28%,2,8,0.25,22.76%,Call,9,03/12/21,03/03/21,22.68%
XLB|20210312|78.00C,XLB,78.00,-3.89%,0.13,0.21,0.28,0.00,-0.30,-100.00%,0,0,0.00,23.09%,Call,9,03/12/21,N/A,22.68%
XLB|20210312|79.00C,XLB,79.00,-5.22%,0.02,0.10,0.18,0.00,0.00,unch,0,0,0.00,23.12%,Call,9,03/12/21,N/A,22.68%
XLB|20210312|80.00C,XLB,80.00,-6.55%,0.01,0.06,0.11,0.00,-0.25,-100.00%,0,0,0.00,0.00%,Call,9,03/12/21,N/A,22.68%
XLB|20210312|81.00C,XLB,81.00,-7.88%,0.01,0.05,0.08,0.00,0.00,unch,0,0,0.00,0.00%,Call,9,03/12/21,N/A,22.68%
XLB|20210312|82.00C,XLB,82.00,-9.22%,0.02,0.05,0.07,0.00,0.00,unch,0,0,0.00,0.00%,Call,9,03/12/21,N/A,22.68%
XLB|20210312|70.50P,XLB,70.50,-6.10%,0.02,0.32,0.61,0.00,0.00,unch,0,0,0.00,0.00%,Put,9,03/12/21,N/A,22.68%
XLB|20210312|71.00P,XLB,71.00,-5.43%,0.04,0.19,0.34,0.00,-0.60,-100.00%,0,0,0.00,29.48%,Put,9,03/12/21,N/A,22.68%
XLB|20210312|71.50P,XLB,71.50,-4.77%,0.16,0.30,0.43,0.00,-0.53,-100.00%,0,0,0.00,30.84%,Put,9,03/12/21,N/A,22.68%
XLB|20210312|72.00P,XLB,72.00,-4.10%,0.11,0.27,0.42,0.23,-0.49,-68.06%,10,31,0.32,25.55%,Put,9,03/12/21,03/03/21,22.68%
XLB|20210312|72.50P,XLB,72.50,-3.44%,0.27,0.41,0.55,0.00,0.00,unch,0,0,0.00,28.32%,Put,9,03/12/21,N/A,22.68%
XLB|20210312|73.00P,XLB,73.00,-2.77%,0.32,0.49,0.65,0.00,-0.91,-100.00%,0,0,0.00,27.01%,Put,9,03/12/21,N/A,22.68%
