Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLB|20210319|30.00C,XLB,30.00,+59.64%,44.10,44.43,44.75,37.93,1.18,+3.21%,2,1,2.00,143.09%,Call,34,03/19/21,11/06/20,23.50%
XLB|20210319|35.00C,XLB,35.00,+52.92%,38.90,39.40,39.90,0.00,0.00,unch,0,0,0.00,116.74%,Call,34,03/19/21,N/A,23.50%
XLB|20210319|40.00C,XLB,40.00,+46.19%,33.45,34.38,35.30,0.00,0.00,unch,0,0,0.00,93.61%,Call,34,03/19/21,N/A,23.50%
XLB|20210319|44.00C,XLB,44.00,+40.81%,29.20,30.35,31.50,0.00,0.00,unch,0,0,0.00,74.89%,Call,34,03/19/21,N/A,23.50%
XLB|20210319|45.00C,XLB,45.00,+39.47%,28.10,29.30,30.50,19.50,1.10,+5.98%,1,1,1.00,134.00%,Call,34,03/19/21,10/27/20,23.50%
XLB|20210319|46.00C,XLB,46.00,+38.12%,27.05,28.23,29.40,0.00,0.00,unch,0,0,0.00,126.27%,Call,34,03/19/21,N/A,23.50%
XLB|20210319|47.00C,XLB,47.00,+36.78%,26.00,27.40,28.80,18.50,18.50,unch,6,6,1.00,75.01%,Call,34,03/19/21,09/10/20,23.50%
XLB|20210319|48.00C,XLB,48.00,+35.43%,24.95,26.42,27.90,0.00,0.00,unch,0,0,0.00,74.65%,Call,34,03/19/21,N/A,23.50%
XLB|20210319|49.00C,XLB,49.00,+34.09%,23.90,25.17,26.45,22.44,3.24,+16.88%,2,2,1.00,114.43%,Call,34,03/19/21,12/23/20,23.50%
XLB|20210319|50.00C,XLB,50.00,+32.74%,22.85,23.95,25.05,21.75,7.35,+51.04%,1,6,0.17,98.17%,Call,34,03/19/21,12/18/20,23.50%
XLB|20210319|51.00C,XLB,51.00,+31.40%,21.80,22.98,24.15,17.70,2.72,+18.16%,5,5,1.00,97.38%,Call,34,03/19/21,11/05/20,23.50%
XLB|20210319|52.00C,XLB,52.00,+30.05%,20.75,21.98,23.20,19.62,0.51,+2.67%,2,1,2.00,94.90%,Call,34,03/19/21,11/27/20,23.50%
XLB|20210319|53.00C,XLB,53.00,+28.71%,19.70,20.98,22.25,11.17,-3.33,-22.97%,1,1,1.00,92.36%,Call,34,03/19/21,10/30/20,23.50%
XLB|20210319|54.00C,XLB,54.00,+27.36%,19.30,20.08,20.85,14.15,2.80,+24.67%,1,2,0.50,76.67%,Call,34,03/19/21,11/12/20,23.50%
XLB|20210319|55.00C,XLB,55.00,+26.02%,18.30,19.10,19.90,17.62,1.07,+6.47%,1,21,0.05,74.77%,Call,34,03/19/21,01/28/21,23.50%
XLB|20210319|56.00C,XLB,56.00,+24.67%,17.30,18.13,18.95,16.03,1.42,+9.72%,1,5,0.20,72.76%,Call,34,03/19/21,12/08/20,23.50%
XLB|20210319|57.00C,XLB,57.00,+23.33%,16.30,17.33,18.35,17.20,1.56,+9.97%,2,7,0.29,79.39%,Call,34,03/19/21,02/08/21,23.50%
XLB|20210319|58.00C,XLB,58.00,+21.98%,14.65,16.53,18.40,14.00,0.50,+3.70%,1,29,0.03,51.48%,Call,34,03/19/21,01/04/21,23.50%
XLB|20210319|59.00C,XLB,59.00,+20.63%,13.60,15.50,17.40,7.40,-2.15,-22.51%,2,2,1.00,47.46%,Call,34,03/19/21,09/29/20,23.50%
XLB|20210319|60.00C,XLB,60.00,+19.29%,13.30,14.60,15.90,13.86,-0.49,-3.41%,3,288,0.01,48.62%,Call,34,03/19/21,02/10/21,23.50%
XLB|20210319|61.00C,XLB,61.00,+17.94%,12.45,13.45,14.45,13.25,-1.75,-11.67%,1,51,0.02,39.54%,Call,34,03/19/21,02/10/21,23.50%
XLB|20210319|62.00C,XLB,62.00,+16.60%,10.60,12.58,14.55,11.70,0.20,+1.74%,16,258,0.06,81.50%,Call,34,03/19/21,02/12/21,23.50%
XLB|20210319|63.00C,XLB,63.00,+15.25%,10.20,11.60,13.00,11.55,0.65,+5.96%,34,"1,074",0.03,38.12%,Call,34,03/19/21,02/12/21,23.50%
XLB|20210319|64.00C,XLB,64.00,+13.91%,8.60,10.65,12.70,10.15,0.35,+3.57%,5,206,0.02,38.27%,Call,34,03/19/21,02/11/21,23.50%
XLB|20210319|65.00C,XLB,65.00,+12.56%,9.30,9.78,10.25,9.45,0.45,+5.00%,38,"1,137",0.03,28.98%,Call,34,03/19/21,02/12/21,23.50%
XLB|20210319|66.00C,XLB,66.00,+11.22%,6.70,8.35,10.00,8.20,0.05,+0.61%,6,578,0.01,20.86%,Call,34,03/19/21,02/11/21,23.50%
