Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLB|20210409|55.00C,XLB,55.00,+27.47%,19.35,21.18,23.00,0.00,0.00,unch,0,0,0.00,67.08%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|60.00C,XLB,60.00,+20.88%,14.10,16.10,18.10,0.00,0.00,unch,0,0,0.00,49.71%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|65.00C,XLB,65.00,+14.28%,9.05,10.90,12.75,0.00,0.00,unch,0,0,0.00,28.93%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|67.00C,XLB,67.00,+11.64%,7.45,9.30,11.15,0.00,0.00,unch,0,0,0.00,34.89%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|68.00C,XLB,68.00,+10.33%,6.70,8.45,10.20,0.00,0.00,unch,0,0,0.00,34.64%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|69.50C,XLB,69.50,+8.35%,5.85,7.25,8.65,0.00,0.00,unch,0,0,0.00,34.49%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|70.00C,XLB,70.00,+7.69%,5.40,6.78,8.15,0.00,0.00,unch,0,0,0.00,33.13%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|70.50C,XLB,70.50,+7.03%,3.50,5.85,8.20,0.00,0.00,unch,0,0,0.00,25.16%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|71.00C,XLB,71.00,+6.37%,4.45,5.85,7.25,0.00,0.00,unch,0,0,0.00,30.64%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|71.50C,XLB,71.50,+5.71%,3.45,5.43,7.40,0.00,0.00,unch,0,0,0.00,29.80%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|72.00C,XLB,72.00,+5.05%,2.79,4.90,7.00,0.00,0.00,unch,0,0,0.00,27.58%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|72.50C,XLB,72.50,+4.39%,3.45,4.58,5.70,0.00,0.00,unch,0,0,0.00,27.86%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|73.00C,XLB,73.00,+3.73%,3.00,4.18,5.35,0.00,0.00,unch,0,0,0.00,27.04%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|73.50C,XLB,73.50,+3.07%,2.69,3.77,4.85,0.00,0.00,unch,0,0,0.00,26.06%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|74.00C,XLB,74.00,+2.41%,1.64,3.74,5.85,0.00,0.00,unch,0,0,0.00,29.07%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|74.50C,XLB,74.50,+1.75%,2.37,2.99,3.60,0.00,0.00,unch,0,0,0.00,24.03%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|75.00C,XLB,75.00,+1.09%,0.66,2.83,5.00,0.00,0.00,unch,0,0,0.00,25.29%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|75.50C,XLB,75.50,+0.44%,0.42,2.61,4.80,0.00,0.00,unch,0,0,0.00,25.68%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|76.00C,XLB,76.00,-0.22%,1.56,2.01,2.45,2.02,0.17,+9.19%,1,1,1.00,22.10%,Call,38,04/09/21,03/02/21,22.10%
XLB|20210409|76.50C,XLB,76.50,-0.88%,0.97,2.99,5.00,0.00,0.00,unch,0,0,0.00,34.33%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|77.00C,XLB,77.00,-1.54%,0.27,2.59,4.90,0.00,0.00,unch,0,0,0.00,32.42%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|77.50C,XLB,77.50,-2.20%,0.24,2.57,4.90,0.00,0.00,unch,0,0,0.00,34.37%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|78.00C,XLB,78.00,-2.86%,0.19,2.55,4.90,0.00,0.00,unch,0,0,0.00,36.12%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|78.50C,XLB,78.50,-3.52%,0.67,0.94,1.20,0.00,0.00,unch,0,0,0.00,20.47%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|79.00C,XLB,79.00,-4.18%,0.13,2.49,4.85,0.00,0.00,unch,0,0,0.00,39.35%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|79.50C,XLB,79.50,-4.84%,0.42,0.67,0.91,0.00,0.00,unch,0,0,0.00,20.20%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|80.00C,XLB,80.00,-5.50%,0.38,0.71,1.04,0.00,0.00,unch,0,0,0.00,22.23%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|80.50C,XLB,80.50,-6.16%,0.29,0.69,1.08,0.00,0.00,unch,0,0,0.00,23.28%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|81.00C,XLB,81.00,-6.82%,0.25,0.41,0.56,0.00,0.00,unch,0,0,0.00,20.33%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|81.50C,XLB,81.50,-7.48%,0.08,0.43,0.78,0.00,0.00,unch,0,0,0.00,21.96%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|82.00C,XLB,82.00,-8.14%,0.01,0.44,0.86,0.00,0.00,unch,0,0,0.00,23.24%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|82.50C,XLB,82.50,-8.80%,0.02,0.42,0.82,0.00,0.00,unch,0,0,0.00,24.13%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|83.00C,XLB,83.00,-9.46%,0.03,0.46,0.89,0.00,0.00,unch,0,0,0.00,25.99%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|83.50C,XLB,83.50,-10.11%,0.03,0.53,1.03,0.00,0.00,unch,0,0,0.00,28.37%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|85.00C,XLB,85.00,-12.09%,0.01,0.55,1.09,0.00,0.00,unch,0,0,0.00,32.09%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|90.00C,XLB,90.00,-18.69%,0.01,0.29,0.57,0.00,0.00,unch,0,0,0.00,36.05%,Call,38,04/09/21,N/A,22.10%
XLB|20210409|55.00P,XLB,55.00,-27.47%,0.00,0.52,1.04,0.00,0.00,unch,0,0,0.00,0.00%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|60.00P,XLB,60.00,-20.88%,0.00,0.54,1.08,0.00,0.00,unch,0,0,0.00,0.00%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|65.00P,XLB,65.00,-14.28%,0.00,0.61,1.22,0.00,0.00,unch,0,0,0.00,0.00%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|67.00P,XLB,67.00,-11.64%,0.03,0.68,1.33,0.00,0.00,unch,0,0,0.00,0.00%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|68.00P,XLB,68.00,-10.33%,0.10,0.71,1.31,0.00,0.00,unch,0,0,0.00,34.39%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|69.50P,XLB,69.50,-8.35%,0.36,0.59,0.81,0.00,0.00,unch,0,0,0.00,27.68%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|70.00P,XLB,70.00,-7.69%,0.41,0.68,0.95,0.00,0.00,unch,0,0,0.00,27.67%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|70.50P,XLB,70.50,-7.03%,0.43,0.82,1.20,0.00,0.00,unch,0,0,0.00,28.08%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|71.00P,XLB,71.00,-6.37%,0.49,0.86,1.23,0.00,0.00,unch,0,0,0.00,27.04%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|71.50P,XLB,71.50,-5.71%,0.60,0.92,1.24,0.00,0.00,unch,0,0,0.00,26.13%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|72.00P,XLB,72.00,-5.05%,0.16,2.51,4.85,0.00,0.00,unch,0,0,0.00,43.10%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|72.50P,XLB,72.50,-4.39%,0.19,2.52,4.85,0.00,0.00,unch,0,0,0.00,41.08%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|73.00P,XLB,73.00,-3.73%,0.89,1.23,1.56,0.00,0.00,unch,0,0,0.00,24.37%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|73.50P,XLB,73.50,-3.07%,1.02,1.44,1.85,0.00,0.00,unch,0,0,0.00,24.75%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|74.00P,XLB,74.00,-2.41%,0.27,2.59,4.90,0.00,0.00,unch,0,0,0.00,34.98%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|74.50P,XLB,74.50,-1.75%,0.30,2.60,4.90,0.00,0.00,unch,0,0,0.00,32.76%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|75.00P,XLB,75.00,-1.09%,1.55,1.91,2.27,1.65,1.65,unch,3,0,0.00,20.44%,Put,38,04/09/21,03/02/21,22.10%
XLB|20210409|75.50P,XLB,75.50,-0.44%,0.93,1.54,2.15,0.00,0.00,unch,0,0,0.00,16.85%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|76.00P,XLB,76.00,+0.22%,1.79,2.28,2.76,0.00,0.00,unch,0,0,0.00,21.75%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|76.50P,XLB,76.50,+0.88%,1.75,2.50,3.25,0.00,0.00,unch,0,0,0.00,21.21%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|77.00P,XLB,77.00,+1.54%,1.24,3.32,5.40,0.00,0.00,unch,0,0,0.00,26.68%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|77.50P,XLB,77.50,+2.20%,2.35,3.20,4.05,0.00,0.00,unch,0,0,0.00,22.17%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|78.00P,XLB,78.00,+2.86%,1.79,3.90,6.00,0.00,0.00,unch,0,0,0.00,26.15%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|78.50P,XLB,78.50,+3.52%,1.76,4.08,6.40,0.00,0.00,unch,0,0,0.00,24.49%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|79.00P,XLB,79.00,+4.18%,2.95,3.98,5.00,0.00,0.00,unch,0,0,0.00,18.95%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|79.50P,XLB,79.50,+4.84%,3.65,4.60,5.55,0.00,0.00,unch,0,0,0.00,22.03%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|80.00P,XLB,80.00,+5.50%,2.89,5.20,7.50,0.00,0.00,unch,0,0,0.00,24.72%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|80.50P,XLB,80.50,+6.16%,3.05,5.35,7.65,0.00,0.00,unch,0,0,0.00,21.43%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|81.00P,XLB,81.00,+6.82%,4.80,5.75,6.70,0.00,0.00,unch,0,0,0.00,21.16%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|81.50P,XLB,81.50,+7.48%,5.20,6.40,7.60,0.00,0.00,unch,0,0,0.00,24.76%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|82.00P,XLB,82.00,+8.14%,5.35,6.85,8.35,0.00,0.00,unch,0,0,0.00,25.23%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|82.50P,XLB,82.50,+8.80%,5.90,7.38,8.85,0.00,0.00,unch,0,0,0.00,26.85%,Put,38,04/09/21,N/A,22.10%
XLB|20210409|83.00P,XLB,83.00,+9.46%,5.85,7.85,9.85,0.00,0.00,unch,0,0,0.00,27.63%,Put,38,04/09/21,N/A,22.10%
