Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLC|20210312|45.00C,XLC,45.00,+35.81%,23.00,25.50,28.00,0.00,0.00,unch,0,0,0.00,72.83%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|50.00C,XLC,50.00,+28.67%,18.00,20.50,23.00,0.00,0.00,unch,0,0,0.00,57.68%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|55.00C,XLC,55.00,+21.54%,13.00,15.50,18.00,0.00,0.00,unch,0,0,0.00,43.75%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|60.00C,XLC,60.00,+14.41%,8.00,10.50,13.00,0.00,0.00,unch,0,0,0.00,30.67%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|62.00C,XLC,62.00,+11.55%,6.40,8.60,10.80,0.00,0.00,unch,0,0,0.00,27.74%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|62.50C,XLC,62.50,+10.84%,6.80,8.15,9.50,0.00,0.00,unch,0,0,0.00,27.38%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|63.00C,XLC,63.00,+10.13%,5.20,7.60,10.00,0.00,0.00,unch,0,0,0.00,25.07%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|63.50C,XLC,63.50,+9.42%,4.50,6.85,9.20,0.00,0.00,unch,0,0,0.00,18.09%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|64.00C,XLC,64.00,+8.70%,5.50,6.75,8.00,0.00,0.00,unch,0,0,0.00,24.95%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|64.50C,XLC,64.50,+7.99%,4.40,6.70,9.00,0.00,0.00,unch,0,0,0.00,29.90%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|65.00C,XLC,65.00,+7.28%,4.00,5.95,7.90,0.00,0.00,unch,0,0,0.00,24.97%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|65.50C,XLC,65.50,+6.56%,4.40,5.55,6.70,0.00,0.00,unch,0,0,0.00,24.75%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|66.00C,XLC,66.00,+5.85%,4.00,5.05,6.10,0.00,0.00,unch,0,0,0.00,23.15%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|66.50C,XLC,66.50,+5.14%,3.60,4.65,5.70,3.24,3.24,unch,10,0,0.00,22.74%,Call,36,03/12/21,01/29/21,0.00%
XLC|20210312|67.00C,XLC,67.00,+4.42%,2.00,4.25,6.50,0.00,0.00,unch,0,0,0.00,22.21%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|67.50C,XLC,67.50,+3.71%,1.50,4.00,6.50,2.60,2.60,unch,1,2,0.50,23.18%,Call,36,03/12/21,01/29/21,0.00%
XLC|20210312|68.00C,XLC,68.00,+3.00%,2.70,3.50,4.30,0.00,0.00,unch,0,0,0.00,21.32%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|68.50C,XLC,68.50,+2.28%,2.40,3.15,3.90,0.00,0.00,unch,0,0,0.00,20.93%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|69.00C,XLC,69.00,+1.57%,2.10,2.90,3.70,2.42,2.42,unch,1,1,1.00,21.36%,Call,36,03/12/21,01/28/21,0.00%
XLC|20210312|69.50C,XLC,69.50,+0.86%,1.80,2.55,3.30,0.00,0.00,unch,0,0,0.00,20.65%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|70.00C,XLC,70.00,+0.14%,1.60,2.15,2.70,0.00,0.00,unch,0,0,0.00,19.31%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|70.50C,XLC,70.50,-0.57%,1.30,1.75,2.20,0.00,0.00,unch,0,0,0.00,17.80%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|71.00C,XLC,71.00,-1.28%,0.60,1.80,3.00,1.58,1.58,unch,1,1,1.00,18.29%,Call,36,03/12/21,02/03/21,0.00%
XLC|20210312|71.50C,XLC,71.50,-2.00%,0.10,2.55,5.00,0.00,0.00,unch,0,0,0.00,29.52%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|72.00C,XLC,72.00,-2.71%,0.75,1.13,1.50,0.00,0.00,unch,0,0,0.00,17.57%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|72.50C,XLC,72.50,-3.42%,0.60,1.00,1.40,0.00,0.00,unch,0,0,0.00,17.94%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|73.00C,XLC,73.00,-4.14%,0.45,0.75,1.05,0.70,0.70,unch,1,1,1.00,16.21%,Call,36,03/12/21,02/03/21,0.00%
XLC|20210312|73.50C,XLC,73.50,-4.85%,0.35,0.68,1.00,0.00,0.00,unch,0,0,0.00,17.33%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|74.00C,XLC,74.00,-5.56%,0.35,0.48,0.60,0.00,0.00,unch,0,0,0.00,16.14%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|74.50C,XLC,74.50,-6.28%,0.15,0.45,0.75,0.00,0.00,unch,0,0,0.00,17.01%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|75.00C,XLC,75.00,-6.99%,0.10,0.25,0.40,0.25,0.25,unch,1,1,1.00,15.00%,Call,36,03/12/21,01/29/21,0.00%
XLC|20210312|80.00C,XLC,80.00,-14.12%,0.00,0.50,1.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,36,03/12/21,N/A,0.00%
XLC|20210312|45.00P,XLC,45.00,-35.81%,0.00,0.40,0.80,0.00,0.00,unch,0,0,0.00,0.00%,Put,36,03/12/21,N/A,0.00%
XLC|20210312|50.00P,XLC,50.00,-28.67%,0.00,0.38,0.75,0.00,0.00,unch,0,0,0.00,0.00%,Put,36,03/12/21,N/A,0.00%
XLC|20210312|55.00P,XLC,55.00,-21.54%,0.30,0.60,0.90,0.00,0.00,unch,0,0,0.00,0.00%,Put,36,03/12/21,N/A,0.00%
XLC|20210312|60.00P,XLC,60.00,-14.41%,0.15,0.25,0.35,1.05,1.05,unch,1,2,0.50,29.26%,Put,36,03/12/21,01/29/21,0.00%
XLC|20210312|62.00P,XLC,62.00,-11.55%,0.25,0.38,0.50,0.00,0.00,unch,0,2,0.00,27.28%,Put,36,03/12/21,N/A,0.00%
XLC|20210312|62.50P,XLC,62.50,-10.84%,0.35,0.45,0.55,0.00,0.00,unch,0,0,0.00,27.45%,Put,36,03/12/21,N/A,0.00%
XLC|20210312|63.00P,XLC,63.00,-10.13%,0.25,0.45,0.65,0.00,0.00,unch,0,0,0.00,26.11%,Put,36,03/12/21,N/A,0.00%
XLC|20210312|63.50P,XLC,63.50,-9.42%,0.35,0.50,0.65,0.00,0.00,unch,0,0,0.00,25.64%,Put,36,03/12/21,N/A,0.00%
XLC|20210312|64.00P,XLC,64.00,-8.70%,0.35,0.58,0.80,0.00,0.00,unch,0,0,0.00,25.47%,Put,36,03/12/21,N/A,0.00%
XLC|20210312|64.50P,XLC,64.50,-7.99%,0.50,2.75,5.00,0.00,0.00,unch,0,0,0.00,50.46%,Put,36,03/12/21,N/A,0.00%
XLC|20210312|65.00P,XLC,65.00,-7.28%,0.40,0.65,0.90,0.00,0.00,unch,0,0,0.00,23.70%,Put,36,03/12/21,N/A,0.00%
XLC|20210312|65.50P,XLC,65.50,-6.56%,0.50,0.83,1.15,0.00,0.00,unch,0,0,0.00,24.56%,Put,36,03/12/21,N/A,0.00%
XLC|20210312|66.00P,XLC,66.00,-5.85%,0.70,0.92,1.15,0.00,0.00,unch,0,0,0.00,24.23%,Put,36,03/12/21,N/A,0.00%
XLC|20210312|66.50P,XLC,66.50,-5.14%,0.55,0.95,1.35,0.00,0.00,unch,0,0,0.00,22.90%,Put,36,03/12/21,N/A,0.00%
XLC|20210312|67.00P,XLC,67.00,-4.42%,0.75,1.05,1.35,0.00,0.00,unch,0,0,0.00,22.37%,Put,36,03/12/21,N/A,0.00%
XLC|20210312|67.50P,XLC,67.50,-3.71%,0.10,2.55,5.00,3.10,3.10,unch,1,1,1.00,36.23%,Put,36,03/12/21,01/29/21,0.00%
XLC|20210312|68.00P,XLC,68.00,-3.00%,0.85,1.35,1.85,0.00,0.00,unch,0,0,0.00,22.00%,Put,36,03/12/21,N/A,0.00%
XLC|20210312|68.50P,XLC,68.50,-2.28%,1.05,1.45,1.85,0.00,0.00,unch,0,0,0.00,21.09%,Put,36,03/12/21,N/A,0.00%
XLC|20210312|69.00P,XLC,69.00,-1.57%,0.10,2.55,5.00,0.00,0.00,unch,0,0,0.00,29.79%,Put,36,03/12/21,N/A,0.00%
