Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLC|20210409|68.00C,XLC,68.00,+5.15%,4.20,5.20,6.20,0.00,0.00,unch,0,0,0.00,35.12%,Call,35,04/09/21,N/A,0.00%
XLC|20210409|68.50C,XLC,68.50,+4.45%,3.90,4.85,5.80,0.00,0.00,unch,0,0,0.00,34.83%,Call,35,04/09/21,N/A,0.00%
XLC|20210409|69.00C,XLC,69.00,+3.75%,3.50,4.50,5.50,0.00,0.00,unch,0,0,0.00,34.40%,Call,35,04/09/21,N/A,0.00%
XLC|20210409|69.50C,XLC,69.50,+3.05%,1.50,3.55,5.60,0.00,0.00,unch,0,0,0.00,26.55%,Call,35,04/09/21,N/A,0.00%
XLC|20210409|70.00C,XLC,70.00,+2.36%,2.90,3.75,4.60,0.00,0.00,unch,0,0,0.00,32.55%,Call,35,04/09/21,N/A,0.00%
XLC|20210409|70.50C,XLC,70.50,+1.66%,1.00,3.25,5.50,3.10,3.10,unch,1,1,1.00,29.99%,Call,35,04/09/21,02/25/21,0.00%
XLC|20210409|71.00C,XLC,71.00,+0.96%,2.25,2.83,3.40,3.10,0.25,+8.77%,3,4,0.75,28.20%,Call,35,04/09/21,03/03/21,0.00%
XLC|20210409|71.50C,XLC,71.50,+0.27%,1.90,2.50,3.10,2.45,-0.20,-7.55%,1,7,0.14,27.40%,Call,35,04/09/21,03/03/21,0.00%
XLC|20210409|72.00C,XLC,72.00,-0.43%,1.75,2.28,2.80,2.30,-0.05,-2.13%,2,3,0.67,27.55%,Call,35,04/09/21,03/03/21,0.00%
XLC|20210409|72.50C,XLC,72.50,-1.13%,1.35,1.98,2.60,2.50,2.50,unch,4,4,1.00,26.67%,Call,35,04/09/21,02/26/21,0.00%
XLC|20210409|73.00C,XLC,73.00,-1.83%,1.20,1.90,2.60,2.25,2.25,unch,4,4,1.00,28.17%,Call,35,04/09/21,02/26/21,0.00%
XLC|20210409|73.50C,XLC,73.50,-2.52%,0.65,1.50,2.35,0.00,0.00,unch,0,4,0.00,25.74%,Call,35,04/09/21,N/A,0.00%
XLC|20210409|74.00C,XLC,74.00,-3.22%,0.80,1.35,1.90,1.20,-0.58,-32.58%,1,1,1.00,24.18%,Call,35,04/09/21,03/04/21,0.00%
XLC|20210409|74.50C,XLC,74.50,-3.92%,0.70,1.30,1.90,0.00,0.00,unch,0,0,0.00,27.33%,Call,35,04/09/21,N/A,0.00%
XLC|20210409|75.00C,XLC,75.00,-4.62%,0.50,1.05,1.60,1.00,1.00,unch,9,9,1.00,26.01%,Call,35,04/09/21,02/26/21,0.00%
XLC|20210409|75.50C,XLC,75.50,-5.31%,0.45,2.28,4.10,0.00,0.00,unch,0,0,0.00,42.95%,Call,35,04/09/21,N/A,0.00%
XLC|20210409|76.00C,XLC,76.00,-6.01%,0.35,0.90,1.45,0.00,0.00,unch,0,0,0.00,27.36%,Call,35,04/09/21,N/A,0.00%
XLC|20210409|76.50C,XLC,76.50,-6.71%,0.20,0.92,1.65,0.00,0.00,unch,0,0,0.00,29.30%,Call,35,04/09/21,N/A,0.00%
XLC|20210409|77.00C,XLC,77.00,-7.41%,0.10,0.68,1.25,0.00,0.00,unch,0,0,0.00,27.09%,Call,35,04/09/21,N/A,0.00%
XLC|20210409|77.50C,XLC,77.50,-8.10%,0.05,1.58,3.10,0.00,0.00,unch,0,0,0.00,41.35%,Call,35,04/09/21,N/A,0.00%
XLC|20210409|68.00P,XLC,68.00,-5.15%,0.65,1.23,1.80,0.00,0.00,unch,0,0,0.00,30.87%,Put,35,04/09/21,N/A,0.00%
XLC|20210409|68.50P,XLC,68.50,-4.45%,0.50,1.33,2.15,0.00,0.00,unch,0,0,0.00,30.08%,Put,35,04/09/21,N/A,0.00%
XLC|20210409|69.00P,XLC,69.00,-3.75%,0.65,1.40,2.15,1.45,1.45,unch,1,1,1.00,28.85%,Put,35,04/09/21,03/03/21,0.00%
XLC|20210409|69.50P,XLC,69.50,-3.05%,1.40,1.90,2.40,0.00,0.00,unch,0,0,0.00,32.67%,Put,35,04/09/21,N/A,0.00%
XLC|20210409|70.00P,XLC,70.00,-2.36%,1.45,2.00,2.55,0.00,0.00,unch,0,1,0.00,31.40%,Put,35,04/09/21,N/A,0.00%
XLC|20210409|70.50P,XLC,70.50,-1.66%,1.70,2.20,2.70,0.00,0.00,unch,0,0,0.00,31.18%,Put,35,04/09/21,N/A,0.00%
XLC|20210409|71.00P,XLC,71.00,-0.96%,1.65,2.38,3.10,0.00,0.00,unch,0,0,0.00,30.51%,Put,35,04/09/21,N/A,0.00%
XLC|20210409|71.50P,XLC,71.50,-0.27%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,29.41%,Put,35,04/09/21,N/A,0.00%
XLC|20210409|72.00P,XLC,72.00,+0.43%,2.20,2.75,3.30,0.00,0.00,unch,0,0,0.00,28.99%,Put,35,04/09/21,N/A,0.00%
XLC|20210409|72.50P,XLC,72.50,+1.13%,2.20,2.85,3.50,0.00,0.00,unch,0,0,0.00,26.97%,Put,35,04/09/21,N/A,0.00%
XLC|20210409|73.00P,XLC,73.00,+1.83%,2.55,3.18,3.80,0.00,0.00,unch,0,0,0.00,27.33%,Put,35,04/09/21,N/A,0.00%
XLC|20210409|73.50P,XLC,73.50,+2.52%,2.80,3.85,4.90,0.00,0.00,unch,0,0,0.00,31.57%,Put,35,04/09/21,N/A,0.00%
XLC|20210409|74.00P,XLC,74.00,+3.22%,3.00,3.75,4.50,0.00,0.00,unch,0,0,0.00,26.62%,Put,35,04/09/21,N/A,0.00%
