Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLE|20210319|15.00C,XLE,15.00,+66.42%,28.80,30.00,31.20,25.40,25.40,unch,4,9,0.44,228.88%,Call,34,03/19/21,01/06/21,38.04%
XLE|20210319|16.00C,XLE,16.00,+64.18%,27.80,29.00,30.20,28.55,28.55,unch,20,20,1.00,216.52%,Call,34,03/19/21,02/11/21,38.04%
XLE|20210319|17.00C,XLE,17.00,+61.94%,26.10,27.65,29.20,21.40,21.40,unch,111,111,1.00,293.66%,Call,34,03/19/21,12/23/20,38.04%
XLE|20210319|18.00C,XLE,18.00,+59.70%,25.80,27.03,28.25,26.00,26.00,unch,30,115,0.26,196.62%,Call,34,03/19/21,01/14/21,38.04%
XLE|20210319|19.00C,XLE,19.00,+57.47%,24.80,26.03,27.25,25.30,3.60,+16.59%,3,10,0.30,186.25%,Call,34,03/19/21,02/11/21,38.04%
XLE|20210319|20.00C,XLE,20.00,+55.23%,23.80,25.03,26.25,24.30,3.60,+17.39%,5,26,0.19,176.43%,Call,34,03/19/21,02/11/21,38.04%
XLE|20210319|21.00C,XLE,21.00,+52.99%,22.80,24.03,25.25,17.70,10.25,+137.58%,135,167,0.81,167.10%,Call,34,03/19/21,12/23/20,38.04%
XLE|20210319|22.00C,XLE,22.00,+50.75%,21.80,23.40,25.00,22.20,1.96,+9.68%,3,9,0.33,184.36%,Call,34,03/19/21,02/08/21,38.04%
XLE|20210319|23.00C,XLE,23.00,+48.51%,20.80,22.03,23.25,15.65,-1.78,-10.21%,4,3,1.33,149.71%,Call,34,03/19/21,12/23/20,38.04%
XLE|20210319|24.00C,XLE,24.00,+46.27%,19.80,21.03,22.25,15.50,-4.65,-23.08%,2,22,0.09,141.57%,Call,34,03/19/21,01/29/21,38.04%
XLE|20210319|25.00C,XLE,25.00,+44.03%,18.80,20.03,21.25,17.10,1.78,+11.62%,1,51,0.02,133.74%,Call,34,03/19/21,02/04/21,38.04%
XLE|20210319|26.00C,XLE,26.00,+41.80%,18.45,19.35,20.25,17.30,0.75,+4.53%,10,38,0.26,145.47%,Call,34,03/19/21,02/11/21,38.04%
