Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLE|20210409|45.00C,XLE,45.00,+9.73%,4.80,5.60,6.40,0.00,0.00,unch,0,0,0.00,43.52%,Call,37,04/09/21,N/A,37.22%
XLE|20210409|45.50C,XLE,45.50,+8.73%,4.40,4.98,5.55,0.00,0.00,unch,0,0,0.00,38.03%,Call,37,04/09/21,N/A,37.22%
XLE|20210409|46.00C,XLE,46.00,+7.72%,4.00,4.60,5.20,4.95,0.35,+7.61%,1,5,0.20,44.86%,Call,37,04/09/21,03/03/21,37.22%
XLE|20210409|46.50C,XLE,46.50,+6.72%,3.65,4.20,4.75,0.00,0.00,unch,0,0,0.00,37.03%,Call,37,04/09/21,N/A,37.22%
XLE|20210409|47.00C,XLE,47.00,+5.72%,3.60,4.00,4.40,0.00,0.00,unch,0,0,0.00,39.59%,Call,37,04/09/21,N/A,37.22%
XLE|20210409|47.50C,XLE,47.50,+4.71%,3.10,3.60,4.10,3.75,3.75,unch,2,0,0.00,40.76%,Call,37,04/09/21,03/03/21,37.22%
XLE|20210409|48.00C,XLE,48.00,+3.71%,2.62,3.09,3.55,0.00,-3.22,-100.00%,0,0,0.00,34.57%,Call,37,04/09/21,N/A,37.22%
XLE|20210409|48.50C,XLE,48.50,+2.71%,2.57,2.91,3.25,3.56,1.06,+42.40%,2,21,0.10,36.52%,Call,37,04/09/21,03/03/21,37.22%
XLE|20210409|49.00C,XLE,49.00,+1.71%,2.33,2.63,2.92,0.00,-1.70,-100.00%,0,0,0.00,36.31%,Call,37,04/09/21,N/A,37.22%
XLE|20210409|49.50C,XLE,49.50,+0.70%,2.08,2.41,2.74,2.79,0.70,+33.49%,70,89,0.79,36.93%,Call,37,04/09/21,03/03/21,37.22%
XLE|20210409|50.00C,XLE,50.00,-0.30%,1.80,2.21,2.62,2.70,0.83,+44.39%,32,23,1.39,37.51%,Call,37,04/09/21,03/03/21,37.22%
XLE|20210409|50.50C,XLE,50.50,-1.30%,1.77,2.05,2.33,2.21,0.16,+7.80%,4,4,1.00,41.00%,Call,37,04/09/21,03/03/21,37.22%
XLE|20210409|51.00C,XLE,51.00,-2.31%,1.54,2.05,2.57,1.89,0.31,+19.62%,12,4,3.00,39.15%,Call,37,04/09/21,03/03/21,37.22%
XLE|20210409|51.50C,XLE,51.50,-3.31%,1.38,1.59,1.80,0.00,0.00,unch,0,0,0.00,37.34%,Call,37,04/09/21,N/A,37.22%
XLE|20210409|52.00C,XLE,52.00,-4.31%,0.98,1.43,1.88,1.50,0.30,+25.00%,33,33,1.00,38.71%,Call,37,04/09/21,03/03/21,37.22%
XLE|20210409|52.50C,XLE,52.50,-5.32%,0.98,1.28,1.58,1.58,0.48,+43.64%,6,11,0.55,42.76%,Call,37,04/09/21,03/03/21,37.22%
XLE|20210409|53.00C,XLE,53.00,-6.32%,0.94,1.12,1.29,1.46,0.39,+36.45%,20,5,4.00,37.28%,Call,37,04/09/21,03/03/21,37.22%
XLE|20210409|53.50C,XLE,53.50,-7.32%,0.69,0.97,1.24,0.00,0.00,unch,0,0,0.00,36.90%,Call,37,04/09/21,N/A,37.22%
XLE|20210409|54.00C,XLE,54.00,-8.32%,0.74,0.91,1.08,0.00,0.00,unch,0,0,0.00,38.09%,Call,37,04/09/21,N/A,37.22%
XLE|20210409|54.50C,XLE,54.50,-9.33%,0.51,0.75,0.99,0.00,0.00,unch,0,0,0.00,37.02%,Call,37,04/09/21,N/A,37.22%
XLE|20210409|45.00P,XLE,45.00,-9.73%,0.76,0.88,1.00,0.00,-1.14,-100.00%,0,0,0.00,42.62%,Put,37,04/09/21,N/A,37.22%
XLE|20210409|45.50P,XLE,45.50,-8.73%,0.77,0.96,1.14,0.00,0.00,unch,0,0,0.00,41.39%,Put,37,04/09/21,N/A,37.22%
XLE|20210409|46.00P,XLE,46.00,-7.72%,0.97,1.16,1.34,1.10,-0.18,-14.06%,11,1,11.00,41.39%,Put,37,04/09/21,03/03/21,37.22%
XLE|20210409|46.50P,XLE,46.50,-6.72%,0.94,1.21,1.48,0.00,0.00,unch,0,0,0.00,40.47%,Put,37,04/09/21,N/A,37.22%
XLE|20210409|47.00P,XLE,47.00,-5.72%,1.22,1.42,1.61,0.00,-1.52,-100.00%,0,0,0.00,41.05%,Put,37,04/09/21,N/A,37.22%
XLE|20210409|47.50P,XLE,47.50,-4.71%,1.18,1.57,1.95,0.00,0.00,unch,0,0,0.00,40.39%,Put,37,04/09/21,N/A,37.22%
XLE|20210409|48.00P,XLE,48.00,-3.71%,1.50,1.80,2.10,1.68,-1.62,-49.09%,1,8,0.13,38.91%,Put,37,04/09/21,03/03/21,37.22%
XLE|20210409|48.50P,XLE,48.50,-2.71%,1.54,1.93,2.32,0.00,0.00,unch,0,0,0.00,39.45%,Put,37,04/09/21,N/A,37.22%
XLE|20210409|49.00P,XLE,49.00,-1.71%,1.74,2.17,2.60,0.00,-2.52,-100.00%,0,0,0.00,39.55%,Put,37,04/09/21,N/A,37.22%
XLE|20210409|49.50P,XLE,49.50,-0.70%,2.30,2.59,2.87,0.00,-2.95,-100.00%,0,0,0.00,42.18%,Put,37,04/09/21,N/A,37.22%
XLE|20210409|50.00P,XLE,50.00,+0.30%,2.16,2.68,3.20,0.00,0.00,unch,0,0,0.00,39.45%,Put,37,04/09/21,N/A,37.22%
XLE|20210409|50.50P,XLE,50.50,+1.30%,2.79,3.17,3.55,2.75,2.75,unch,1,0,0.00,42.76%,Put,37,04/09/21,03/03/21,37.22%
XLE|20210409|51.00P,XLE,51.00,+2.31%,2.98,3.34,3.70,0.00,0.00,unch,0,0,0.00,40.75%,Put,37,04/09/21,N/A,37.22%
XLE|20210409|51.50P,XLE,51.50,+3.31%,3.30,3.70,4.10,0.00,0.00,unch,0,0,0.00,41.55%,Put,37,04/09/21,N/A,37.22%
XLE|20210409|52.00P,XLE,52.00,+4.31%,3.75,4.18,4.60,0.00,0.00,unch,0,0,0.00,44.03%,Put,37,04/09/21,N/A,37.22%
XLE|20210409|52.50P,XLE,52.50,+5.32%,3.55,4.20,4.85,0.00,0.00,unch,0,0,0.00,38.79%,Put,37,04/09/21,N/A,37.22%
XLE|20210409|53.00P,XLE,53.00,+6.32%,4.00,4.68,5.35,0.00,0.00,unch,0,0,0.00,40.90%,Put,37,04/09/21,N/A,37.22%
XLE|20210409|53.50P,XLE,53.50,+7.32%,4.75,5.13,5.50,0.00,0.00,unch,0,0,0.00,42.45%,Put,37,04/09/21,N/A,37.22%
XLE|20210409|54.00P,XLE,54.00,+8.32%,5.05,5.60,6.15,0.00,0.00,unch,0,0,0.00,44.34%,Put,37,04/09/21,N/A,37.22%
XLE|20210409|54.50P,XLE,54.50,+9.33%,5.20,5.85,6.50,0.00,0.00,unch,0,0,0.00,41.88%,Put,37,04/09/21,N/A,37.22%
"Downloaded from Barchart.com as of 03-04-2021 12:17am CST"
