Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLE|20210409|35.00C,XLE,35.00,+29.15%,12.00,14.38,16.75,0.00,0.00,unch,0,0,0.00,141.29%,Call,39,04/09/21,N/A,39.02%
XLE|20210409|40.00C,XLE,40.00,+19.03%,7.00,9.45,11.90,0.00,0.00,unch,0,0,0.00,41.38%,Call,39,04/09/21,N/A,39.02%
XLE|20210409|43.50C,XLE,43.50,+11.94%,4.95,6.35,7.75,0.00,0.00,unch,0,0,0.00,41.38%,Call,39,04/09/21,N/A,39.02%
XLE|20210409|44.00C,XLE,44.00,+10.93%,5.50,5.93,6.35,0.00,0.00,unch,0,0,0.00,40.75%,Call,39,04/09/21,N/A,39.02%
XLE|20210409|44.50C,XLE,44.50,+9.92%,4.95,5.73,6.50,0.00,0.00,unch,0,0,0.00,44.83%,Call,39,04/09/21,N/A,39.02%
XLE|20210409|45.00C,XLE,45.00,+8.91%,4.60,5.30,6.00,0.00,0.00,unch,0,0,0.00,43.56%,Call,39,04/09/21,N/A,39.02%
XLE|20210409|45.50C,XLE,45.50,+7.89%,4.20,4.65,5.10,0.00,0.00,unch,0,0,0.00,37.71%,Call,39,04/09/21,N/A,39.02%
XLE|20210409|46.00C,XLE,46.00,+6.88%,3.65,4.20,4.75,4.60,4.60,unch,5,0,0.00,43.37%,Call,39,04/09/21,03/01/21,39.02%
XLE|20210409|46.50C,XLE,46.50,+5.87%,3.55,3.98,4.40,0.00,0.00,unch,0,0,0.00,38.02%,Call,39,04/09/21,N/A,39.02%
XLE|20210409|47.00C,XLE,47.00,+4.86%,3.10,3.55,4.00,0.00,0.00,unch,0,0,0.00,36.22%,Call,39,04/09/21,N/A,39.02%
XLE|20210409|47.50C,XLE,47.50,+3.85%,1.28,3.44,5.60,0.00,0.00,unch,0,0,0.00,39.52%,Call,39,04/09/21,N/A,39.02%
XLE|20210409|48.00C,XLE,48.00,+2.83%,0.63,2.24,3.85,3.22,0.82,+34.17%,8,6,1.33,40.57%,Call,39,04/09/21,03/01/21,39.02%
XLE|20210409|48.50C,XLE,48.50,+1.82%,1.91,2.56,3.20,0.00,0.00,unch,0,0,0.00,34.26%,Call,39,04/09/21,N/A,39.02%
XLE|20210409|49.00C,XLE,49.00,+0.81%,1.49,2.30,3.10,0.00,-2.57,-100.00%,0,0,0.00,34.21%,Call,39,04/09/21,N/A,39.02%
XLE|20210409|49.50C,XLE,49.50,-0.20%,1.76,2.23,2.69,2.32,0.44,+23.40%,5,83,0.06,38.32%,Call,39,04/09/21,03/01/21,39.02%
XLE|20210409|50.00C,XLE,50.00,-1.21%,0.37,1.31,2.25,2.00,0.63,+45.99%,9,16,0.56,36.77%,Call,39,04/09/21,03/01/21,39.02%
XLE|20210409|50.50C,XLE,50.50,-2.23%,1.52,1.85,2.18,0.00,0.00,unch,0,0,0.00,37.62%,Call,39,04/09/21,N/A,39.02%
