Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
20.00,+38.10%,11.45,12.88,14.30,0.00,0.00,unch,0,0,0.00,313.22%,Call,N/A
22.00,+31.91%,8.30,10.45,12.60,0.00,0.00,unch,0,0,0.00,186.87%,Call,N/A
22.50,+30.36%,7.55,9.95,12.35,7.45,7.45,unch,1,1,1.00,177.74%,Call,02/03/21
23.00,+28.81%,7.30,9.33,11.35,0.00,0.00,unch,0,0,0.00,119.93%,Call,N/A
24.00,+25.72%,6.50,8.43,10.35,0.00,0.00,unch,0,0,0.00,145.27%,Call,N/A
24.50,+24.17%,5.50,7.68,9.85,0.00,0.00,unch,0,0,0.00,350.16%,Call,N/A
25.00,+22.62%,6.55,7.75,8.95,5.20,0.00,unch,10,11,0.91,181.07%,Call,02/03/21
25.50,+21.08%,4.60,6.73,8.85,0.00,0.00,unch,0,0,0.00,320.59%,Call,N/A
26.00,+19.53%,4.60,6.50,8.40,0.00,0.00,unch,0,0,0.00,126.54%,Call,N/A
26.50,+17.98%,3.60,5.73,7.85,0.00,0.00,unch,0,0,0.00,291.69%,Call,N/A
27.00,+16.43%,3.90,5.63,7.35,4.25,1.15,+37.10%,3,3,1.00,126.24%,Call,02/11/21
27.50,+14.89%,2.75,4.90,7.05,0.00,0.00,unch,0,0,0.00,84.29%,Call,N/A
28.00,+13.34%,3.35,4.40,5.45,4.00,1.68,+72.41%,25,26,0.96,76.79%,Call,02/16/21
28.50,+11.79%,3.45,4.20,4.95,5.02,0.65,+14.87%,1,30,0.03,106.00%,Call,02/25/21
29.00,+10.24%,3.00,3.28,3.55,3.79,-0.49,-11.45%,15,152,0.10,81.17%,Call,02/26/21
29.50,+8.70%,2.06,2.98,3.90,3.35,0.86,+34.54%,1,44,0.02,64.64%,Call,02/22/21
30.00,+7.15%,2.00,2.47,2.93,2.51,-0.79,-23.94%,44,315,0.14,59.27%,Call,02/26/21
30.50,+5.60%,1.72,1.99,2.26,2.21,-0.56,-20.22%,7,639,0.01,67.12%,Call,02/26/21
31.00,+4.05%,1.20,1.42,1.65,1.50,-0.81,-35.06%,92,"1,370",0.07,40.28%,Call,02/26/21
31.50,+2.51%,0.72,0.98,1.24,1.34,-0.51,-27.57%,46,600,0.08,29.10%,Call,02/26/21
32.00,+0.96%,0.51,0.63,0.74,0.78,-0.46,-37.10%,290,"1,411",0.21,27.86%,Call,02/26/21
32.50,-0.59%,0.28,0.39,0.49,0.49,-0.40,-44.94%,"1,078","1,692",0.64,35.23%,Call,02/26/21
33.00,-2.14%,0.11,0.18,0.25,0.21,-0.34,-61.82%,"1,446","2,221",0.65,28.78%,Call,02/26/21
33.50,-3.68%,0.06,0.09,0.12,0.11,-0.22,-66.67%,871,"6,010",0.14,29.39%,Call,02/26/21
34.00,-5.23%,0.05,0.06,0.06,0.05,-0.12,-70.59%,748,"4,960",0.15,29.39%,Call,02/26/21
34.50,-6.78%,0.01,0.03,0.04,0.03,-0.14,-82.35%,306,642,0.48,31.68%,Call,02/26/21
35.00,-8.33%,0.02,0.03,0.03,0.03,-0.01,-25.00%,88,"1,992",0.04,37.05%,Call,02/26/21
35.50,-9.87%,0.01,0.02,0.02,0.01,-0.03,-75.00%,53,629,0.08,35.14%,Call,02/26/21
36.00,-11.42%,0.01,0.03,0.05,0.02,-0.01,-33.33%,3,76,0.04,0.00%,Call,02/25/21
36.50,-12.97%,0.01,0.15,0.29,0.03,0.00,unch,100,101,0.99,0.00%,Call,02/25/21
37.00,-14.52%,0.01,0.92,1.83,0.02,0.02,unch,1,1,1.00,0.00%,Call,02/24/21
37.50,-16.06%,0.01,1.16,2.31,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
38.00,-17.61%,0.01,0.06,0.11,0.03,0.03,unch,50,50,1.00,0.00%,Call,02/24/21
39.00,-20.71%,0.00,0.87,1.73,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
