Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLF|20210319|11.00C,XLF,11.00,+64.86%,19.95,20.30,20.65,17.60,5.25,+42.51%,5,5,1.00,223.54%,Call,36,03/19/21,12/22/20,23.95%
XLF|20210319|12.00C,XLF,12.00,+61.66%,18.95,19.30,19.65,13.40,1.55,+13.08%,1,1,1.00,206.55%,Call,36,03/19/21,09/03/20,23.95%
XLF|20210319|13.00C,XLF,13.00,+58.47%,18.00,18.35,18.70,0.00,0.00,unch,0,0,0.00,137.56%,Call,36,03/19/21,N/A,23.95%
XLF|20210319|14.00C,XLF,14.00,+55.27%,17.10,17.45,17.80,11.16,0.56,+5.28%,5,20,0.25,149.20%,Call,36,03/19/21,08/31/20,23.95%
XLF|20210319|15.00C,XLF,15.00,+52.08%,16.05,16.48,16.90,8.50,-0.08,-0.93%,3,3,1.00,141.55%,Call,36,03/19/21,09/24/20,23.95%
XLF|20210319|16.00C,XLF,16.00,+48.88%,15.05,15.48,15.90,8.00,-0.25,-3.03%,1,44,0.02,130.49%,Call,36,03/19/21,10/29/20,23.95%
XLF|20210319|17.00C,XLF,17.00,+45.69%,13.85,14.30,14.75,13.90,1.90,+15.83%,72,78,0.92,0.00%,Call,36,03/19/21,01/08/21,23.95%
XLF|20210319|18.00C,XLF,18.00,+42.49%,12.90,13.23,13.55,12.15,-0.65,-5.08%,15,"2,165",0.01,118.73%,Call,36,03/19/21,01/25/21,23.95%
XLF|20210319|19.00C,XLF,19.00,+39.30%,11.80,12.18,12.55,11.61,2.21,+23.51%,2,2,1.00,108.87%,Call,36,03/19/21,01/06/21,23.95%
XLF|20210319|20.00C,XLF,20.00,+36.10%,11.05,11.33,11.60,11.40,0.62,+5.75%,2,97,0.02,67.98%,Call,36,03/19/21,02/09/21,23.95%
XLF|20210319|21.00C,XLF,21.00,+32.91%,10.05,10.30,10.55,10.40,0.50,+5.05%,1,"2,049",0.00,74.96%,Call,36,03/19/21,02/10/21,23.95%
XLF|20210319|22.00C,XLF,22.00,+29.71%,9.15,9.35,9.55,9.35,0.05,+0.54%,1,308,0.00,60.07%,Call,36,03/19/21,02/10/21,23.95%
XLF|20210319|23.00C,XLF,23.00,+26.52%,8.20,8.40,8.60,8.20,0.30,+3.80%,1,"1,712",0.00,60.16%,Call,36,03/19/21,02/09/21,23.95%
XLF|20210319|24.00C,XLF,24.00,+23.32%,7.05,7.28,7.50,7.24,0.24,+3.43%,100,"2,465",0.04,61.84%,Call,36,03/19/21,02/08/21,23.95%
XLF|20210319|25.00C,XLF,25.00,+20.13%,6.20,6.48,6.75,6.35,-0.10,-1.55%,10,"6,644",0.00,40.67%,Call,36,03/19/21,02/10/21,23.95%
XLF|20210319|26.00C,XLF,26.00,+16.93%,5.25,5.58,5.90,5.51,0.16,+2.99%,1,"12,441",0.00,47.43%,Call,36,03/19/21,02/10/21,23.95%
XLF|20210319|27.00C,XLF,27.00,+13.74%,4.15,4.35,4.55,4.40,-0.10,-2.22%,11,"8,658",0.00,33.05%,Call,36,03/19/21,02/10/21,23.95%
XLF|20210319|28.00C,XLF,28.00,+10.54%,3.30,3.45,3.60,3.50,-0.01,-0.28%,40,"15,665",0.00,32.18%,Call,36,03/19/21,02/10/21,23.95%
XLF|20210319|29.00C,XLF,29.00,+7.35%,2.42,2.57,2.71,2.71,0.07,+2.65%,31,"25,942",0.00,32.81%,Call,36,03/19/21,02/10/21,23.95%
XLF|20210319|30.00C,XLF,30.00,+4.15%,1.77,1.83,1.88,1.77,-0.02,-1.12%,336,"56,294",0.01,25.77%,Call,36,03/19/21,02/10/21,23.95%
XLF|20210319|31.00C,XLF,31.00,+0.96%,1.07,1.13,1.18,1.10,-0.01,-0.90%,"1,754","45,566",0.04,24.19%,Call,36,03/19/21,02/10/21,23.95%
XLF|20210319|32.00C,XLF,32.00,-2.24%,0.59,0.62,0.65,0.59,-0.03,-4.84%,"12,013","104,823",0.11,22.64%,Call,36,03/19/21,02/10/21,23.95%
