Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLF|20210401|24.50C,XLF,24.50,+24.17%,5.65,8.00,10.35,0.00,0.00,unch,0,0,0.00,67.24%,Call,33,04/01/21,N/A,27.18%
XLF|20210401|25.00C,XLF,25.00,+22.62%,5.30,7.63,9.95,8.15,0.20,+2.52%,2,18,0.11,71.64%,Call,33,04/01/21,02/25/21,27.18%
XLF|20210401|25.50C,XLF,25.50,+21.08%,4.75,7.13,9.50,0.00,0.00,unch,0,0,0.00,67.49%,Call,33,04/01/21,N/A,27.18%
XLF|20210401|26.00C,XLF,26.00,+19.53%,4.50,6.75,9.00,6.90,6.90,unch,11,11,1.00,69.90%,Call,33,04/01/21,02/23/21,27.18%
XLF|20210401|26.50C,XLF,26.50,+17.98%,3.75,6.13,8.50,0.00,0.00,unch,0,0,0.00,59.28%,Call,33,04/01/21,N/A,27.18%
XLF|20210401|27.00C,XLF,27.00,+16.43%,3.25,5.63,8.00,0.00,0.00,unch,0,0,0.00,55.23%,Call,33,04/01/21,N/A,27.18%
XLF|20210401|27.50C,XLF,27.50,+14.89%,2.67,5.09,7.50,0.00,0.00,unch,0,0,0.00,49.19%,Call,33,04/01/21,N/A,27.18%
XLF|20210401|28.00C,XLF,28.00,+13.34%,2.66,4.83,7.00,3.59,3.59,unch,1,1,1.00,55.91%,Call,33,04/01/21,02/12/21,27.18%
XLF|20210401|28.50C,XLF,28.50,+11.79%,1.70,3.88,6.05,0.00,0.00,unch,0,0,0.00,29.44%,Call,33,04/01/21,N/A,27.18%
XLF|20210401|29.00C,XLF,29.00,+10.24%,2.79,3.40,4.00,3.55,3.55,unch,1,1,1.00,27.63%,Call,33,04/01/21,02/19/21,27.18%
XLF|20210401|29.50C,XLF,29.50,+8.70%,2.76,3.01,3.25,3.50,0.72,+25.90%,1,2,0.50,29.96%,Call,33,04/01/21,02/22/21,27.18%
XLF|20210401|30.00C,XLF,30.00,+7.15%,2.30,2.58,2.86,3.45,-0.15,-4.17%,4,87,0.05,29.15%,Call,33,04/01/21,02/25/21,27.18%
XLF|20210401|30.50C,XLF,30.50,+5.60%,1.89,2.16,2.42,2.53,0.00,unch,4,28,0.14,27.62%,Call,33,04/01/21,02/26/21,27.18%
XLF|20210401|31.00C,XLF,31.00,+4.05%,0.98,1.51,2.03,2.60,0.48,+22.64%,17,20,0.85,18.23%,Call,33,04/01/21,02/24/21,27.18%
XLF|20210401|31.50C,XLF,31.50,+2.51%,1.27,1.49,1.71,1.65,-0.67,-28.88%,1,59,0.02,32.15%,Call,33,04/01/21,02/26/21,27.18%
XLF|20210401|32.00C,XLF,32.00,+0.96%,0.98,1.12,1.25,1.15,-0.55,-32.35%,40,366,0.11,26.25%,Call,33,04/01/21,02/26/21,27.18%
