Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLF|20210409|28.50C,XLF,28.50,+14.82%,2.97,5.19,7.40,0.00,0.00,unch,0,0,0.00,43.60%,Call,37,04/09/21,N/A,25.45%
XLF|20210409|29.00C,XLF,29.00,+13.33%,3.55,4.68,5.80,0.00,0.00,unch,0,0,0.00,39.66%,Call,37,04/09/21,N/A,25.45%
XLF|20210409|29.50C,XLF,29.50,+11.84%,3.00,4.40,5.80,0.00,0.00,unch,0,0,0.00,45.33%,Call,37,04/09/21,N/A,25.45%
XLF|20210409|30.00C,XLF,30.00,+10.34%,2.84,3.67,4.50,0.00,0.00,unch,0,0,0.00,32.57%,Call,37,04/09/21,N/A,25.45%
XLF|20210409|30.50C,XLF,30.50,+8.85%,1.39,2.72,4.05,0.00,0.00,unch,0,0,0.00,57.00%,Call,37,04/09/21,N/A,25.45%
XLF|20210409|31.00C,XLF,31.00,+7.35%,1.29,2.27,3.25,0.00,0.00,unch,0,0,0.00,43.87%,Call,37,04/09/21,N/A,25.45%
XLF|20210409|31.50C,XLF,31.50,+5.86%,0.96,2.03,3.10,0.00,0.00,unch,0,0,0.00,16.40%,Call,37,04/09/21,N/A,25.45%
XLF|20210409|32.00C,XLF,32.00,+4.36%,0.31,2.38,4.45,0.00,0.00,unch,0,0,0.00,37.96%,Call,37,04/09/21,N/A,25.45%
XLF|20210409|32.50C,XLF,32.50,+2.87%,1.03,1.65,2.27,0.00,0.00,unch,0,0,0.00,27.18%,Call,37,04/09/21,N/A,25.45%
XLF|20210409|33.00C,XLF,33.00,+1.37%,0.81,1.30,1.79,1.39,0.22,+18.80%,7,52,0.13,27.85%,Call,37,04/09/21,03/03/21,25.45%
XLF|20210409|33.50C,XLF,33.50,-0.12%,0.86,0.99,1.11,1.04,0.17,+19.54%,258,150,1.72,25.55%,Call,37,04/09/21,03/03/21,25.45%
XLF|20210409|34.00C,XLF,34.00,-1.61%,0.51,0.70,0.88,0.85,0.20,+30.77%,16,119,0.13,26.20%,Call,37,04/09/21,03/03/21,25.45%
XLF|20210409|34.50C,XLF,34.50,-3.11%,0.48,0.54,0.61,0.68,0.18,+36.00%,252,31,8.13,23.14%,Call,37,04/09/21,03/03/21,25.45%
XLF|20210409|35.00C,XLF,35.00,-4.60%,0.35,0.40,0.45,0.50,0.12,+31.58%,8,251,0.03,23.06%,Call,37,04/09/21,03/03/21,25.45%
XLF|20210409|35.50C,XLF,35.50,-6.10%,0.22,0.31,0.40,0.38,0.11,+40.74%,6,1,6.00,25.88%,Call,37,04/09/21,03/03/21,25.45%
XLF|20210409|36.00C,XLF,36.00,-7.59%,0.09,0.20,0.31,0.31,0.12,+63.16%,22,32,0.69,26.80%,Call,37,04/09/21,03/03/21,25.45%
XLF|20210409|36.50C,XLF,36.50,-9.09%,0.06,0.15,0.23,0.24,0.24,unch,2,0,0.00,23.21%,Call,37,04/09/21,03/03/21,25.45%
XLF|20210409|37.00C,XLF,37.00,-10.58%,0.08,0.11,0.15,0.16,0.15,"+1,500.00%",20,1,20.00,24.12%,Call,37,04/09/21,03/03/21,25.45%
XLF|20210409|37.50C,XLF,37.50,-12.07%,0.05,0.08,0.10,0.00,0.00,unch,0,0,0.00,23.87%,Call,37,04/09/21,N/A,25.45%
XLF|20210409|38.00C,XLF,38.00,-13.57%,0.03,0.08,0.12,0.00,0.00,unch,0,0,0.00,25.94%,Call,37,04/09/21,N/A,25.45%
XLF|20210409|28.50P,XLF,28.50,-14.82%,0.08,0.14,0.20,0.00,0.00,unch,0,0,0.00,36.39%,Put,37,04/09/21,N/A,25.45%
XLF|20210409|29.00P,XLF,29.00,-13.33%,0.11,0.18,0.24,0.00,-0.18,-100.00%,0,0,0.00,35.35%,Put,37,04/09/21,N/A,25.45%
XLF|20210409|29.50P,XLF,29.50,-11.84%,0.15,0.24,0.33,0.00,0.00,unch,0,0,0.00,35.33%,Put,37,04/09/21,N/A,25.45%
XLF|20210409|30.00P,XLF,30.00,-10.34%,0.18,0.26,0.34,0.00,0.00,unch,0,0,0.00,32.77%,Put,37,04/09/21,N/A,25.45%
