Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
60.00,+33.78%,28.20,30.60,33.00,0.00,0.00,unch,0,0,0.00,317.33%,Call,N/A
65.00,+28.26%,23.20,25.60,28.00,0.00,0.00,unch,0,0,0.00,271.56%,Call,N/A
70.00,+22.75%,18.20,20.60,23.00,0.00,0.00,unch,0,0,0.00,228.29%,Call,N/A
75.00,+17.23%,13.05,15.53,18.00,16.50,0.88,+5.63%,2,2,1.00,186.70%,Call,02/25/21
78.50,+13.36%,9.60,12.05,14.50,7.65,7.65,unch,15,15,1.00,158.12%,Call,02/01/21
79.00,+12.81%,9.05,11.53,14.00,10.42,10.42,unch,1,1,1.00,154.04%,Call,02/18/21
80.00,+11.71%,8.05,10.53,13.00,0.00,0.00,unch,0,0,0.00,145.88%,Call,N/A
81.00,+10.61%,7.10,9.55,12.00,0.00,0.00,unch,0,10,0.00,137.70%,Call,N/A
81.50,+10.05%,6.70,9.10,11.50,0.00,0.00,unch,0,0,0.00,133.60%,Call,N/A
82.00,+9.50%,6.35,8.68,11.00,0.00,0.00,unch,0,0,0.00,44.34%,Call,N/A
83.00,+8.40%,5.10,7.55,10.00,7.50,1.33,+21.56%,2,15,0.13,121.21%,Call,02/09/21
83.50,+7.85%,4.65,7.08,9.50,0.00,0.00,unch,0,0,0.00,117.04%,Call,N/A
84.00,+7.30%,4.00,6.38,8.75,4.75,0.10,+2.15%,1,3,0.33,106.36%,Call,02/03/21
84.50,+6.74%,3.75,6.13,8.50,0.00,0.00,unch,0,1,0.00,27.18%,Call,N/A
85.00,+6.19%,3.45,5.73,8.00,6.50,2.17,+50.12%,15,18,0.83,64.18%,Call,02/26/21
85.50,+5.64%,2.50,4.95,7.40,4.70,1.40,+42.42%,1,5,0.20,97.63%,Call,02/09/21
86.00,+5.09%,2.60,5.05,7.50,7.30,3.20,+78.05%,6,7,0.86,43.22%,Call,02/24/21
