Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLI|20210312|60.00C,XLI,60.00,+35.79%,31.00,33.50,36.00,0.00,0.00,unch,0,0,0.00,145.57%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|65.00C,XLI,65.00,+30.44%,26.00,28.50,31.00,0.00,0.00,unch,0,0,0.00,121.98%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|70.00C,XLI,70.00,+25.09%,21.00,23.50,26.00,0.00,0.00,unch,0,0,0.00,99.83%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|75.00C,XLI,75.00,+19.73%,16.00,18.40,20.80,0.00,0.00,unch,0,0,0.00,187.03%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|78.50C,XLI,78.50,+15.99%,12.50,14.95,17.40,0.00,0.00,unch,0,0,0.00,53.82%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|79.00C,XLI,79.00,+15.45%,12.00,14.50,17.00,0.00,0.00,unch,0,0,0.00,62.60%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|79.50C,XLI,79.50,+14.92%,11.50,13.95,16.40,0.00,0.00,unch,0,0,0.00,50.37%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|80.00C,XLI,80.00,+14.38%,11.05,13.53,16.00,13.60,13.60,unch,2,2,1.00,61.67%,Call,7,03/12/21,02/24/21,23.67%
XLI|20210312|80.50C,XLI,80.50,+13.85%,10.50,12.95,15.40,0.00,0.00,unch,0,0,0.00,46.94%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|81.00C,XLI,81.00,+13.31%,10.05,12.53,15.00,0.00,0.00,unch,0,0,0.00,57.53%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|81.50C,XLI,81.50,+12.78%,9.50,11.95,14.40,8.25,8.25,unch,5,5,1.00,43.52%,Call,7,03/12/21,02/12/21,23.67%
XLI|20210312|82.00C,XLI,82.00,+12.24%,9.05,11.53,14.00,0.00,0.00,unch,0,0,0.00,53.41%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|82.50C,XLI,82.50,+11.71%,8.50,10.85,13.20,0.00,0.00,unch,0,0,0.00,129.78%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|83.00C,XLI,83.00,+11.17%,8.00,10.48,12.95,6.95,6.95,unch,13,13,1.00,43.46%,Call,7,03/12/21,02/05/21,23.67%
XLI|20210312|83.50C,XLI,83.50,+10.64%,7.50,9.95,12.40,0.00,0.00,unch,0,0,0.00,36.73%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|84.00C,XLI,84.00,+10.10%,7.00,9.43,11.85,6.95,6.95,unch,1,1,1.00,122.72%,Call,7,03/12/21,03/04/21,23.67%
XLI|20210312|84.50C,XLI,84.50,+9.57%,6.50,8.95,11.40,4.02,4.02,unch,10,5,2.00,33.35%,Call,7,03/12/21,01/29/21,23.67%
XLI|20210312|85.00C,XLI,85.00,+9.03%,6.00,8.38,10.75,3.47,3.47,unch,1,1,1.00,112.92%,Call,7,03/12/21,01/29/21,23.67%
XLI|20210312|85.50C,XLI,85.50,+8.50%,5.50,7.88,10.25,0.00,0.00,unch,0,0,0.00,109.25%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|86.00C,XLI,86.00,+7.96%,5.50,7.75,10.00,7.50,2.95,+64.84%,1,6,0.17,49.07%,Call,7,03/12/21,02/24/21,23.67%
XLI|20210312|86.50C,XLI,86.50,+7.43%,5.00,7.25,9.50,3.40,3.40,unch,1,1,1.00,46.56%,Call,7,03/12/21,02/02/21,23.67%
XLI|20210312|87.00C,XLI,87.00,+6.89%,4.50,6.75,9.00,2.92,0.41,+16.33%,6,7,0.86,44.04%,Call,7,03/12/21,02/03/21,23.67%
XLI|20210312|87.50C,XLI,87.50,+6.36%,4.00,6.25,8.50,2.65,0.44,+19.91%,10,11,0.91,41.49%,Call,7,03/12/21,02/03/21,23.67%
XLI|20210312|88.00C,XLI,88.00,+5.82%,3.50,5.75,8.00,4.12,-0.03,-0.72%,3,7,0.43,38.93%,Call,7,03/12/21,03/04/21,23.67%
XLI|20210312|88.50C,XLI,88.50,+5.29%,3.00,5.25,7.50,4.30,4.30,unch,4,5,0.80,36.34%,Call,7,03/12/21,03/04/21,23.67%
XLI|20210312|89.00C,XLI,89.00,+4.75%,2.50,4.75,7.00,2.89,-1.93,-40.04%,1,6,0.17,88.31%,Call,7,03/12/21,03/05/21,23.67%
XLI|20210312|89.50C,XLI,89.50,+4.22%,2.00,4.25,6.50,3.60,0.53,+17.26%,1,30,0.03,31.07%,Call,7,03/12/21,03/04/21,23.67%
XLI|20210312|90.00C,XLI,90.00,+3.68%,1.50,3.75,6.00,1.92,-1.83,-48.80%,3,14,0.21,80.27%,Call,7,03/12/21,03/05/21,23.67%
XLI|20210312|90.50C,XLI,90.50,+3.15%,1.00,3.40,5.80,2.74,0.83,+43.46%,21,75,0.28,82.33%,Call,7,03/12/21,03/05/21,23.67%
XLI|20210312|91.00C,XLI,91.00,+2.61%,0.50,2.88,5.25,2.83,-0.01,-0.35%,31,60,0.52,26.11%,Call,7,03/12/21,03/03/21,23.67%
XLI|20210312|91.50C,XLI,91.50,+2.08%,0.50,2.75,5.00,2.25,0.78,+53.06%,109,31,3.52,19.85%,Call,7,03/12/21,03/05/21,23.67%
XLI|20210312|92.00C,XLI,92.00,+1.54%,0.05,2.53,5.00,1.82,0.70,+62.50%,6,118,0.05,18.47%,Call,7,03/12/21,03/05/21,23.67%
XLI|20210312|92.50C,XLI,92.50,+1.01%,0.20,2.60,5.00,1.39,0.14,+11.20%,22,84,0.26,16.61%,Call,7,03/12/21,03/05/21,23.67%
XLI|20210312|93.50C,XLI,93.50,-0.06%,0.15,2.58,5.00,1.32,0.82,+164.00%,58,73,0.79,26.36%,Call,7,03/12/21,03/05/21,23.67%
XLI|20210312|94.00C,XLI,94.00,-0.60%,0.28,2.64,5.00,1.07,0.04,+3.88%,213,259,0.82,25.91%,Call,7,03/12/21,03/05/21,23.67%
XLI|20210312|95.00C,XLI,95.00,-1.67%,0.01,2.51,5.00,0.61,0.28,+84.85%,19,33,0.58,23.92%,Call,7,03/12/21,03/05/21,23.67%
XLI|20210312|96.00C,XLI,96.00,-2.74%,0.05,0.33,0.60,0.35,0.13,+59.09%,38,15,2.53,23.60%,Call,7,03/12/21,03/05/21,23.67%
XLI|20210312|96.50C,XLI,96.50,-3.27%,0.04,2.52,5.00,0.27,-0.14,-34.15%,28,2,14.00,23.86%,Call,7,03/12/21,03/05/21,23.67%
XLI|20210312|97.00C,XLI,97.00,-3.81%,0.01,0.28,0.55,0.30,0.15,+100.00%,5,38,0.13,26.59%,Call,7,03/12/21,03/03/21,23.67%
XLI|20210312|98.00C,XLI,98.00,-4.88%,0.03,2.52,5.00,0.24,0.24,unch,3,3,1.00,83.94%,Call,7,03/12/21,02/25/21,23.67%
XLI|20210312|98.50C,XLI,98.50,-5.42%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|99.00C,XLI,99.00,-5.95%,0.00,2.50,5.00,0.11,0.11,unch,3,3,1.00,0.00%,Call,7,03/12/21,03/03/21,23.67%
XLI|20210312|100.00C,XLI,100.00,-7.02%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|105.00C,XLI,105.00,-12.37%,0.01,2.48,4.95,0.00,0.00,unch,0,0,0.00,0.00%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|110.00C,XLI,110.00,-17.72%,0.00,2.50,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,7,03/12/21,N/A,23.67%
XLI|20210312|60.00P,XLI,60.00,-35.79%,0.00,2.50,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,7,03/12/21,N/A,23.67%
XLI|20210312|65.00P,XLI,65.00,-30.44%,0.01,2.51,5.00,0.31,0.31,unch,1,0,0.00,154.74%,Put,7,03/12/21,03/05/21,23.67%
XLI|20210312|70.00P,XLI,70.00,-25.09%,0.01,2.51,5.00,0.09,0.09,unch,1,0,0.00,102.65%,Put,7,03/12/21,03/05/21,23.67%
XLI|20210312|75.00P,XLI,75.00,-19.73%,0.01,2.51,5.00,0.10,-0.31,-75.61%,1,2,0.50,0.00%,Put,7,03/12/21,02/24/21,23.67%
XLI|20210312|78.50P,XLI,78.50,-15.99%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,7,03/12/21,N/A,23.67%
XLI|20210312|79.00P,XLI,79.00,-15.45%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,7,03/12/21,N/A,23.67%
XLI|20210312|79.50P,XLI,79.50,-14.92%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,7,03/12/21,N/A,23.67%
XLI|20210312|80.00P,XLI,80.00,-14.38%,0.01,2.51,5.00,0.20,0.20,unch,5,5,1.00,0.00%,Put,7,03/12/21,02/12/21,23.67%
XLI|20210312|80.50P,XLI,80.50,-13.85%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,7,03/12/21,N/A,23.67%
