Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLI|20210319|40.00C,XLI,40.00,+55.38%,47.05,49.53,52.00,0.00,0.00,unch,0,0,0.00,224.74%,Call,35,03/19/21,N/A,22.86%
XLI|20210319|45.00C,XLI,45.00,+49.80%,42.05,44.53,47.00,0.00,0.00,unch,0,0,0.00,197.21%,Call,35,03/19/21,N/A,22.86%
XLI|20210319|49.00C,XLI,49.00,+45.34%,38.05,40.53,43.00,0.00,0.00,unch,0,0,0.00,177.38%,Call,35,03/19/21,N/A,22.86%
XLI|20210319|50.00C,XLI,50.00,+44.23%,37.00,39.48,41.95,38.20,-0.99,-2.53%,2,2,1.00,171.53%,Call,35,03/19/21,12/16/20,22.86%
XLI|20210319|51.00C,XLI,51.00,+43.11%,36.05,38.53,41.00,0.00,0.00,unch,0,0,0.00,168.06%,Call,35,03/19/21,N/A,22.86%
XLI|20210319|52.00C,XLI,52.00,+42.00%,35.00,37.48,39.95,0.00,0.00,unch,0,0,0.00,162.43%,Call,35,03/19/21,N/A,22.86%
XLI|20210319|53.00C,XLI,53.00,+40.88%,34.05,36.50,38.95,0.00,0.00,unch,0,0,0.00,158.01%,Call,35,03/19/21,N/A,22.86%
XLI|20210319|54.00C,XLI,54.00,+39.77%,33.05,35.53,38.00,35.20,14.31,+68.50%,4,4,1.00,154.72%,Call,35,03/19/21,12/04/20,22.86%
XLI|20210319|55.00C,XLI,55.00,+38.65%,32.05,34.53,37.00,29.88,4.38,+17.18%,5,3,1.67,150.42%,Call,35,03/19/21,11/11/20,22.86%
XLI|20210319|56.00C,XLI,56.00,+37.53%,31.05,33.53,36.00,0.00,0.00,unch,0,0,0.00,146.20%,Call,35,03/19/21,N/A,22.86%
XLI|20210319|57.00C,XLI,57.00,+36.42%,30.05,32.53,35.00,0.00,0.00,unch,0,0,0.00,142.05%,Call,35,03/19/21,N/A,22.86%
XLI|20210319|58.00C,XLI,58.00,+35.30%,29.05,31.50,33.95,0.00,0.00,unch,0,0,0.00,136.99%,Call,35,03/19/21,N/A,22.86%
XLI|20210319|59.00C,XLI,59.00,+34.19%,28.05,30.53,33.00,21.30,1.79,+9.17%,5,4,1.25,133.92%,Call,35,03/19/21,10/06/20,22.86%
XLI|20210319|60.00C,XLI,60.00,+33.07%,27.00,29.48,31.95,29.38,0.32,+1.10%,3,5,0.60,129.02%,Call,35,03/19/21,02/09/21,22.86%
XLI|20210319|61.00C,XLI,61.00,+31.96%,26.05,28.43,30.80,17.89,17.89,unch,3,3,1.00,122.35%,Call,35,03/19/21,08/12/20,22.86%
XLI|20210319|62.00C,XLI,62.00,+30.84%,25.10,27.50,29.90,0.00,0.00,unch,0,0,0.00,120.37%,Call,35,03/19/21,N/A,22.86%
XLI|20210319|63.00C,XLI,63.00,+29.73%,24.10,26.45,28.80,22.78,4.36,+23.67%,4,11,0.36,114.81%,Call,35,03/19/21,11/13/20,22.86%
XLI|20210319|64.00C,XLI,64.00,+28.61%,23.05,25.48,27.90,13.92,13.92,unch,1,1,1.00,112.85%,Call,35,03/19/21,08/20/20,22.86%
XLI|20210319|65.00C,XLI,65.00,+27.50%,22.05,24.53,27.00,22.91,-0.50,-2.14%,1,1,1.00,110.84%,Call,35,03/19/21,12/21/20,22.86%
XLI|20210319|66.00C,XLI,66.00,+26.38%,21.00,23.40,25.80,14.46,4.26,+41.76%,2,3,0.67,103.84%,Call,35,03/19/21,10/05/20,22.86%
XLI|20210319|67.00C,XLI,67.00,+25.26%,20.20,22.60,25.00,0.00,0.00,unch,0,0,0.00,103.50%,Call,35,03/19/21,N/A,22.86%
XLI|20210319|68.00C,XLI,68.00,+24.15%,19.10,21.55,24.00,20.30,0.98,+5.07%,2,12,0.17,99.88%,Call,35,03/19/21,12/01/20,22.86%
XLI|20210319|69.00C,XLI,69.00,+23.03%,18.00,20.43,22.85,21.18,1.69,+8.67%,3,5,0.60,93.98%,Call,35,03/19/21,01/06/21,22.86%
XLI|20210319|70.00C,XLI,70.00,+21.92%,17.10,19.53,21.95,16.00,-0.45,-2.74%,2,166,0.01,91.99%,Call,35,03/19/21,01/29/21,22.86%
XLI|20210319|71.00C,XLI,71.00,+20.80%,16.15,18.53,20.90,19.05,0.20,+1.06%,1,76,0.01,87.74%,Call,35,03/19/21,02/08/21,22.86%
XLI|20210319|72.00C,XLI,72.00,+19.69%,15.20,17.60,20.00,18.30,-0.10,-0.54%,1,523,0.00,85.70%,Call,35,03/19/21,02/10/21,22.86%
XLI|20210319|73.00C,XLI,73.00,+18.57%,15.45,17.33,19.20,17.50,2.50,+16.67%,1,138,0.01,54.92%,Call,35,03/19/21,02/09/21,22.86%
XLI|20210319|74.00C,XLI,74.00,+17.46%,13.50,15.88,18.25,13.75,-2.47,-15.23%,2,372,0.01,41.15%,Call,35,03/19/21,02/02/21,22.86%
XLI|20210319|75.00C,XLI,75.00,+16.34%,12.10,14.55,17.00,15.40,2.40,+18.46%,1,166,0.01,75.30%,Call,35,03/19/21,02/10/21,22.86%
XLI|20210319|76.00C,XLI,76.00,+15.23%,11.10,13.52,15.95,13.20,-1.10,-7.69%,5,105,0.05,71.20%,Call,35,03/19/21,02/11/21,22.86%
XLI|20210319|77.00C,XLI,77.00,+14.11%,10.50,12.90,15.30,12.40,-0.70,-5.34%,1,612,0.00,72.17%,Call,35,03/19/21,02/11/21,22.86%
XLI|20210319|78.00C,XLI,78.00,+12.99%,10.85,12.60,14.35,11.26,-0.44,-3.76%,5,169,0.03,69.24%,Call,35,03/19/21,02/11/21,22.86%
XLI|20210319|79.00C,XLI,79.00,+11.88%,8.50,10.93,13.35,11.35,2.00,+21.39%,2,89,0.02,30.95%,Call,35,03/19/21,02/10/21,22.86%
XLI|20210319|80.00C,XLI,80.00,+10.76%,8.70,10.58,12.45,9.73,-0.27,-2.70%,51,"1,238",0.04,39.87%,Call,35,03/19/21,02/09/21,22.86%
XLI|20210319|81.00C,XLI,81.00,+9.65%,6.50,8.93,11.35,9.60,1.40,+17.07%,1,301,0.00,26.26%,Call,35,03/19/21,02/10/21,22.86%
XLI|20210319|82.00C,XLI,82.00,+8.53%,5.55,7.40,9.25,8.68,1.83,+26.72%,5,"1,046",0.00,42.58%,Call,35,03/19/21,02/10/21,22.86%
XLI|20210319|83.00C,XLI,83.00,+7.42%,5.00,7.38,9.75,7.66,0.81,+11.82%,2,254,0.01,32.27%,Call,35,03/19/21,02/11/21,22.86%
XLI|20210319|84.00C,XLI,84.00,+6.30%,4.00,6.43,8.85,6.25,0.00,unch,1,950,0.00,26.34%,Call,35,03/19/21,02/09/21,22.86%
XLI|20210319|85.00C,XLI,85.00,+5.19%,3.15,5.48,7.80,5.16,-0.74,-12.54%,21,471,0.04,20.05%,Call,35,03/19/21,02/11/21,22.86%
XLI|20210319|86.00C,XLI,86.00,+4.07%,2.74,5.02,7.30,4.51,-0.52,-10.34%,1,554,0.00,21.36%,Call,35,03/19/21,02/11/21,22.86%
XLI|20210319|87.00C,XLI,87.00,+2.96%,3.80,4.00,4.20,3.75,-0.70,-15.73%,6,464,0.01,20.65%,Call,35,03/19/21,02/11/21,22.86%
XLI|20210319|88.00C,XLI,88.00,+1.84%,3.15,4.50,5.85,3.39,-0.34,-9.12%,5,855,0.01,23.21%,Call,35,03/19/21,02/11/21,22.86%
XLI|20210319|89.00C,XLI,89.00,+0.73%,2.55,3.48,4.40,3.00,-0.05,-1.64%,1,"2,265",0.00,24.68%,Call,35,03/19/21,02/11/21,22.86%
XLI|20210319|90.00C,XLI,90.00,-0.39%,2.05,2.42,2.78,2.23,-0.17,-7.08%,"1,043","10,403",0.10,22.13%,Call,35,03/19/21,02/11/21,22.86%
XLI|20210319|95.00C,XLI,95.00,-5.97%,0.41,0.54,0.66,0.55,-0.10,-15.38%,"1,679","5,328",0.32,20.46%,Call,35,03/19/21,02/11/21,22.86%
XLI|20210319|100.00C,XLI,100.00,-11.54%,0.02,0.10,0.17,0.10,-0.04,-28.57%,50,"1,858",0.03,20.53%,Call,35,03/19/21,02/11/21,22.86%
XLI|20210319|105.00C,XLI,105.00,-17.12%,0.02,0.06,0.09,0.05,0.00,unch,5,"2,107",0.00,25.04%,Call,35,03/19/21,02/10/21,22.86%
XLI|20210319|110.00C,XLI,110.00,-22.70%,0.01,0.05,0.08,0.04,0.01,+33.33%,6,62,0.10,0.00%,Call,35,03/19/21,02/01/21,22.86%
XLI|20210319|115.00C,XLI,115.00,-28.28%,0.07,0.08,0.08,0.08,0.01,+14.29%,90,299,0.30,0.00%,Call,35,03/19/21,02/01/21,22.86%
XLI|20210319|40.00P,XLI,40.00,-55.38%,0.02,0.05,0.07,0.00,0.00,unch,0,0,0.00,0.00%,Put,35,03/19/21,N/A,22.86%
XLI|20210319|45.00P,XLI,45.00,-49.80%,0.02,0.05,0.07,0.11,0.11,unch,10,10,1.00,0.00%,Put,35,03/19/21,11/12/20,22.86%
XLI|20210319|49.00P,XLI,49.00,-45.34%,0.02,0.05,0.07,0.20,-0.14,-41.18%,5,6,0.83,0.00%,Put,35,03/19/21,11/12/20,22.86%
XLI|20210319|50.00P,XLI,50.00,-44.23%,0.01,0.04,0.07,0.46,-0.07,-13.21%,2,3,0.67,0.00%,Put,35,03/19/21,09/18/20,22.86%
XLI|20210319|51.00P,XLI,51.00,-43.11%,0.01,0.04,0.07,0.00,0.00,unch,0,0,0.00,0.00%,Put,35,03/19/21,N/A,22.86%
XLI|20210319|52.00P,XLI,52.00,-42.00%,0.01,0.04,0.07,0.78,0.17,+27.87%,2,2,1.00,0.00%,Put,35,03/19/21,09/21/20,22.86%
XLI|20210319|53.00P,XLI,53.00,-40.88%,0.01,0.05,0.08,0.00,0.00,unch,0,0,0.00,0.00%,Put,35,03/19/21,N/A,22.86%
XLI|20210319|54.00P,XLI,54.00,-39.77%,0.01,0.05,0.08,0.50,0.50,unch,1,1,1.00,0.00%,Put,35,03/19/21,10/15/20,22.86%
XLI|20210319|55.00P,XLI,55.00,-38.65%,0.04,0.06,0.08,0.04,-0.59,-93.65%,1,4,0.25,0.00%,Put,35,03/19/21,02/05/21,22.86%
XLI|20210319|56.00P,XLI,56.00,-37.53%,0.02,0.05,0.08,0.52,-0.42,-44.68%,6,7,0.86,0.00%,Put,35,03/19/21,10/20/20,22.86%
XLI|20210319|57.00P,XLI,57.00,-36.42%,0.01,0.05,0.08,0.57,-0.51,-47.22%,5,15,0.33,0.00%,Put,35,03/19/21,10/20/20,22.86%
XLI|20210319|58.00P,XLI,58.00,-35.30%,0.01,0.05,0.08,0.27,0.27,unch,1,3,0.33,0.00%,Put,35,03/19/21,11/24/20,22.86%
XLI|20210319|59.00P,XLI,59.00,-34.19%,0.01,0.05,0.08,0.71,-0.49,-40.83%,43,49,0.88,0.00%,Put,35,03/19/21,10/20/20,22.86%
XLI|20210319|60.00P,XLI,60.00,-33.07%,0.01,0.05,0.09,0.10,0.00,unch,2,278,0.01,0.00%,Put,35,03/19/21,01/22/21,22.86%
XLI|20210319|61.00P,XLI,61.00,-31.96%,0.03,0.06,0.09,0.07,-0.03,-30.00%,1,851,0.00,0.00%,Put,35,03/19/21,02/08/21,22.86%
XLI|20210319|62.00P,XLI,62.00,-30.84%,0.02,0.06,0.09,1.97,0.10,+5.35%,1,243,0.00,0.00%,Put,35,03/19/21,09/25/20,22.86%
XLI|20210319|63.00P,XLI,63.00,-29.73%,0.02,0.06,0.10,1.09,-0.77,-41.40%,1,219,0.00,0.00%,Put,35,03/19/21,11/04/20,22.86%
