Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLI|20210409|88.00C,XLI,88.00,+5.13%,4.75,6.10,7.45,0.00,0.00,unch,0,0,0.00,28.44%,Call,37,04/09/21,N/A,0.00%
XLI|20210409|88.50C,XLI,88.50,+4.59%,4.75,5.80,6.85,0.00,0.00,unch,0,0,0.00,28.88%,Call,37,04/09/21,N/A,0.00%
XLI|20210409|89.00C,XLI,89.00,+4.05%,3.60,5.18,6.75,0.00,0.00,unch,0,0,0.00,26.05%,Call,37,04/09/21,N/A,0.00%
XLI|20210409|89.50C,XLI,89.50,+3.51%,3.30,4.68,6.05,0.00,0.00,unch,0,0,0.00,24.44%,Call,37,04/09/21,N/A,0.00%
XLI|20210409|90.00C,XLI,90.00,+2.98%,3.80,4.85,5.90,0.00,0.00,unch,0,0,0.00,29.00%,Call,37,04/09/21,N/A,0.00%
XLI|20210409|90.50C,XLI,90.50,+2.44%,3.15,4.30,5.45,0.00,0.00,unch,0,0,0.00,26.75%,Call,37,04/09/21,N/A,0.00%
XLI|20210409|91.00C,XLI,91.00,+1.90%,3.10,4.08,5.05,0.00,0.00,unch,0,0,0.00,27.32%,Call,37,04/09/21,N/A,0.00%
XLI|20210409|91.50C,XLI,91.50,+1.36%,2.55,3.63,4.70,0.00,0.00,unch,0,0,0.00,25.82%,Call,37,04/09/21,N/A,0.00%
XLI|20210409|92.00C,XLI,92.00,+0.82%,1.80,3.20,4.60,0.00,0.00,unch,0,0,0.00,24.45%,Call,37,04/09/21,N/A,0.00%
XLI|20210409|92.50C,XLI,92.50,+0.28%,1.69,2.77,3.85,0.00,0.00,unch,0,0,0.00,22.95%,Call,37,04/09/21,N/A,0.00%
XLI|20210409|93.00C,XLI,93.00,-0.26%,1.94,2.82,3.70,0.00,0.00,unch,0,0,0.00,25.41%,Call,37,04/09/21,N/A,0.00%
XLI|20210409|93.50C,XLI,93.50,-0.80%,1.28,2.42,3.55,0.00,0.00,unch,0,0,0.00,23.89%,Call,37,04/09/21,N/A,0.00%
XLI|20210409|94.00C,XLI,94.00,-1.34%,1.09,2.15,3.20,0.00,0.00,unch,0,0,0.00,23.39%,Call,37,04/09/21,N/A,0.00%
XLI|20210409|94.50C,XLI,94.50,-1.88%,0.88,1.94,3.00,0.00,0.00,unch,0,0,0.00,23.32%,Call,37,04/09/21,N/A,0.00%
XLI|20210409|95.00C,XLI,95.00,-2.41%,1.02,1.72,2.41,0.00,0.00,unch,0,0,0.00,22.95%,Call,37,04/09/21,N/A,0.00%
