Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLK|20210219|65.00C,XLK,65.00,+52.34%,68.60,71.05,73.50,0.00,0.00,unch,0,0,0.00,373.57%,Call,8,02/19/21,N/A,22.78%
XLK|20210219|70.00C,XLK,70.00,+48.67%,63.65,66.08,68.50,62.80,62.80,unch,10,10,1.00,341.77%,Call,8,02/19/21,01/22/21,22.78%
XLK|20210219|75.00C,XLK,75.00,+45.01%,58.65,61.08,63.50,57.80,57.80,unch,10,10,1.00,312.15%,Call,8,02/19/21,01/22/21,22.78%
XLK|20210219|80.00C,XLK,80.00,+41.34%,53.60,56.05,58.50,0.00,0.00,unch,0,30,0.00,284.38%,Call,8,02/19/21,N/A,22.78%
XLK|20210219|85.00C,XLK,85.00,+37.67%,49.00,51.48,53.95,0.00,0.00,unch,0,0,0.00,139.91%,Call,8,02/19/21,N/A,22.78%
XLK|20210219|89.00C,XLK,89.00,+34.74%,45.00,47.45,49.90,0.00,0.00,unch,0,0,0.00,121.64%,Call,8,02/19/21,N/A,22.78%
XLK|20210219|90.00C,XLK,90.00,+34.01%,44.00,46.45,48.90,44.94,44.94,unch,1,1,1.00,118.65%,Call,8,02/19/21,02/04/21,22.78%
XLK|20210219|91.00C,XLK,91.00,+33.27%,43.00,45.45,47.90,0.00,0.00,unch,0,0,0.00,115.70%,Call,8,02/19/21,N/A,22.78%
XLK|20210219|92.00C,XLK,92.00,+32.54%,42.00,44.48,46.95,35.70,35.70,unch,55,55,1.00,118.16%,Call,8,02/19/21,01/15/21,22.78%
XLK|20210219|93.00C,XLK,93.00,+31.81%,41.00,43.45,45.90,34.95,-1.20,-3.32%,63,80,0.79,109.89%,Call,8,02/19/21,01/15/21,22.78%
XLK|20210219|94.00C,XLK,94.00,+31.07%,40.00,42.45,44.90,34.35,34.35,unch,26,40,0.65,107.03%,Call,8,02/19/21,01/12/21,22.78%
XLK|20210219|95.00C,XLK,95.00,+30.34%,39.00,41.45,43.90,35.20,-0.61,-1.70%,1,15,0.07,104.20%,Call,8,02/19/21,12/31/20,22.78%
XLK|20210219|96.00C,XLK,96.00,+29.61%,38.00,40.48,42.95,31.85,31.85,unch,26,26,1.00,106.42%,Call,8,02/19/21,01/15/21,22.78%
XLK|20210219|97.00C,XLK,97.00,+28.88%,37.00,39.48,41.95,0.00,0.00,unch,0,0,0.00,103.55%,Call,8,02/19/21,N/A,22.78%
XLK|20210219|98.00C,XLK,98.00,+28.14%,36.00,38.48,40.95,30.49,30.49,unch,2,2,1.00,100.71%,Call,8,02/19/21,12/18/20,22.78%
XLK|20210219|99.00C,XLK,99.00,+27.41%,35.00,37.48,39.95,0.00,0.00,unch,0,0,0.00,97.89%,Call,8,02/19/21,N/A,22.78%
XLK|20210219|100.00C,XLK,100.00,+26.68%,34.00,36.38,38.75,36.62,-0.11,-0.30%,1,12,0.08,111.56%,Call,8,02/19/21,02/10/21,22.78%
XLK|20210219|101.00C,XLK,101.00,+25.94%,33.00,35.38,37.75,0.00,0.00,unch,0,0,0.00,188.95%,Call,8,02/19/21,N/A,22.78%
XLK|20210219|102.00C,XLK,102.00,+25.21%,32.00,34.40,36.80,0.00,0.00,unch,0,0,0.00,63.85%,Call,8,02/19/21,N/A,22.78%
XLK|20210219|103.00C,XLK,103.00,+24.48%,31.20,33.58,35.95,31.81,4.37,+15.93%,1,1,1.00,98.48%,Call,8,02/19/21,01/25/21,22.78%
XLK|20210219|104.00C,XLK,104.00,+23.74%,30.00,32.50,35.00,29.13,2.67,+10.09%,2,1,2.00,87.64%,Call,8,02/19/21,01/22/21,22.78%
XLK|20210219|105.00C,XLK,105.00,+23.01%,29.00,31.45,33.90,25.70,-2.42,-8.61%,4,16,0.25,77.28%,Call,8,02/19/21,01/29/21,22.78%
