Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
65.00,+53.10%,71.00,73.50,76.00,0.00,0.00,unch,0,0,0.00,453.21%,Call,N/A
70.00,+49.49%,66.00,68.50,71.00,62.80,62.80,unch,10,10,1.00,415.59%,Call,01/22/21
75.00,+45.88%,61.00,63.50,66.00,57.80,57.80,unch,10,10,1.00,380.59%,Call,01/22/21
80.00,+42.28%,56.00,58.50,61.00,0.00,0.00,unch,0,30,0.00,347.79%,Call,N/A
85.00,+38.67%,51.00,53.50,56.00,0.00,0.00,unch,0,0,0.00,316.87%,Call,N/A
89.00,+35.78%,47.00,49.50,52.00,0.00,0.00,unch,0,0,0.00,293.30%,Call,N/A
90.00,+35.06%,46.00,48.50,51.00,44.94,44.94,unch,1,1,1.00,287.55%,Call,02/04/21
91.00,+34.34%,45.00,47.50,50.00,0.00,0.00,unch,0,0,0.00,281.85%,Call,N/A
92.00,+33.62%,44.00,46.50,49.00,35.70,35.70,unch,55,55,1.00,276.21%,Call,01/15/21
93.00,+32.90%,43.00,45.50,48.00,34.95,-1.20,-3.32%,63,80,0.79,270.61%,Call,01/15/21
94.00,+32.17%,42.00,44.50,47.00,34.35,34.35,unch,26,40,0.65,265.07%,Call,01/12/21
95.00,+31.45%,41.00,43.50,46.00,35.20,-0.61,-1.70%,1,15,0.07,259.57%,Call,12/31/20
96.00,+30.73%,40.00,42.50,45.00,31.85,31.85,unch,26,26,1.00,254.12%,Call,01/15/21
97.00,+30.01%,39.00,41.50,44.00,0.00,0.00,unch,0,0,0.00,248.71%,Call,N/A
98.00,+29.29%,38.00,40.50,43.00,30.49,30.49,unch,2,2,1.00,243.35%,Call,12/18/20
99.00,+28.57%,37.00,39.50,42.00,0.00,0.00,unch,0,0,0.00,238.02%,Call,N/A
100.00,+27.84%,36.00,38.50,41.00,36.62,-0.11,-0.30%,1,11,0.09,232.73%,Call,02/10/21
101.00,+27.12%,35.00,37.50,40.00,0.00,0.00,unch,0,0,0.00,227.49%,Call,N/A
102.00,+26.40%,34.00,36.43,38.85,0.00,0.00,unch,0,0,0.00,217.78%,Call,N/A
103.00,+25.68%,33.00,35.48,37.95,31.81,4.37,+15.93%,1,1,1.00,215.63%,Call,01/25/21
104.00,+24.96%,32.00,34.50,37.00,29.13,2.67,+10.09%,2,1,2.00,211.95%,Call,01/22/21
105.00,+24.24%,31.00,33.48,35.95,25.70,-2.42,-8.61%,4,16,0.25,205.41%,Call,01/29/21
106.00,+23.52%,30.00,32.45,34.90,28.08,0.89,+3.27%,50,37,1.35,198.94%,Call,01/27/21
107.00,+22.79%,29.00,31.45,33.90,0.00,0.00,unch,0,0,0.00,193.93%,Call,N/A
108.00,+22.07%,28.00,30.50,33.00,0.00,0.00,unch,0,0,0.00,191.66%,Call,N/A
109.00,+21.35%,27.00,29.45,31.90,22.40,1.75,+8.47%,1,5,0.20,183.98%,Call,01/08/21
110.00,+20.63%,26.75,28.48,30.20,28.10,0.68,+2.48%,15,16,0.94,159.37%,Call,02/12/21
111.00,+19.91%,25.00,27.45,29.90,21.85,0.88,+4.20%,4,5,0.80,174.13%,Call,02/01/21
112.00,+19.19%,24.00,26.50,29.00,26.50,0.93,+3.64%,5,381,0.01,171.77%,Call,02/12/21
113.00,+18.46%,23.00,25.45,27.90,22.09,0.84,+3.95%,2,12,0.17,164.35%,Call,02/04/21
