Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
70.00,+46.44%,58.60,61.05,63.50,0.00,0.00,unch,0,0,0.00,259.78%,Call,N/A
75.00,+42.61%,53.60,56.05,58.50,0.00,0.00,unch,0,0,0.00,234.32%,Call,N/A
80.00,+38.79%,48.60,51.05,53.50,0.00,0.00,unch,0,0,0.00,210.40%,Call,N/A
85.00,+34.96%,43.60,46.05,48.50,0.00,0.00,unch,0,0,0.00,187.77%,Call,N/A
90.00,+31.13%,38.60,41.05,43.50,0.00,0.00,unch,0,0,0.00,166.26%,Call,N/A
95.00,+27.31%,33.60,36.05,38.50,0.00,0.00,unch,0,0,0.00,145.69%,Call,N/A
100.00,+23.48%,28.50,30.95,33.40,33.65,33.65,unch,22,18,1.22,118.50%,Call,01/25/21
105.00,+19.66%,23.60,26.05,28.50,0.00,0.00,unch,0,0,0.00,106.74%,Call,N/A
110.00,+15.83%,19.80,21.65,23.50,20.65,-1.30,-5.92%,1,4,0.25,112.30%,Call,02/25/21
115.00,+12.01%,13.85,16.13,18.40,16.20,0.70,+4.52%,58,219,0.26,75.76%,Call,02/26/21
120.00,+8.18%,8.75,11.13,13.50,11.90,0.49,+4.29%,1,4,0.25,74.67%,Call,02/26/21
124.50,+4.74%,5.30,7.30,9.30,8.09,8.09,unch,2,0,0.00,66.21%,Call,02/26/21
125.00,+4.35%,4.45,6.60,8.75,7.08,0.58,+8.92%,7,5,1.40,54.21%,Call,02/26/21
125.50,+3.97%,4.35,6.43,8.50,0.00,0.00,unch,0,0,0.00,48.75%,Call,N/A
126.00,+3.59%,3.20,5.55,7.90,11.82,0.95,+8.74%,5,10,0.50,39.04%,Call,02/11/21
126.50,+3.21%,3.70,5.80,7.90,5.75,-3.45,-37.50%,1,1,1.00,50.21%,Call,02/23/21
127.00,+2.82%,3.60,4.95,6.30,6.79,0.15,+2.26%,2,11,0.18,41.41%,Call,02/25/21
127.50,+2.44%,3.30,4.57,5.85,4.65,4.65,unch,11,11,1.00,40.84%,Call,02/25/21
128.00,+2.06%,2.64,4.40,6.15,4.65,-1.40,-23.14%,1,1,1.00,43.26%,Call,02/23/21
128.50,+1.68%,2.43,3.64,4.85,4.87,4.87,unch,2,2,1.00,36.18%,Call,02/26/21
129.00,+1.29%,2.31,3.91,5.50,4.57,0.67,+17.18%,1,51,0.02,55.31%,Call,02/26/21
129.50,+0.91%,0.70,2.85,5.00,4.15,0.75,+22.06%,1,2,0.50,53.10%,Call,02/26/21
130.00,+0.53%,1.62,3.21,4.80,3.45,0.45,+15.00%,17,66,0.26,46.53%,Call,02/26/21
130.50,+0.15%,1.51,2.43,3.35,3.05,0.21,+7.39%,5,22,0.23,44.36%,Call,02/26/21
131.00,-0.24%,1.23,2.14,3.05,2.83,0.48,+20.43%,12,41,0.29,44.69%,Call,02/26/21
131.50,-0.62%,0.96,1.91,2.85,2.49,0.11,+4.62%,12,6,2.00,43.02%,Call,02/26/21
132.00,-1.00%,0.89,1.66,2.43,2.13,0.25,+13.30%,30,70,0.43,40.83%,Call,02/26/21
132.50,-1.38%,0.33,1.28,2.22,1.98,0.23,+13.14%,47,42,1.12,41.59%,Call,02/26/21
133.00,-1.77%,0.53,1.14,1.75,1.41,-0.53,-27.32%,102,48,2.13,35.53%,Call,02/26/21
133.50,-2.15%,0.30,0.81,1.31,1.14,-0.26,-18.57%,118,31,3.81,33.75%,Call,02/26/21
134.00,-2.53%,0.37,0.74,1.10,1.18,-0.30,-20.27%,10,53,0.19,29.06%,Call,02/26/21
134.50,-2.92%,0.18,1.00,1.82,0.95,-0.16,-14.41%,12,83,0.14,35.28%,Call,02/26/21
135.00,-3.30%,0.07,0.46,0.85,0.86,0.06,+7.50%,28,102,0.27,27.72%,Call,02/26/21
135.50,-3.68%,0.20,0.48,0.75,0.57,-0.18,-24.00%,31,60,0.52,32.12%,Call,02/26/21
136.00,-4.06%,0.07,0.29,0.50,0.37,-0.28,-43.08%,19,352,0.05,29.32%,Call,02/26/21
136.50,-4.45%,0.02,0.24,0.45,0.45,-0.49,-52.13%,5,54,0.09,33.16%,Call,02/26/21
137.00,-4.83%,0.03,0.18,0.32,0.35,-0.17,-32.69%,54,75,0.72,26.70%,Call,02/26/21
137.50,-5.21%,0.07,0.28,0.49,0.22,-0.52,-70.27%,28,43,0.65,29.89%,Call,02/26/21
138.00,-5.59%,0.11,0.16,0.20,0.19,-0.16,-45.71%,22,117,0.19,30.32%,Call,02/26/21
138.50,-5.98%,0.06,1.25,2.44,0.14,-0.21,-60.00%,10,58,0.17,29.66%,Call,02/26/21
140.00,-7.12%,0.01,0.09,0.16,0.04,-0.12,-75.00%,65,380,0.17,26.93%,Call,02/26/21
141.00,-7.89%,0.01,0.16,0.30,0.08,-0.05,-38.46%,4,31,0.13,32.82%,Call,02/26/21
141.50,-8.27%,0.01,0.24,0.46,0.09,-0.04,-30.77%,2,20,0.10,0.00%,Call,02/23/21
142.50,-9.04%,0.01,0.27,0.53,0.12,-0.17,-58.62%,3,3,1.00,0.00%,Call,02/22/21
143.00,-9.42%,0.08,0.30,0.52,0.06,-0.12,-66.67%,1,3,0.33,0.00%,Call,02/25/21
145.00,-10.95%,0.05,0.08,0.10,0.05,-0.03,-37.50%,26,238,0.11,39.36%,Call,02/26/21
150.00,-14.78%,0.01,0.03,0.05,0.04,-0.04,-50.00%,1,718,0.00,0.00%,Call,02/17/21
155.00,-18.60%,0.01,0.32,0.62,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
160.00,-22.43%,0.01,0.37,0.72,0.15,0.15,unch,2,4,0.50,0.00%,Call,02/10/21
165.00,-26.25%,0.00,0.25,0.49,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
70.00,-46.44%,0.00,0.05,0.10,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
75.00,-42.61%,0.01,0.17,0.33,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
80.00,-38.79%,0.01,0.28,0.55,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
85.00,-34.96%,0.01,0.34,0.66,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
90.00,-31.13%,0.01,0.21,0.40,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
95.00,-27.31%,0.01,0.33,0.65,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
100.00,-23.48%,0.01,0.10,0.18,0.10,0.10,unch,1,1,1.00,0.00%,Put,02/17/21
105.00,-19.66%,0.01,0.11,0.21,0.08,-0.25,-75.76%,1,68,0.01,0.00%,Put,02/25/21
110.00,-15.83%,0.02,0.12,0.22,0.10,-0.26,-72.22%,3,4,0.75,70.68%,Put,02/25/21
115.00,-12.01%,0.05,0.18,0.30,0.20,-0.06,-23.08%,6,7,0.86,60.65%,Put,02/26/21
120.00,-8.18%,0.23,0.27,0.30,0.23,-0.17,-42.50%,44,167,0.26,45.31%,Put,02/26/21
124.50,-4.74%,0.45,0.92,1.40,0.60,-0.42,-41.18%,150,319,0.47,39.85%,Put,02/26/21
125.00,-4.35%,0.38,0.64,0.89,0.81,-0.44,-35.20%,66,"1,093",0.06,42.37%,Put,02/26/21
125.50,-3.97%,0.44,0.76,1.07,0.44,-0.83,-65.35%,7,182,0.04,31.73%,Put,02/26/21
126.00,-3.59%,0.50,0.83,1.15,0.84,-0.61,-42.07%,6,76,0.08,38.33%,Put,02/26/21
126.50,-3.21%,0.56,1.23,1.89,0.74,-0.76,-50.67%,29,49,0.59,33.96%,Put,02/26/21
127.00,-2.82%,0.62,1.26,1.89,0.80,-0.50,-38.46%,36,70,0.51,32.73%,Put,02/26/21
127.50,-2.44%,0.61,1.24,1.86,1.32,0.07,+5.60%,1,23,0.04,38.00%,Put,02/24/21
128.00,-2.06%,0.89,1.41,1.92,1.07,-1.13,-51.36%,34,320,0.11,32.45%,Put,02/26/21
128.50,-1.68%,0.85,1.63,2.40,1.00,0.09,+9.89%,12,84,0.14,28.53%,Put,02/26/21
129.00,-1.29%,1.03,1.81,2.58,1.00,-1.15,-53.49%,56,342,0.16,38.47%,Put,02/26/21
129.50,-0.91%,0.88,1.86,2.84,1.27,-0.69,-35.20%,11,34,0.32,26.99%,Put,02/26/21
130.00,-0.53%,1.85,2.28,2.70,1.52,-1.19,-43.91%,72,367,0.20,38.96%,Put,02/26/21
130.50,-0.15%,0.26,2.23,4.20,1.44,-1.75,-54.86%,6,44,0.14,22.82%,Put,02/26/21
131.00,+0.24%,1.54,2.72,3.90,2.08,-0.84,-28.77%,14,84,0.17,28.57%,Put,02/26/21
131.50,+0.62%,1.67,2.81,3.95,2.35,-1.45,-38.16%,9,31,0.29,28.45%,Put,02/26/21
132.00,+1.00%,0.88,3.07,5.25,2.27,-1.37,-37.64%,3,40,0.08,22.54%,Put,02/26/21
132.50,+1.38%,1.91,3.28,4.65,2.26,-1.79,-44.20%,5,37,0.14,16.58%,Put,02/26/21
133.00,+1.77%,2.24,3.97,5.70,2.97,-0.83,-21.84%,11,77,0.14,22.73%,Put,02/26/21
133.50,+2.15%,2.41,4.08,5.75,2.75,-1.31,-32.27%,12,59,0.20,61.96%,Put,02/26/21
134.00,+2.53%,2.58,4.37,6.15,3.00,-2.10,-41.18%,5,94,0.05,63.28%,Put,02/26/21
134.50,+2.92%,2.94,4.67,6.40,3.64,1.24,+51.67%,2,39,0.05,62.13%,Put,02/26/21
135.00,+3.30%,2.65,4.90,7.15,5.55,0.08,+1.46%,1,26,0.04,42.46%,Put,02/26/21
135.50,+3.68%,3.30,5.55,7.80,4.50,-0.45,-9.09%,2,10,0.20,73.80%,Put,02/26/21
136.00,+4.06%,3.05,5.50,7.95,4.90,-0.76,-13.43%,1,21,0.05,70.79%,Put,02/26/21
136.50,+4.45%,3.95,6.23,8.50,3.57,1.56,+77.61%,1,6,0.17,31.82%,Put,02/22/21
137.00,+4.83%,4.00,6.40,8.80,6.52,2.41,+58.64%,4,12,0.33,21.93%,Put,02/23/21
137.50,+5.21%,4.50,6.80,9.10,5.80,-1.05,-15.33%,1,2,0.50,72.30%,Put,02/26/21
138.00,+5.59%,5.00,7.35,9.70,5.97,-3.03,-33.67%,2,4,0.50,76.33%,Put,02/26/21
138.50,+5.98%,5.10,7.43,9.75,8.80,3.75,+74.26%,3,3,1.00,70.75%,Put,02/23/21
140.00,+7.12%,6.60,9.02,11.45,5.38,1.91,+55.04%,3,9,0.33,80.84%,Put,02/18/21
