Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLK|20210312|70.00C,XLK,70.00,+48.27%,63.00,65.48,67.95,0.00,0.00,unch,0,0,0.00,96.22%,Call,35,03/12/21,N/A,21.79%
XLK|20210312|75.00C,XLK,75.00,+44.58%,58.00,60.50,63.00,0.00,0.00,unch,0,0,0.00,88.50%,Call,35,03/12/21,N/A,21.79%
XLK|20210312|80.00C,XLK,80.00,+40.88%,53.00,55.50,58.00,0.00,0.00,unch,0,0,0.00,79.08%,Call,35,03/12/21,N/A,21.79%
XLK|20210312|85.00C,XLK,85.00,+37.19%,48.00,50.50,53.00,0.00,0.00,unch,0,0,0.00,70.22%,Call,35,03/12/21,N/A,21.79%
XLK|20210312|90.00C,XLK,90.00,+33.49%,43.00,45.50,48.00,0.00,0.00,unch,0,0,0.00,61.86%,Call,35,03/12/21,N/A,21.79%
XLK|20210312|95.00C,XLK,95.00,+29.80%,38.00,40.50,43.00,0.00,0.00,unch,0,0,0.00,53.95%,Call,35,03/12/21,N/A,21.79%
XLK|20210312|100.00C,XLK,100.00,+26.10%,33.15,35.40,37.65,0.00,0.00,unch,0,0,0.00,32.92%,Call,35,03/12/21,N/A,21.79%
XLK|20210312|105.00C,XLK,105.00,+22.41%,28.20,30.45,32.70,0.00,0.00,unch,0,0,0.00,35.49%,Call,35,03/12/21,N/A,21.79%
XLK|20210312|110.00C,XLK,110.00,+18.71%,24.05,26.05,28.05,0.00,0.00,unch,0,0,0.00,47.54%,Call,35,03/12/21,N/A,21.79%
XLK|20210312|115.00C,XLK,115.00,+15.02%,18.75,21.03,23.30,0.00,0.00,unch,0,0,0.00,38.92%,Call,35,03/12/21,N/A,21.79%
XLK|20210312|120.00C,XLK,120.00,+11.32%,13.75,16.10,18.45,15.30,1.23,+8.74%,1,4,0.25,31.91%,Call,35,03/12/21,02/03/21,21.79%
XLK|20210312|125.00C,XLK,125.00,+7.63%,10.80,12.35,13.90,0.00,0.00,unch,0,0,0.00,35.30%,Call,35,03/12/21,N/A,21.79%
XLK|20210312|125.50C,XLK,125.50,+7.26%,10.35,10.98,11.60,10.90,10.90,unch,2,0,0.00,25.96%,Call,35,03/12/21,02/05/21,21.79%
XLK|20210312|126.00C,XLK,126.00,+6.89%,9.95,10.58,11.20,10.69,0.49,+4.80%,2,4,0.50,27.73%,Call,35,03/12/21,02/05/21,21.79%
XLK|20210312|126.50C,XLK,126.50,+6.52%,9.50,10.13,10.75,0.00,0.00,unch,0,0,0.00,26.21%,Call,35,03/12/21,N/A,21.79%
XLK|20210312|127.00C,XLK,127.00,+6.15%,9.15,9.73,10.30,9.08,9.08,unch,10,10,1.00,26.13%,Call,35,03/12/21,02/03/21,21.79%
XLK|20210312|127.50C,XLK,127.50,+5.78%,8.75,9.30,9.85,0.00,0.00,unch,0,0,0.00,25.79%,Call,35,03/12/21,N/A,21.79%
XLK|20210312|128.00C,XLK,128.00,+5.41%,8.35,8.90,9.45,0.00,0.00,unch,0,0,0.00,25.61%,Call,35,03/12/21,N/A,21.79%
XLK|20210312|128.50C,XLK,128.50,+5.04%,8.00,8.53,9.05,6.95,6.95,unch,1,1,1.00,25.57%,Call,35,03/12/21,02/01/21,21.79%
XLK|20210312|129.00C,XLK,129.00,+4.67%,7.55,8.08,8.60,7.75,0.53,+7.34%,2,6,0.33,24.92%,Call,35,03/12/21,02/02/21,21.79%
XLK|20210312|129.50C,XLK,129.50,+4.30%,7.20,7.70,8.20,5.40,5.40,unch,5,21,0.24,24.79%,Call,35,03/12/21,02/01/21,21.79%
XLK|20210312|130.00C,XLK,130.00,+3.93%,6.85,7.32,7.80,7.30,0.70,+10.61%,1,18,0.06,24.43%,Call,35,03/12/21,02/05/21,21.79%
XLK|20210312|130.50C,XLK,130.50,+3.56%,6.45,6.93,7.40,7.65,0.87,+12.83%,1,11,0.09,29.11%,Call,35,03/12/21,02/05/21,21.79%
XLK|20210312|131.00C,XLK,131.00,+3.19%,6.10,7.55,9.00,5.86,1.21,+26.02%,13,16,0.81,30.52%,Call,35,03/12/21,02/01/21,21.79%
XLK|20210312|131.50C,XLK,131.50,+2.82%,5.75,6.20,6.65,4.75,0.35,+7.95%,3,6,0.50,23.76%,Call,35,03/12/21,02/01/21,21.79%
XLK|20210312|132.00C,XLK,132.00,+2.45%,5.45,5.85,6.25,5.60,0.20,+3.70%,1,15,0.07,23.54%,Call,35,03/12/21,02/04/21,21.79%
