Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLK|20210409|115.00C,XLK,115.00,+11.14%,13.80,15.90,18.00,0.00,0.00,unch,0,0,0.00,40.72%,Call,37,04/09/21,N/A,28.84%
XLK|20210409|120.00C,XLK,120.00,+7.28%,8.95,11.23,13.50,0.00,-14.62,-100.00%,0,0,0.00,33.55%,Call,37,04/09/21,N/A,28.84%
XLK|20210409|124.00C,XLK,124.00,+4.19%,6.45,8.33,10.20,0.00,0.00,unch,0,0,0.00,32.58%,Call,37,04/09/21,N/A,28.84%
XLK|20210409|125.00C,XLK,125.00,+3.42%,5.55,7.07,8.60,0.00,0.00,unch,0,0,0.00,28.45%,Call,37,04/09/21,N/A,28.84%
XLK|20210409|126.00C,XLK,126.00,+2.64%,4.60,6.20,7.80,0.00,0.00,unch,0,0,0.00,26.76%,Call,37,04/09/21,N/A,28.84%
XLK|20210409|127.00C,XLK,127.00,+1.87%,3.75,5.45,7.15,0.00,-7.30,-100.00%,0,0,0.00,25.72%,Call,37,04/09/21,N/A,28.84%
XLK|20210409|127.50C,XLK,127.50,+1.48%,3.70,5.25,6.80,0.00,0.00,unch,0,0,0.00,26.23%,Call,37,04/09/21,N/A,28.84%
XLK|20210409|128.00C,XLK,128.00,+1.10%,2.90,4.68,6.45,5.50,5.50,unch,1,0,0.00,29.45%,Call,37,04/09/21,03/03/21,28.84%
XLK|20210409|128.50C,XLK,128.50,+0.71%,2.96,4.51,6.05,0.00,0.00,unch,0,0,0.00,24.93%,Call,37,04/09/21,N/A,28.84%
XLK|20210409|129.00C,XLK,129.00,+0.32%,3.10,4.43,5.75,0.00,0.00,unch,0,0,0.00,25.99%,Call,37,04/09/21,N/A,28.84%
XLK|20210409|129.50C,XLK,129.50,-0.06%,2.31,3.88,5.45,4.65,4.65,unch,18,0,0.00,28.84%,Call,37,04/09/21,03/03/21,28.84%
XLK|20210409|130.00C,XLK,130.00,-0.45%,2.05,3.98,5.90,4.83,-1.56,-24.41%,1,3,0.33,31.36%,Call,37,04/09/21,03/03/21,28.84%
XLK|20210409|130.50C,XLK,130.50,-0.83%,1.60,3.33,5.05,0.00,0.00,unch,0,0,0.00,23.56%,Call,37,04/09/21,N/A,28.84%
XLK|20210409|131.00C,XLK,131.00,-1.22%,1.72,3.49,5.25,0.00,0.00,unch,0,0,0.00,25.85%,Call,37,04/09/21,N/A,28.84%
XLK|20210409|131.50C,XLK,131.50,-1.61%,2.25,3.43,4.60,4.16,-0.79,-15.96%,10,5,2.00,31.27%,Call,37,04/09/21,03/03/21,28.84%
XLK|20210409|132.00C,XLK,132.00,-1.99%,1.24,3.37,5.50,3.35,-1.30,-27.96%,9,1,9.00,27.52%,Call,37,04/09/21,03/03/21,28.84%
