Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
50.00,+21.01%,11.10,13.55,16.00,0.00,0.00,unch,0,0,0.00,123.59%,Call,N/A
55.00,+13.11%,6.10,8.45,10.80,0.00,0.00,unch,0,0,0.00,73.61%,Call,N/A
58.50,+7.58%,2.50,4.90,7.30,0.00,0.00,unch,0,0,0.00,43.15%,Call,N/A
59.00,+6.79%,2.00,4.38,6.75,0.00,0.00,unch,0,0,0.00,37.29%,Call,N/A
59.50,+6.00%,1.70,4.10,6.50,0.00,0.00,unch,0,0,0.00,48.33%,Call,N/A
60.00,+5.21%,1.25,3.63,6.00,0.00,0.00,unch,0,0,0.00,45.15%,Call,N/A
60.50,+4.42%,0.50,2.88,5.25,4.20,4.20,unch,5,5,1.00,26.65%,Call,02/01/21
61.00,+3.63%,0.25,2.63,5.00,2.80,-1.49,-34.73%,4,9,0.44,43.11%,Call,02/26/21
61.50,+2.84%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,46.01%,Call,N/A
62.00,+2.05%,0.51,2.76,5.00,4.00,4.00,unch,1,1,1.00,64.11%,Call,02/09/21
62.50,+1.26%,0.50,2.75,5.00,0.00,0.00,unch,0,0,0.00,72.81%,Call,N/A
63.00,+0.47%,0.10,2.50,4.90,2.43,-0.13,-5.08%,1,1,1.00,73.07%,Call,02/17/21
63.50,-0.32%,0.32,2.61,4.90,0.58,0.58,unch,1,0,0.00,21.15%,Call,02/26/21
64.00,-1.11%,0.05,0.26,0.46,0.44,-0.68,-60.71%,7,10,0.70,22.94%,Call,02/26/21
64.50,-1.90%,0.10,0.20,0.30,0.19,-0.40,-67.80%,5,10,0.50,18.93%,Call,02/26/21
65.00,-2.69%,0.01,0.60,1.19,0.14,-0.20,-58.82%,10,129,0.08,20.78%,Call,02/26/21
65.50,-3.48%,0.02,0.08,0.13,0.06,-0.10,-62.50%,45,123,0.37,19.39%,Call,02/26/21
66.00,-4.27%,0.02,0.26,0.49,0.02,-0.09,-81.82%,10,213,0.05,18.01%,Call,02/26/21
66.50,-5.06%,0.02,2.51,5.00,0.04,-0.02,-33.33%,5,"2,132",0.00,23.45%,Call,02/26/21
67.00,-5.85%,0.01,2.51,5.00,0.05,-0.02,-28.57%,10,33,0.30,0.00%,Call,02/25/21
67.50,-6.64%,0.01,2.51,5.00,0.05,-0.21,-80.77%,1,77,0.01,0.00%,Call,02/22/21
68.00,-7.42%,0.01,2.43,4.85,0.07,0.00,unch,4,34,0.12,0.00%,Call,02/19/21
68.50,-8.21%,0.01,2.43,4.85,0.03,-0.06,-66.67%,1,52,0.02,0.00%,Call,02/11/21
69.00,-9.00%,0.02,2.51,5.00,0.07,-0.23,-76.67%,1,15,0.07,0.00%,Call,02/03/21
69.50,-9.79%,0.01,2.48,4.95,0.01,-0.10,-90.91%,2,2,1.00,0.00%,Call,02/12/21
70.00,-10.58%,0.01,2.26,4.50,0.04,0.02,+100.00%,2,38,0.05,0.00%,Call,02/16/21
70.50,-11.37%,0.01,2.48,4.95,0.03,-0.12,-80.00%,2,2,1.00,0.00%,Call,02/02/21
71.00,-12.16%,0.01,2.26,4.50,0.16,0.08,+100.00%,2,27,0.07,0.00%,Call,01/27/21
71.50,-12.95%,0.01,2.51,5.00,0.06,0.06,unch,25,25,1.00,0.00%,Call,01/25/21
72.00,-13.74%,0.01,2.26,4.50,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
72.50,-14.53%,0.01,2.48,4.95,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
75.00,-18.48%,0.01,2.26,4.50,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
50.00,-21.01%,0.01,0.05,0.08,0.01,-0.01,-50.00%,125,201,0.62,0.00%,Put,02/24/21
55.00,-13.11%,0.01,2.43,4.85,0.00,0.00,unch,0,0,0.00,186.73%,Put,N/A
58.50,-7.58%,0.02,2.51,5.00,0.03,0.00,unch,4,1,4.00,32.62%,Put,02/26/21
59.00,-6.79%,0.02,2.43,4.85,0.00,0.00,unch,0,0,0.00,135.60%,Put,N/A
59.50,-6.00%,0.02,2.43,4.85,0.05,-0.36,-87.80%,1,1,1.00,129.02%,Put,02/11/21
60.00,-5.21%,0.01,2.43,4.85,0.10,0.07,+233.33%,811,811,1.00,122.19%,Put,02/12/21
60.50,-4.42%,0.02,2.51,5.00,0.00,0.00,unch,0,0,0.00,118.10%,Put,N/A
61.00,-3.63%,0.03,2.44,4.85,0.06,-0.24,-80.00%,6,23,0.26,108.93%,Put,02/08/21
61.50,-2.84%,0.05,2.45,4.85,0.15,0.10,+200.00%,2,1,2.00,22.29%,Put,02/26/21
62.00,-2.05%,0.02,2.43,4.85,0.11,0.02,+22.22%,11,9,1.22,16.06%,Put,02/26/21
62.50,-1.26%,0.01,2.51,5.00,0.19,0.08,+72.73%,4,"2,019",0.00,14.96%,Put,02/26/21
63.00,-0.47%,0.18,2.59,5.00,0.38,0.13,+52.00%,14,12,1.17,15.64%,Put,02/26/21
63.50,+0.32%,0.06,2.53,5.00,0.49,0.19,+63.33%,12,931,0.01,11.28%,Put,02/26/21
64.00,+1.11%,0.01,2.46,4.90,0.78,0.34,+77.27%,110,977,0.11,8.56%,Put,02/26/21
64.50,+1.90%,0.53,2.77,5.00,1.07,0.81,+311.54%,2,530,0.00,133.58%,Put,02/26/21
65.00,+2.69%,0.03,2.39,4.75,1.50,0.67,+80.72%,1,88,0.01,116.72%,Put,02/26/21
65.50,+3.48%,0.37,2.69,5.00,1.88,0.69,+57.98%,19,369,0.05,115.00%,Put,02/26/21
66.00,+4.27%,0.15,2.23,4.30,2.02,0.89,+78.76%,3,113,0.03,82.40%,Put,02/26/21
66.50,+5.06%,1.02,3.26,5.50,1.72,0.50,+40.98%,40,42,0.95,22.71%,Put,02/22/21
67.00,+5.85%,1.25,3.63,6.00,2.01,0.53,+35.81%,15,5,3.00,115.81%,Put,02/19/21
67.50,+6.64%,1.64,4.07,6.50,0.00,0.00,unch,0,12,0.00,120.97%,Put,N/A
68.00,+7.42%,2.20,4.60,7.00,2.41,-0.44,-15.44%,2,4,0.50,125.98%,Put,02/16/21
68.50,+8.21%,2.63,5.06,7.50,2.31,-1.19,-34.00%,15,15,1.00,130.86%,Put,02/12/21
69.00,+9.00%,3.20,5.60,8.00,0.00,0.00,unch,0,0,0.00,135.61%,Put,N/A
69.50,+9.79%,3.65,6.08,8.50,0.00,0.00,unch,0,0,0.00,140.25%,Put,N/A
70.00,+10.58%,4.20,6.60,9.00,0.00,0.00,unch,0,0,0.00,144.78%,Put,N/A
70.50,+11.37%,4.60,7.05,9.50,0.00,0.00,unch,0,0,0.00,149.22%,Put,N/A
71.00,+12.16%,5.10,7.55,10.00,0.00,0.00,unch,0,0,0.00,153.56%,Put,N/A
71.50,+12.95%,5.60,8.05,10.50,0.00,0.00,unch,0,0,0.00,157.81%,Put,N/A
72.00,+13.74%,6.20,8.60,11.00,0.00,0.00,unch,0,0,0.00,161.99%,Put,N/A
72.50,+14.53%,6.60,9.05,11.50,0.00,0.00,unch,0,0,0.00,166.08%,Put,N/A
75.00,+18.48%,9.10,11.55,14.00,0.00,0.00,unch,0,0,0.00,185.52%,Put,N/A
"Downloaded from Barchart.com as of 03-01-2021 08:08am CST"
