Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLP|20210312|50.00C,XLP,50.00,+23.25%,14.20,15.10,16.00,0.00,0.00,unch,0,0,0.00,64.12%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|55.00C,XLP,55.00,+15.58%,8.45,9.73,11.00,0.00,0.00,unch,0,0,0.00,46.65%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|58.50C,XLP,58.50,+10.21%,5.30,7.03,8.75,0.00,0.00,unch,0,0,0.00,26.47%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|59.00C,XLP,59.00,+9.44%,4.95,6.25,7.55,0.00,0.00,unch,0,0,0.00,18.47%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|59.50C,XLP,59.50,+8.67%,4.65,5.83,7.00,0.00,0.00,unch,0,0,0.00,19.27%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|60.00C,XLP,60.00,+7.90%,4.65,5.08,5.50,0.00,0.00,unch,0,0,0.00,21.52%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|60.50C,XLP,60.50,+7.14%,4.30,5.05,5.80,0.00,0.00,unch,0,0,0.00,20.89%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|61.00C,XLP,61.00,+6.37%,3.85,4.38,4.90,0.00,0.00,unch,0,0,0.00,16.25%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|61.50C,XLP,61.50,+5.60%,3.05,4.07,5.10,0.00,0.00,unch,0,0,0.00,18.16%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|62.00C,XLP,62.00,+4.83%,2.94,3.59,4.25,0.00,0.00,unch,0,0,0.00,16.84%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|62.50C,XLP,62.50,+4.07%,2.57,3.29,4.00,0.00,0.00,unch,0,0,0.00,17.70%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|63.00C,XLP,63.00,+3.30%,1.86,2.48,3.10,2.55,2.55,unch,2,0,0.00,12.88%,Call,35,03/12/21,02/04/21,12.41%
XLP|20210312|63.50C,XLP,63.50,+2.53%,1.30,2.06,2.82,0.00,0.00,unch,0,0,0.00,11.28%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|64.00C,XLP,64.00,+1.77%,1.71,1.89,2.07,1.85,1.85,unch,2,3,0.67,13.21%,Call,35,03/12/21,01/29/21,12.41%
XLP|20210312|64.50C,XLP,64.50,+1.00%,1.38,1.55,1.72,1.44,-0.22,-13.25%,1,8,0.13,12.77%,Call,35,03/12/21,02/03/21,12.41%
XLP|20210312|65.00C,XLP,65.00,+0.23%,1.08,1.43,1.78,1.20,-0.14,-10.45%,1,13,0.08,11.91%,Call,35,03/12/21,02/04/21,12.41%
XLP|20210312|65.50C,XLP,65.50,-0.54%,0.82,1.16,1.50,0.96,0.96,unch,13,13,1.00,13.95%,Call,35,03/12/21,02/01/21,12.41%
XLP|20210312|66.00C,XLP,66.00,-1.30%,0.60,0.74,0.87,0.95,-0.49,-34.03%,1,9,0.11,11.61%,Call,35,03/12/21,01/29/21,12.41%
XLP|20210312|66.50C,XLP,66.50,-2.07%,0.41,0.59,0.76,0.00,0.00,unch,0,0,0.00,11.80%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|67.00C,XLP,67.00,-2.84%,0.19,0.35,0.51,0.51,0.51,unch,2,2,1.00,10.55%,Call,35,03/12/21,02/02/21,12.41%
XLP|20210312|67.50C,XLP,67.50,-3.61%,0.17,0.27,0.37,0.00,0.00,unch,0,0,0.00,10.85%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|68.00C,XLP,68.00,-4.37%,0.10,0.22,0.35,0.25,0.25,unch,1,1,1.00,11.43%,Call,35,03/12/21,02/02/21,12.41%
XLP|20210312|68.50C,XLP,68.50,-5.14%,0.04,0.16,0.28,0.00,0.00,unch,0,0,0.00,11.42%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|69.00C,XLP,69.00,-5.91%,0.01,0.09,0.17,0.00,0.00,unch,0,0,0.00,10.83%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|69.50C,XLP,69.50,-6.68%,0.01,0.08,0.14,0.14,0.14,unch,6,6,1.00,11.37%,Call,35,03/12/21,02/01/21,12.41%
XLP|20210312|70.00C,XLP,70.00,-7.44%,0.01,0.07,0.13,0.00,0.00,unch,0,1,0.00,0.00%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|70.50C,XLP,70.50,-8.21%,0.01,0.07,0.12,0.00,0.00,unch,0,0,0.00,0.00%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|71.00C,XLP,71.00,-8.98%,0.01,0.06,0.10,0.00,0.00,unch,0,0,0.00,0.00%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|71.50C,XLP,71.50,-9.75%,0.02,0.06,0.09,0.00,0.00,unch,0,0,0.00,0.00%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|72.00C,XLP,72.00,-10.51%,0.01,0.05,0.08,0.00,0.00,unch,0,0,0.00,0.00%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|72.50C,XLP,72.50,-11.28%,0.02,0.05,0.08,0.00,0.00,unch,0,0,0.00,0.00%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|75.00C,XLP,75.00,-15.12%,0.01,0.05,0.08,0.00,0.00,unch,0,0,0.00,0.00%,Call,35,03/12/21,N/A,12.41%
XLP|20210312|50.00P,XLP,50.00,-23.25%,0.02,0.05,0.08,0.00,0.00,unch,0,0,0.00,0.00%,Put,35,03/12/21,N/A,12.41%
XLP|20210312|55.00P,XLP,55.00,-15.58%,0.01,0.06,0.11,0.00,0.00,unch,0,0,0.00,0.00%,Put,35,03/12/21,N/A,12.41%
XLP|20210312|58.50P,XLP,58.50,-10.21%,0.01,0.11,0.20,0.00,0.00,unch,0,0,0.00,18.27%,Put,35,03/12/21,N/A,12.41%
XLP|20210312|59.00P,XLP,59.00,-9.44%,0.02,0.12,0.22,0.00,0.00,unch,0,0,0.00,17.62%,Put,35,03/12/21,N/A,12.41%
XLP|20210312|59.50P,XLP,59.50,-8.67%,0.05,0.14,0.23,0.00,0.00,unch,0,0,0.00,17.04%,Put,35,03/12/21,N/A,12.41%
XLP|20210312|60.00P,XLP,60.00,-7.90%,0.07,0.15,0.22,0.00,0.00,unch,0,1,0.00,15.95%,Put,35,03/12/21,N/A,12.41%
XLP|20210312|60.50P,XLP,60.50,-7.14%,0.09,0.20,0.30,0.34,0.34,unch,1,1,1.00,15.93%,Put,35,03/12/21,02/02/21,12.41%
XLP|20210312|61.00P,XLP,61.00,-6.37%,0.09,0.20,0.31,0.00,0.00,unch,0,0,0.00,14.72%,Put,35,03/12/21,N/A,12.41%
XLP|20210312|61.50P,XLP,61.50,-5.60%,0.09,0.24,0.39,0.27,-0.23,-46.00%,1,1,1.00,14.72%,Put,35,03/12/21,02/04/21,12.41%
XLP|20210312|62.00P,XLP,62.00,-4.83%,0.19,0.32,0.44,0.00,0.00,unch,0,15,0.00,14.04%,Put,35,03/12/21,N/A,12.41%
XLP|20210312|62.50P,XLP,62.50,-4.07%,0.18,0.35,0.52,0.00,0.00,unch,0,0,0.00,13.06%,Put,35,03/12/21,N/A,12.41%
XLP|20210312|63.00P,XLP,63.00,-3.30%,0.39,0.51,0.62,0.95,0.95,unch,1,17,0.06,13.57%,Put,35,03/12/21,01/29/21,12.41%
XLP|20210312|63.50P,XLP,63.50,-2.53%,0.49,0.61,0.72,0.00,0.00,unch,0,0,0.00,13.01%,Put,35,03/12/21,N/A,12.41%
XLP|20210312|64.00P,XLP,64.00,-1.77%,0.62,0.74,0.86,1.54,1.54,unch,2,3,0.67,12.61%,Put,35,03/12/21,01/29/21,12.41%
XLP|20210312|64.50P,XLP,64.50,-1.00%,0.77,0.90,1.02,0.00,0.00,unch,0,0,0.00,12.14%,Put,35,03/12/21,N/A,12.41%
XLP|20210312|65.00P,XLP,65.00,-0.23%,0.85,1.04,1.23,1.20,-0.22,-15.49%,1,7,0.14,12.91%,Put,35,03/12/21,02/04/21,12.41%
XLP|20210312|65.50P,XLP,65.50,+0.54%,0.90,1.19,1.47,0.00,0.00,unch,0,0,0.00,10.00%,Put,35,03/12/21,N/A,12.41%
XLP|20210312|66.00P,XLP,66.00,+1.30%,1.38,1.57,1.75,1.56,1.56,unch,8,8,1.00,10.81%,Put,35,03/12/21,01/28/21,12.41%
