Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLP|20210319|35.00C,XLP,35.00,+46.64%,28.90,31.20,33.50,30.06,-0.20,-0.66%,2,3,0.67,141.77%,Call,35,03/19/21,02/04/21,12.95%
XLP|20210319|40.00C,XLP,40.00,+39.02%,24.00,25.98,27.95,0.00,0.00,unch,0,0,0.00,105.94%,Call,35,03/19/21,N/A,12.95%
XLP|20210319|45.00C,XLP,45.00,+31.39%,19.15,20.63,22.10,20.50,-0.80,-3.76%,15,25,0.60,62.38%,Call,35,03/19/21,01/15/21,12.95%
XLP|20210319|46.00C,XLP,46.00,+29.87%,17.80,20.05,22.30,19.60,19.60,unch,1,3,0.33,83.77%,Call,35,03/19/21,01/15/21,12.95%
XLP|20210319|47.00C,XLP,47.00,+28.34%,17.00,18.95,20.90,0.00,0.00,unch,0,0,0.00,75.79%,Call,35,03/19/21,N/A,12.95%
XLP|20210319|48.00C,XLP,48.00,+26.82%,15.65,17.28,18.90,0.00,0.00,unch,0,0,0.00,99.98%,Call,35,03/19/21,N/A,12.95%
XLP|20210319|49.00C,XLP,49.00,+25.29%,15.95,17.15,18.35,0.00,0.00,unch,0,14,0.00,75.12%,Call,35,03/19/21,N/A,12.95%
XLP|20210319|50.00C,XLP,50.00,+23.77%,15.00,15.85,16.70,0.00,0.00,unch,0,0,0.00,60.51%,Call,35,03/19/21,N/A,12.95%
XLP|20210319|51.00C,XLP,51.00,+22.24%,12.95,14.43,15.90,0.00,0.00,unch,0,0,0.00,85.92%,Call,35,03/19/21,N/A,12.95%
XLP|20210319|52.00C,XLP,52.00,+20.72%,11.95,13.58,15.20,0.00,0.00,unch,0,2,0.00,87.56%,Call,35,03/19/21,N/A,12.95%
XLP|20210319|53.00C,XLP,53.00,+19.19%,10.95,13.00,15.05,0.00,0.00,unch,0,0,0.00,55.04%,Call,35,03/19/21,N/A,12.95%
XLP|20210319|54.00C,XLP,54.00,+17.67%,10.05,11.43,12.80,10.85,1.44,+15.30%,1,2,0.50,70.26%,Call,35,03/19/21,10/05/20,12.95%
XLP|20210319|55.00C,XLP,55.00,+16.15%,8.45,10.68,12.90,11.86,-0.24,-1.98%,1,1,1.00,36.10%,Call,35,03/19/21,01/07/21,12.95%
XLP|20210319|56.00C,XLP,56.00,+14.62%,8.90,9.78,10.65,10.40,10.40,unch,2,2,1.00,37.30%,Call,35,03/19/21,10/09/20,12.95%
XLP|20210319|57.00C,XLP,57.00,+13.10%,7.20,9.13,11.05,9.45,9.45,unch,2,2,1.00,43.51%,Call,35,03/19/21,10/09/20,12.95%
XLP|20210319|58.00C,XLP,58.00,+11.57%,6.75,7.78,8.80,0.00,0.00,unch,0,0,0.00,30.83%,Call,35,03/19/21,N/A,12.95%
XLP|20210319|59.00C,XLP,59.00,+10.05%,6.15,7.50,8.85,5.87,-2.27,-27.89%,1,7,0.14,43.07%,Call,35,03/19/21,01/29/21,12.95%
XLP|20210319|60.00C,XLP,60.00,+8.52%,5.20,6.53,7.85,6.00,0.19,+3.27%,1,17,0.06,39.28%,Call,35,03/19/21,02/09/21,12.95%
XLP|20210319|61.00C,XLP,61.00,+7.00%,2.94,4.20,5.45,4.30,-0.75,-14.85%,1,94,0.01,33.76%,Call,35,03/19/21,02/02/21,12.95%
XLP|20210319|62.00C,XLP,62.00,+5.47%,2.80,3.57,4.35,4.10,0.00,unch,2,405,0.00,27.88%,Call,35,03/19/21,02/09/21,12.95%
XLP|20210319|63.00C,XLP,63.00,+3.95%,2.95,3.18,3.40,2.90,-0.35,-10.77%,44,"2,068",0.02,16.44%,Call,35,03/19/21,02/11/21,12.95%
XLP|20210319|64.00C,XLP,64.00,+2.42%,0.32,2.66,5.00,2.12,-0.32,-13.11%,10,402,0.02,15.65%,Call,35,03/19/21,02/11/21,12.95%
XLP|20210319|65.00C,XLP,65.00,+0.90%,1.07,1.36,1.65,1.38,-0.14,-9.21%,18,"2,638",0.01,14.08%,Call,35,03/19/21,02/11/21,12.95%
XLP|20210319|66.00C,XLP,66.00,-0.63%,0.56,0.79,1.02,0.87,-0.08,-8.42%,407,"2,118",0.19,13.81%,Call,35,03/19/21,02/11/21,12.95%
XLP|20210319|67.00C,XLP,67.00,-2.15%,0.29,0.42,0.55,0.46,-0.08,-14.81%,24,"11,021",0.00,12.95%,Call,35,03/19/21,02/11/21,12.95%
XLP|20210319|68.00C,XLP,68.00,-3.67%,0.10,0.19,0.28,0.21,-0.07,-25.00%,20,"2,486",0.01,12.30%,Call,35,03/19/21,02/11/21,12.95%
XLP|20210319|69.00C,XLP,69.00,-5.20%,0.07,0.11,0.14,0.10,-0.01,-9.09%,13,"5,665",0.00,12.42%,Call,35,03/19/21,02/11/21,12.95%
XLP|20210319|70.00C,XLP,70.00,-6.72%,0.05,0.07,0.09,0.07,0.02,+40.00%,9,365,0.02,13.74%,Call,35,03/19/21,02/11/21,12.95%
XLP|20210319|71.00C,XLP,71.00,-8.25%,0.01,0.04,0.07,0.05,-0.01,-16.67%,3,185,0.02,14.37%,Call,35,03/19/21,02/09/21,12.95%
XLP|20210319|72.00C,XLP,72.00,-9.77%,0.01,0.03,0.06,0.02,0.00,unch,7,682,0.01,15.99%,Call,35,03/19/21,02/09/21,12.95%
XLP|20210319|73.00C,XLP,73.00,-11.30%,0.01,0.05,0.08,0.02,-0.05,-71.43%,2,124,0.02,0.00%,Call,35,03/19/21,01/22/21,12.95%
XLP|20210319|74.00C,XLP,74.00,-12.82%,0.01,0.05,0.08,0.05,-0.05,-50.00%,1,38,0.03,0.00%,Call,35,03/19/21,01/20/21,12.95%
XLP|20210319|75.00C,XLP,75.00,-14.35%,0.01,0.03,0.06,0.03,0.01,+50.00%,1,53,0.02,0.00%,Call,35,03/19/21,02/08/21,12.95%
XLP|20210319|76.00C,XLP,76.00,-15.87%,0.01,0.03,0.05,0.05,-0.02,-28.57%,40,154,0.26,0.00%,Call,35,03/19/21,01/15/21,12.95%
XLP|20210319|77.00C,XLP,77.00,-17.40%,0.01,0.03,0.04,0.01,-0.12,-92.31%,30,34,0.88,0.00%,Call,35,03/19/21,01/11/21,12.95%
XLP|20210319|78.00C,XLP,78.00,-18.92%,0.01,0.02,0.03,0.20,0.07,+53.85%,10,18,0.56,0.00%,Call,35,03/19/21,09/02/20,12.95%
XLP|20210319|79.00C,XLP,79.00,-20.45%,0.01,0.03,0.05,0.08,0.08,unch,10,10,1.00,0.00%,Call,35,03/19/21,12/04/20,12.95%
XLP|20210319|80.00C,XLP,80.00,-21.97%,0.01,0.03,0.04,0.02,0.00,unch,7,113,0.06,0.00%,Call,35,03/19/21,01/07/21,12.95%
XLP|20210319|81.00C,XLP,81.00,-23.49%,0.01,0.03,0.04,0.16,0.07,+77.78%,1,11,0.09,0.00%,Call,35,03/19/21,09/09/20,12.95%
