Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLU|20210219|35.00C,XLU,35.00,+44.51%,27.20,28.55,29.90,0.00,0.00,unch,0,0,0.00,278.78%,Call,7,02/19/21,N/A,15.22%
XLU|20210219|40.00C,XLU,40.00,+36.59%,22.35,23.68,25.00,0.00,0.00,unch,0,0,0.00,237.48%,Call,7,02/19/21,N/A,15.22%
XLU|20210219|45.00C,XLU,45.00,+28.66%,16.85,18.15,19.45,0.00,0.00,unch,0,0,0.00,125.33%,Call,7,02/19/21,N/A,15.22%
XLU|20210219|47.00C,XLU,47.00,+25.49%,14.85,16.60,18.35,0.00,0.00,unch,0,0,0.00,162.37%,Call,7,02/19/21,N/A,15.22%
XLU|20210219|48.00C,XLU,48.00,+23.91%,12.65,14.45,16.25,0.00,0.00,unch,0,0,0.00,194.53%,Call,7,02/19/21,N/A,15.22%
XLU|20210219|49.00C,XLU,49.00,+22.32%,12.90,14.43,15.95,0.00,0.00,unch,0,0,0.00,130.51%,Call,7,02/19/21,N/A,15.22%
XLU|20210219|50.00C,XLU,50.00,+20.74%,11.90,13.15,14.40,13.65,0.65,+5.00%,6,6,1.00,91.10%,Call,7,02/19/21,02/05/21,15.22%
XLU|20210219|51.00C,XLU,51.00,+19.15%,10.85,12.85,14.85,0.00,0.00,unch,0,0,0.00,142.16%,Call,7,02/19/21,N/A,15.22%
XLU|20210219|52.00C,XLU,52.00,+17.56%,9.85,11.10,12.35,0.00,0.00,unch,0,1,0.00,67.31%,Call,7,02/19/21,N/A,15.22%
XLU|20210219|53.00C,XLU,53.00,+15.98%,8.85,10.20,11.55,9.49,-0.31,-3.16%,1,10,0.10,78.18%,Call,7,02/19/21,01/07/21,15.22%
XLU|20210219|54.00C,XLU,54.00,+14.39%,7.25,9.03,10.80,8.23,-0.46,-5.29%,6,8,0.75,156.27%,Call,7,02/19/21,01/29/21,15.22%
XLU|20210219|55.00C,XLU,55.00,+12.81%,7.35,8.27,9.20,8.90,0.10,+1.14%,5,15,0.33,71.30%,Call,7,02/19/21,02/05/21,15.22%
XLU|20210219|56.00C,XLU,56.00,+11.22%,5.90,7.20,8.50,7.82,2.22,+39.64%,1,11,0.09,57.74%,Call,7,02/19/21,02/05/21,15.22%
XLU|20210219|57.00C,XLU,57.00,+9.64%,4.75,6.65,8.55,7.03,1.03,+17.17%,2,3,0.67,77.46%,Call,7,02/19/21,01/25/21,15.22%
XLU|20210219|57.50C,XLU,57.50,+8.85%,4.95,5.78,6.60,5.00,-0.80,-13.79%,2,17,0.12,53.04%,Call,7,02/19/21,01/29/21,15.22%
XLU|20210219|58.00C,XLU,58.00,+8.05%,3.90,5.13,6.35,5.68,1.28,+29.09%,60,80,0.75,36.98%,Call,7,02/19/21,02/05/21,15.22%
XLU|20210219|58.50C,XLU,58.50,+7.26%,3.35,4.60,5.85,5.20,5.20,unch,3,3,1.00,30.53%,Call,7,02/19/21,01/25/21,15.22%
XLU|20210219|59.00C,XLU,59.00,+6.47%,2.98,4.07,5.15,3.98,0.42,+11.80%,10,133,0.08,78.57%,Call,7,02/19/21,02/01/21,15.22%
XLU|20210219|59.50C,XLU,59.50,+5.68%,2.50,3.60,4.70,3.70,-0.10,-2.63%,1,2,0.50,24.82%,Call,7,02/19/21,01/22/21,15.22%
XLU|20210219|60.00C,XLU,60.00,+4.88%,2.29,3.05,3.80,3.15,0.02,+0.64%,8,214,0.04,26.67%,Call,7,02/19/21,02/11/21,15.22%
XLU|20210219|60.50C,XLU,60.50,+4.09%,1.57,2.81,4.05,3.08,-0.13,-4.05%,3,42,0.07,31.95%,Call,7,02/19/21,02/10/21,15.22%
XLU|20210219|61.00C,XLU,61.00,+3.30%,1.65,2.18,2.70,2.32,-0.31,-11.79%,8,194,0.04,28.22%,Call,7,02/19/21,02/11/21,15.22%
XLU|20210219|61.50C,XLU,61.50,+2.50%,0.83,1.53,2.23,2.43,0.78,+47.27%,12,18,0.67,38.15%,Call,7,02/19/21,02/05/21,15.22%
XLU|20210219|62.00C,XLU,62.00,+1.71%,0.98,1.44,1.90,1.32,-0.27,-16.98%,13,"1,550",0.01,19.30%,Call,7,02/19/21,02/11/21,15.22%
XLU|20210219|62.50C,XLU,62.50,+0.92%,0.40,0.85,1.29,0.90,-0.31,-25.62%,3,314,0.01,16.85%,Call,7,02/19/21,02/11/21,15.22%
XLU|20210219|63.00C,XLU,63.00,+0.13%,0.52,0.59,0.66,0.58,-0.20,-25.64%,121,"3,316",0.04,15.95%,Call,7,02/19/21,02/11/21,15.22%
XLU|20210219|63.50C,XLU,63.50,-0.67%,0.30,0.39,0.48,0.36,-0.05,-12.20%,465,"1,144",0.41,15.94%,Call,7,02/19/21,02/11/21,15.22%
XLU|20210219|64.00C,XLU,64.00,-1.46%,0.16,0.19,0.21,0.18,-0.10,-35.71%,251,"12,425",0.02,14.94%,Call,7,02/19/21,02/11/21,15.22%
XLU|20210219|64.50C,XLU,64.50,-2.25%,0.02,0.10,0.18,0.10,-0.07,-41.18%,61,"3,112",0.02,15.44%,Call,7,02/19/21,02/11/21,15.22%
XLU|20210219|65.00C,XLU,65.00,-3.04%,0.04,0.07,0.10,0.05,-0.04,-44.44%,"2,201","5,148",0.43,15.65%,Call,7,02/19/21,02/11/21,15.22%
XLU|20210219|65.50C,XLU,65.50,-3.84%,0.02,0.06,0.09,0.05,-0.01,-16.67%,4,"8,224",0.00,18.56%,Call,7,02/19/21,02/11/21,15.22%
XLU|20210219|66.00C,XLU,66.00,-4.63%,0.02,0.11,0.19,0.03,0.00,unch,4,"6,021",0.00,19.23%,Call,7,02/19/21,02/11/21,15.22%
XLU|20210219|66.50C,XLU,66.50,-5.42%,0.01,0.06,0.11,0.03,-0.04,-57.14%,13,140,0.09,25.01%,Call,7,02/19/21,02/09/21,15.22%
XLU|20210219|67.00C,XLU,67.00,-6.21%,0.02,0.03,0.03,0.02,0.00,unch,18,776,0.02,22.58%,Call,7,02/19/21,02/11/21,15.22%
XLU|20210219|67.50C,XLU,67.50,-7.01%,0.01,0.03,0.06,0.03,-0.01,-25.00%,22,132,0.17,27.34%,Call,7,02/19/21,02/05/21,15.22%
XLU|20210219|68.00C,XLU,68.00,-7.80%,0.01,0.03,0.05,0.02,0.00,unch,3,418,0.01,0.00%,Call,7,02/19/21,02/10/21,15.22%
XLU|20210219|68.50C,XLU,68.50,-8.59%,0.01,0.40,0.78,0.06,-0.10,-62.50%,8,97,0.08,0.00%,Call,7,02/19/21,01/27/21,15.22%
XLU|20210219|69.00C,XLU,69.00,-9.38%,0.01,0.03,0.05,0.01,0.00,unch,20,428,0.05,0.00%,Call,7,02/19/21,02/08/21,15.22%
XLU|20210219|70.00C,XLU,70.00,-10.97%,0.01,0.03,0.06,0.03,0.02,+200.00%,2,334,0.01,37.87%,Call,7,02/19/21,02/11/21,15.22%
XLU|20210219|71.00C,XLU,71.00,-12.56%,0.03,0.14,0.25,0.03,-0.01,-25.00%,2,4,0.50,0.00%,Call,7,02/19/21,01/21/21,15.22%
XLU|20210219|72.00C,XLU,72.00,-14.14%,0.03,0.05,0.06,0.01,-0.01,-50.00%,1,6,0.17,39.88%,Call,7,02/19/21,02/11/21,15.22%
XLU|20210219|73.00C,XLU,73.00,-15.73%,0.02,0.68,1.33,0.00,0.00,unch,0,0,0.00,0.00%,Call,7,02/19/21,N/A,15.22%
XLU|20210219|74.00C,XLU,74.00,-17.31%,0.02,0.11,0.21,0.02,0.02,unch,1,1,1.00,0.00%,Call,7,02/19/21,01/20/21,15.22%
XLU|20210219|75.00C,XLU,75.00,-18.90%,0.01,0.08,0.14,0.05,0.04,+400.00%,1,2,0.50,0.00%,Call,7,02/19/21,02/01/21,15.22%
XLU|20210219|76.00C,XLU,76.00,-20.48%,0.01,1.86,3.70,0.00,0.00,unch,0,0,0.00,0.00%,Call,7,02/19/21,N/A,15.22%
XLU|20210219|77.00C,XLU,77.00,-22.07%,0.01,0.01,0.01,0.09,0.01,+12.50%,1,6,0.17,0.00%,Call,7,02/19/21,01/07/21,15.22%
XLU|20210219|35.00P,XLU,35.00,-44.51%,0.01,0.02,0.03,0.01,-0.04,-80.00%,1,42,0.02,0.00%,Put,7,02/19/21,01/27/21,15.22%
XLU|20210219|40.00P,XLU,40.00,-36.59%,0.01,0.13,0.25,0.07,0.00,unch,4,14,0.29,172.39%,Put,7,02/19/21,01/05/21,15.22%
XLU|20210219|45.00P,XLU,45.00,-28.66%,0.01,1.83,3.65,0.04,0.04,unch,"4,291","4,290",1.00,0.00%,Put,7,02/19/21,01/06/21,15.22%
XLU|20210219|47.00P,XLU,47.00,-25.49%,0.01,0.05,0.08,0.01,0.00,unch,560,"2,295",0.24,0.00%,Put,7,02/19/21,02/02/21,15.22%
XLU|20210219|48.00P,XLU,48.00,-23.91%,0.01,0.06,0.11,0.01,0.00,unch,1,513,0.00,0.00%,Put,7,02/19/21,02/05/21,15.22%
XLU|20210219|49.00P,XLU,49.00,-22.32%,0.01,0.05,0.08,0.01,-0.04,-80.00%,453,672,0.67,87.20%,Put,7,02/19/21,02/04/21,15.22%
XLU|20210219|50.00P,XLU,50.00,-20.74%,0.01,0.04,0.07,0.04,0.03,+300.00%,28,354,0.08,79.68%,Put,7,02/19/21,02/04/21,15.22%
XLU|20210219|51.00P,XLU,51.00,-19.15%,0.01,0.05,0.08,0.01,-0.02,-66.67%,1,115,0.01,75.06%,Put,7,02/19/21,02/08/21,15.22%
