Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
35.00,+44.11%,26.50,27.48,28.45,0.00,0.00,unch,0,0,0.00,340.29%,Call,N/A
40.00,+36.12%,21.90,22.88,23.85,0.00,0.00,unch,0,0,0.00,211.35%,Call,N/A
45.00,+28.14%,16.50,17.55,18.60,0.00,0.00,unch,0,0,0.00,228.44%,Call,N/A
47.00,+24.94%,14.60,15.65,16.70,0.00,0.00,unch,0,0,0.00,105.84%,Call,N/A
48.00,+23.35%,13.50,14.68,15.85,0.00,0.00,unch,0,0,0.00,106.34%,Call,N/A
49.00,+21.75%,12.60,13.63,14.65,0.00,0.00,unch,0,0,0.00,80.36%,Call,N/A
50.00,+20.15%,10.25,12.63,15.00,13.65,0.65,+5.00%,6,6,1.00,74.48%,Call,02/05/21
51.00,+18.56%,9.25,11.63,14.00,0.00,0.00,unch,0,0,0.00,68.67%,Call,N/A
52.00,+16.96%,8.40,10.15,11.90,0.00,0.00,unch,0,1,0.00,167.24%,Call,N/A
53.00,+15.36%,8.50,10.48,12.45,9.49,-0.31,-3.16%,1,10,0.10,134.36%,Call,01/07/21
54.00,+13.77%,6.40,8.70,11.00,8.23,-0.46,-5.29%,6,8,0.75,68.82%,Call,01/29/21
55.00,+12.17%,5.25,7.63,10.00,8.90,0.10,+1.14%,5,15,0.33,46.05%,Call,02/05/21
56.00,+10.57%,5.55,6.63,7.70,7.82,2.22,+39.64%,1,11,0.09,40.49%,Call,02/05/21
57.00,+8.97%,3.40,4.65,5.90,7.03,1.03,+17.17%,2,3,0.67,63.61%,Call,01/25/21
57.50,+8.18%,2.98,4.39,5.80,5.00,-0.80,-13.79%,2,17,0.12,80.06%,Call,01/29/21
58.00,+7.38%,2.38,3.67,4.95,4.53,-1.15,-20.25%,2,80,0.03,57.92%,Call,02/12/21
58.50,+6.58%,1.95,4.23,6.50,5.20,5.20,unch,3,3,1.00,39.31%,Call,01/25/21
59.00,+5.78%,2.71,3.58,4.45,3.98,0.42,+11.80%,10,133,0.08,70.85%,Call,02/01/21
59.50,+4.98%,1.00,3.30,5.60,3.70,-0.10,-2.63%,1,2,0.50,36.56%,Call,01/22/21
60.00,+4.18%,0.62,1.78,2.94,2.64,-0.51,-16.19%,2,209,0.01,20.63%,Call,02/12/21
60.50,+3.39%,0.37,2.54,4.70,2.14,-0.94,-30.52%,5,42,0.12,17.40%,Call,02/12/21
61.00,+2.59%,1.40,1.78,2.15,1.62,-0.70,-30.17%,15,193,0.08,10.68%,Call,02/12/21
61.50,+1.79%,0.23,0.91,1.58,1.45,-0.98,-40.33%,17,18,0.94,24.71%,Call,02/12/21
62.00,+0.99%,0.75,0.90,1.05,0.89,-0.43,-32.58%,36,"1,549",0.02,17.00%,Call,02/12/21
62.50,+0.19%,0.30,0.55,0.79,0.59,-0.31,-34.44%,146,313,0.47,16.94%,Call,02/12/21
63.00,-0.61%,0.25,0.36,0.46,0.35,-0.23,-39.66%,358,"3,444",0.10,16.47%,Call,02/12/21
63.50,-1.41%,0.05,0.15,0.25,0.17,-0.19,-52.78%,520,"1,343",0.39,15.44%,Call,02/12/21
64.00,-2.20%,0.12,0.16,0.19,0.08,-0.10,-55.56%,544,"12,440",0.04,19.18%,Call,02/12/21
64.50,-3.00%,0.03,0.07,0.10,0.04,-0.06,-60.00%,45,"3,138",0.01,15.87%,Call,02/12/21
65.00,-3.80%,0.02,0.03,0.03,0.02,-0.03,-60.00%,579,"5,021",0.12,16.50%,Call,02/12/21
