Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLU|20210305|35.00C,XLU,35.00,+41.67%,23.15,24.80,26.45,0.00,0.00,unch,0,0,0.00,328.75%,Call,8,03/05/21,N/A,20.16%
XLU|20210305|40.00C,XLU,40.00,+33.33%,18.30,19.88,21.45,0.00,0.00,unch,0,0,0.00,264.73%,Call,8,03/05/21,N/A,20.16%
XLU|20210305|45.00C,XLU,45.00,+25.00%,13.30,14.88,16.45,0.00,0.00,unch,0,0,0.00,207.02%,Call,8,03/05/21,N/A,20.16%
XLU|20210305|50.00C,XLU,50.00,+16.67%,8.35,9.90,11.45,0.00,0.00,unch,0,0,0.00,153.20%,Call,8,03/05/21,N/A,20.16%
XLU|20210305|55.00C,XLU,55.00,+8.33%,3.35,4.98,6.60,0.00,0.00,unch,0,0,0.00,105.72%,Call,8,03/05/21,N/A,20.16%
XLU|20210305|56.00C,XLU,56.00,+6.67%,2.62,4.23,5.85,0.00,0.00,unch,0,0,0.00,43.01%,Call,8,03/05/21,N/A,20.16%
XLU|20210305|56.50C,XLU,56.50,+5.83%,2.03,3.56,5.10,0.00,0.00,unch,0,0,0.00,28.82%,Call,8,03/05/21,N/A,20.16%
XLU|20210305|57.00C,XLU,57.00,+5.00%,1.85,3.25,4.65,0.00,0.00,unch,0,0,0.00,35.89%,Call,8,03/05/21,N/A,20.16%
XLU|20210305|57.50C,XLU,57.50,+4.17%,1.30,2.73,4.15,0.00,0.00,unch,0,0,0.00,30.72%,Call,8,03/05/21,N/A,20.16%
XLU|20210305|58.00C,XLU,58.00,+3.33%,1.01,2.16,3.30,0.00,0.00,unch,0,0,0.00,23.55%,Call,8,03/05/21,N/A,20.16%
XLU|20210305|58.50C,XLU,58.50,+2.50%,0.62,1.76,2.89,4.80,0.21,+4.58%,5,14,0.36,23.47%,Call,8,03/05/21,02/01/21,20.16%
XLU|20210305|59.00C,XLU,59.00,+1.67%,0.63,1.48,2.34,2.00,0.62,+44.93%,2,2,1.00,26.27%,Call,8,03/05/21,02/23/21,20.16%
XLU|20210305|59.50C,XLU,59.50,+0.83%,0.45,1.11,1.76,1.16,0.15,+14.85%,8,7,1.14,25.76%,Call,8,03/05/21,02/24/21,20.16%
XLU|20210305|60.00C,XLU,60.00,unch,0.31,0.81,1.31,0.78,-0.51,-39.53%,4,71,0.06,22.52%,Call,8,03/05/21,02/24/21,20.16%
XLU|20210305|60.50C,XLU,60.50,-0.83%,0.07,0.46,0.85,0.52,-0.47,-47.47%,9,101,0.09,21.32%,Call,8,03/05/21,02/24/21,20.16%
XLU|20210305|61.00C,XLU,61.00,-1.67%,0.25,0.40,0.54,0.35,-0.33,-48.53%,82,329,0.25,21.23%,Call,8,03/05/21,02/24/21,20.16%
XLU|20210305|61.50C,XLU,61.50,-2.50%,0.09,0.36,0.63,0.18,-0.27,-60.00%,50,85,0.59,19.35%,Call,8,03/05/21,02/24/21,20.16%
XLU|20210305|62.00C,XLU,62.00,-3.33%,0.04,0.16,0.29,0.13,-0.19,-59.38%,374,180,2.08,20.67%,Call,8,03/05/21,02/24/21,20.16%
XLU|20210305|62.50C,XLU,62.50,-4.17%,0.05,0.08,0.10,0.08,-0.11,-57.89%,49,152,0.32,20.95%,Call,8,03/05/21,02/24/21,20.16%
XLU|20210305|63.00C,XLU,63.00,-5.00%,0.05,0.15,0.24,0.06,-0.07,-53.85%,22,289,0.08,22.31%,Call,8,03/05/21,02/24/21,20.16%
XLU|20210305|63.50C,XLU,63.50,-5.83%,0.02,0.09,0.16,0.03,-0.07,-70.00%,1,98,0.01,21.78%,Call,8,03/05/21,02/24/21,20.16%
XLU|20210305|64.00C,XLU,64.00,-6.67%,0.02,0.07,0.12,0.03,-0.03,-50.00%,12,127,0.09,24.17%,Call,8,03/05/21,02/24/21,20.16%
XLU|20210305|64.50C,XLU,64.50,-7.50%,0.03,0.11,0.18,0.04,-0.09,-69.23%,5,76,0.07,34.17%,Call,8,03/05/21,02/23/21,20.16%
XLU|20210305|65.00C,XLU,65.00,-8.33%,0.01,0.02,0.03,0.03,0.00,unch,39,930,0.04,26.96%,Call,8,03/05/21,02/23/21,20.16%
XLU|20210305|65.50C,XLU,65.50,-9.17%,0.01,0.03,0.06,0.01,-0.04,-80.00%,5,20,0.25,0.00%,Call,8,03/05/21,02/23/21,20.16%
XLU|20210305|66.00C,XLU,66.00,-10.00%,0.02,0.09,0.16,0.02,-0.01,-33.33%,1,152,0.01,31.19%,Call,8,03/05/21,02/24/21,20.16%
XLU|20210305|66.50C,XLU,66.50,-10.83%,0.02,0.34,0.66,0.20,0.20,unch,3,3,1.00,0.00%,Call,8,03/05/21,02/03/21,20.16%
XLU|20210305|67.00C,XLU,67.00,-11.67%,0.01,0.07,0.13,0.04,-0.17,-80.95%,1,42,0.02,0.00%,Call,8,03/05/21,02/18/21,20.16%
XLU|20210305|67.50C,XLU,67.50,-12.50%,0.01,0.04,0.07,0.04,-0.12,-75.00%,10,44,0.23,0.00%,Call,8,03/05/21,02/19/21,20.16%
XLU|20210305|68.00C,XLU,68.00,-13.33%,0.01,0.05,0.09,0.00,0.00,unch,0,0,0.00,0.00%,Call,8,03/05/21,N/A,20.16%
XLU|20210305|68.50C,XLU,68.50,-14.17%,0.01,0.33,0.64,0.40,-0.28,-41.18%,1,1,1.00,0.00%,Call,8,03/05/21,02/12/21,20.16%
XLU|20210305|69.00C,XLU,69.00,-15.00%,0.01,0.07,0.12,0.02,-0.26,-92.86%,15,15,1.00,0.00%,Call,8,03/05/21,02/19/21,20.16%
XLU|20210305|69.50C,XLU,69.50,-15.83%,0.02,0.33,0.64,0.00,0.00,unch,0,0,0.00,0.00%,Call,8,03/05/21,N/A,20.16%
XLU|20210305|70.00C,XLU,70.00,-16.67%,0.01,0.08,0.14,0.05,0.05,unch,10,10,1.00,0.00%,Call,8,03/05/21,02/11/21,20.16%
XLU|20210305|75.00C,XLU,75.00,-25.00%,0.01,0.07,0.12,0.00,0.00,unch,0,0,0.00,0.00%,Call,8,03/05/21,N/A,20.16%
XLU|20210305|35.00P,XLU,35.00,-41.67%,0.03,0.02,0.01,0.01,-0.02,-66.67%,75,471,0.16,0.00%,Put,8,03/05/21,02/17/21,20.16%
XLU|20210305|40.00P,XLU,40.00,-33.33%,0.01,0.01,0.01,0.01,0.00,unch,2,706,0.00,103.92%,Put,8,03/05/21,02/24/21,20.16%
XLU|20210305|45.00P,XLU,45.00,-25.00%,0.01,0.04,0.07,0.00,0.00,unch,0,0,0.00,0.00%,Put,8,03/05/21,N/A,20.16%
XLU|20210305|50.00P,XLU,50.00,-16.67%,0.02,0.07,0.11,0.03,0.02,+200.00%,6,"1,000",0.01,58.24%,Put,8,03/05/21,02/24/21,20.16%
XLU|20210305|55.00P,XLU,55.00,-8.33%,0.01,0.09,0.16,0.14,0.03,+27.27%,10,23,0.43,0.00%,Put,8,03/05/21,02/16/21,20.16%
XLU|20210305|56.00P,XLU,56.00,-6.67%,0.04,0.39,0.74,0.11,-0.38,-77.55%,1,2,0.50,0.00%,Put,8,03/05/21,02/22/21,20.16%
XLU|20210305|56.50P,XLU,56.50,-5.83%,0.01,0.16,0.31,0.13,0.13,unch,3,3,1.00,33.35%,Put,8,03/05/21,02/22/21,20.16%
XLU|20210305|57.00P,XLU,57.00,-5.00%,0.02,0.17,0.31,0.08,0.00,unch,31,55,0.56,24.61%,Put,8,03/05/21,02/24/21,20.16%
XLU|20210305|57.50P,XLU,57.50,-4.17%,0.01,0.22,0.43,0.20,-0.05,-20.00%,36,46,0.78,29.00%,Put,8,03/05/21,02/22/21,20.16%
XLU|20210305|58.00P,XLU,58.00,-3.33%,0.16,0.20,0.24,0.18,-0.02,-10.00%,14,108,0.13,23.22%,Put,8,03/05/21,02/24/21,20.16%
XLU|20210305|58.50P,XLU,58.50,-2.50%,0.04,0.34,0.64,0.24,-0.01,-4.00%,24,77,0.31,21.61%,Put,8,03/05/21,02/24/21,20.16%
XLU|20210305|59.00P,XLU,59.00,-1.67%,0.07,0.24,0.41,0.32,0.05,+18.52%,25,106,0.24,19.84%,Put,8,03/05/21,02/24/21,20.16%
XLU|20210305|59.50P,XLU,59.50,-0.83%,0.26,0.41,0.55,0.40,-0.28,-41.18%,4,54,0.07,17.21%,Put,8,03/05/21,02/23/21,20.16%
XLU|20210305|60.00P,XLU,60.00,unch,0.37,0.58,0.79,0.61,0.12,+24.49%,42,"10,418",0.00,16.63%,Put,8,03/05/21,02/24/21,20.16%
XLU|20210305|60.50P,XLU,60.50,+0.83%,0.46,1.10,1.74,0.83,-0.25,-23.15%,16,93,0.17,14.47%,Put,8,03/05/21,02/24/21,20.16%
XLU|20210305|61.00P,XLU,61.00,+1.67%,0.40,1.30,2.20,1.20,-0.21,-14.89%,30,162,0.19,14.63%,Put,8,03/05/21,02/24/21,20.16%
XLU|20210305|61.50P,XLU,61.50,+2.50%,0.77,1.72,2.66,1.36,0.01,+0.74%,6,335,0.02,19.13%,Put,8,03/05/21,02/23/21,20.16%
XLU|20210305|62.00P,XLU,62.00,+3.33%,1.23,2.19,3.15,1.98,0.48,+32.00%,32,286,0.11,54.53%,Put,8,03/05/21,02/24/21,20.16%
XLU|20210305|62.50P,XLU,62.50,+4.17%,1.26,2.71,4.15,2.85,1.42,+99.30%,7,18,0.39,25.76%,Put,8,03/05/21,02/22/21,20.16%
XLU|20210305|63.00P,XLU,63.00,+5.00%,1.52,2.99,4.45,2.85,0.60,+26.67%,1,25,0.04,73.23%,Put,8,03/05/21,02/24/21,20.16%
XLU|20210305|63.50P,XLU,63.50,+5.83%,1.96,3.38,4.80,1.82,0.28,+18.18%,1,120,0.01,73.11%,Put,8,03/05/21,02/19/21,20.16%
XLU|20210305|64.00P,XLU,64.00,+6.67%,2.25,3.55,4.85,2.33,0.67,+40.36%,155,156,0.99,62.41%,Put,8,03/05/21,02/17/21,20.16%
XLU|20210305|64.50P,XLU,64.50,+7.50%,2.99,4.52,6.05,2.76,0.04,+1.47%,1,1,1.00,89.72%,Put,8,03/05/21,02/19/21,20.16%
XLU|20210305|65.00P,XLU,65.00,+8.33%,3.65,5.18,6.70,3.20,0.67,+26.48%,4,11,0.36,39.09%,Put,8,03/05/21,02/16/21,20.16%
XLU|20210305|65.50P,XLU,65.50,+9.17%,3.95,5.50,7.05,0.00,0.00,unch,0,0,0.00,98.02%,Put,8,03/05/21,N/A,20.16%
XLU|20210305|66.00P,XLU,66.00,+10.00%,4.50,6.03,7.55,0.00,0.00,unch,0,0,0.00,102.00%,Put,8,03/05/21,N/A,20.16%
