Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLV|20210226|60.00C,XLV,60.00,+48.25%,53.55,56.03,58.50,0.00,0.00,unch,0,0,0.00,238.02%,Call,7,02/26/21,N/A,16.26%
XLV|20210226|65.00C,XLV,65.00,+43.94%,48.50,51.00,53.50,0.00,0.00,unch,0,0,0.00,208.18%,Call,7,02/26/21,N/A,16.26%
XLV|20210226|70.00C,XLV,70.00,+39.62%,43.50,46.00,48.50,0.00,0.00,unch,0,0,0.00,184.34%,Call,7,02/26/21,N/A,16.26%
XLV|20210226|75.00C,XLV,75.00,+35.31%,38.55,41.03,43.50,0.00,0.00,unch,0,0,0.00,165.10%,Call,7,02/26/21,N/A,16.26%
XLV|20210226|80.00C,XLV,80.00,+31.00%,33.50,36.00,38.50,0.00,0.00,unch,0,0,0.00,140.90%,Call,7,02/26/21,N/A,16.26%
XLV|20210226|85.00C,XLV,85.00,+26.69%,28.50,31.00,33.50,0.00,0.00,unch,0,0,0.00,120.85%,Call,7,02/26/21,N/A,16.26%
XLV|20210226|90.00C,XLV,90.00,+22.37%,23.50,26.00,28.50,0.00,0.00,unch,0,0,0.00,101.65%,Call,7,02/26/21,N/A,16.26%
XLV|20210226|95.00C,XLV,95.00,+18.06%,18.50,21.00,23.50,0.00,0.00,unch,0,0,0.00,83.12%,Call,7,02/26/21,N/A,16.26%
XLV|20210226|100.00C,XLV,100.00,+13.75%,13.55,16.03,18.50,0.00,0.00,unch,0,0,0.00,66.58%,Call,7,02/26/21,N/A,16.26%
XLV|20210226|105.00C,XLV,105.00,+9.44%,8.50,10.98,13.45,0.00,0.00,unch,0,0,0.00,45.79%,Call,7,02/26/21,N/A,16.26%
XLV|20210226|108.50C,XLV,108.50,+6.42%,5.00,7.48,9.95,8.20,8.20,unch,19,44,0.43,33.34%,Call,7,02/26/21,01/29/21,16.26%
XLV|20210226|109.00C,XLV,109.00,+5.99%,4.60,7.05,9.50,0.00,0.00,unch,0,0,0.00,34.46%,Call,7,02/26/21,N/A,16.26%
XLV|20210226|109.50C,XLV,109.50,+5.55%,4.10,6.55,9.00,6.65,-2.23,-25.11%,1,1,1.00,32.53%,Call,7,02/26/21,02/17/21,16.26%
XLV|20210226|110.00C,XLV,110.00,+5.12%,3.55,6.03,8.50,5.97,5.97,unch,23,8,2.88,29.73%,Call,7,02/26/21,02/04/21,16.26%
XLV|20210226|110.50C,XLV,110.50,+4.69%,3.00,5.48,7.95,0.00,0.00,unch,0,0,0.00,26.03%,Call,7,02/26/21,N/A,16.26%
XLV|20210226|111.00C,XLV,111.00,+4.26%,2.50,4.90,7.30,0.00,0.00,unch,0,5,0.00,21.13%,Call,7,02/26/21,N/A,16.26%
XLV|20210226|111.50C,XLV,111.50,+3.83%,3.15,4.80,6.45,0.00,0.00,unch,0,0,0.00,31.11%,Call,7,02/26/21,N/A,16.26%
