Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
75.00,+33.40%,35.55,38.03,40.50,0.00,0.00,unch,0,0,0.00,189.41%,Call,N/A
80.00,+28.96%,30.55,33.03,35.50,0.00,0.00,unch,0,0,0.00,163.88%,Call,N/A
85.00,+24.52%,25.50,27.98,30.45,0.00,0.00,unch,0,0,0.00,135.96%,Call,N/A
90.00,+20.08%,20.50,22.98,25.45,0.00,0.00,unch,0,0,0.00,112.99%,Call,N/A
95.00,+15.64%,15.50,17.98,20.45,0.00,0.00,unch,0,0,0.00,90.67%,Call,N/A
100.00,+11.20%,10.55,13.03,15.50,0.00,0.00,unch,0,0,0.00,70.90%,Call,N/A
105.00,+6.76%,5.55,8.03,10.50,0.00,0.00,unch,0,0,0.00,48.21%,Call,N/A
108.00,+4.09%,2.80,5.15,7.50,5.67,5.67,unch,1,3,0.33,49.61%,Call,02/26/21
108.50,+3.65%,2.00,4.40,6.80,5.35,-2.76,-34.03%,15,5,3.00,50.46%,Call,02/26/21
109.00,+3.21%,1.52,3.91,6.30,0.00,0.00,unch,0,0,0.00,25.89%,Call,N/A
110.00,+2.32%,0.65,2.95,5.25,6.32,6.32,unch,1,1,1.00,22.00%,Call,02/17/21
111.50,+0.99%,0.17,2.51,4.85,3.35,3.35,unch,2,2,1.00,33.46%,Call,02/23/21
112.00,+0.54%,0.25,2.63,5.00,3.08,0.13,+4.41%,5,45,0.11,40.39%,Call,02/24/21
112.50,+0.10%,0.05,2.45,4.85,0.00,0.00,unch,0,0,0.00,41.81%,Call,N/A
113.00,-0.35%,0.06,1.81,3.55,1.43,1.43,unch,11,0,0.00,28.23%,Call,02/26/21
113.50,-0.79%,0.36,1.63,2.90,1.21,-0.11,-8.33%,5,2,2.50,28.12%,Call,02/26/21
114.00,-1.23%,0.25,1.05,1.85,1.20,0.00,unch,4,91,0.04,31.41%,Call,02/26/21
114.50,-1.68%,0.09,0.94,1.78,0.88,-0.28,-24.14%,16,114,0.14,28.67%,Call,02/26/21
115.00,-2.12%,0.07,2.49,4.90,0.70,-0.07,-9.09%,28,30,0.93,28.02%,Call,02/26/21
115.50,-2.57%,0.06,0.76,1.46,0.48,-0.19,-28.36%,7,44,0.16,25.90%,Call,02/26/21
116.00,-3.01%,0.05,0.43,0.80,0.36,-0.16,-30.77%,19,63,0.30,25.35%,Call,02/26/21
116.50,-3.45%,0.03,0.19,0.34,0.29,-0.13,-30.95%,14,83,0.17,25.62%,Call,02/26/21
