Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV","20D His Vol"
XLV|20210319|55.00C,XLV,55.00,+51.61%,56.05,58.53,61.00,0.00,0.00,unch,0,0,0.00,397.49%,Call,8,03/19/21,N/A,20.87%,13.90%
XLV|20210319|60.00C,XLV,60.00,+47.21%,51.05,53.53,56.00,0.00,0.00,unch,0,0,0.00,357.72%,Call,8,03/19/21,N/A,20.87%,13.90%
XLV|20210319|65.00C,XLV,65.00,+42.81%,46.05,48.53,51.00,0.00,0.00,unch,0,0,0.00,321.13%,Call,8,03/19/21,N/A,20.87%,13.90%
XLV|20210319|70.00C,XLV,70.00,+38.41%,41.05,43.53,46.00,0.00,0.00,unch,0,0,0.00,287.12%,Call,8,03/19/21,N/A,20.87%,13.90%
XLV|20210319|75.00C,XLV,75.00,+34.01%,36.00,38.50,41.00,0.00,0.00,unch,0,0,0.00,255.23%,Call,8,03/19/21,N/A,20.87%,13.90%
XLV|20210319|80.00C,XLV,80.00,+29.61%,31.05,33.53,36.00,34.18,0.68,+2.03%,6,3,2.00,225.07%,Call,8,03/19/21,03/09/21,20.87%,13.90%
XLV|20210319|85.00C,XLV,85.00,+25.22%,26.05,28.53,31.00,0.00,0.00,unch,0,0,0.00,196.30%,Call,8,03/19/21,N/A,20.87%,13.90%
XLV|20210319|87.00C,XLV,87.00,+23.46%,24.05,26.53,29.00,0.00,0.00,unch,0,0,0.00,185.11%,Call,8,03/19/21,N/A,20.87%,13.90%
XLV|20210319|88.00C,XLV,88.00,+22.58%,23.05,25.53,28.00,19.38,-2.09,-9.73%,2,2,1.00,179.57%,Call,8,03/19/21,10/15/20,20.87%,13.90%
XLV|20210319|89.00C,XLV,89.00,+21.70%,22.05,24.53,27.00,0.00,0.00,unch,0,0,0.00,174.06%,Call,8,03/19/21,N/A,20.87%,13.90%
XLV|20210319|90.00C,XLV,90.00,+20.82%,21.05,23.53,26.00,24.76,-0.19,-0.76%,3,11,0.27,168.59%,Call,8,03/19/21,03/09/21,20.87%,13.90%
XLV|20210319|91.00C,XLV,91.00,+19.94%,20.05,22.53,25.00,0.00,0.00,unch,0,0,0.00,163.14%,Call,8,03/19/21,N/A,20.87%,13.90%
XLV|20210319|92.00C,XLV,92.00,+19.06%,19.05,21.53,24.00,22.25,-1.43,-6.04%,1,4,0.25,157.73%,Call,8,03/19/21,02/22/21,20.87%,13.90%
XLV|20210319|93.00C,XLV,93.00,+18.18%,18.05,20.53,23.00,17.31,1.11,+6.85%,1,1,1.00,152.33%,Call,8,03/19/21,09/02/20,20.87%,13.90%
XLV|20210319|94.00C,XLV,94.00,+17.30%,17.05,19.53,22.00,22.08,0.51,+2.36%,2,15,0.13,146.96%,Call,8,03/19/21,02/16/21,20.87%,13.90%
XLV|20210319|95.00C,XLV,95.00,+16.42%,16.05,18.53,21.00,21.15,-2.18,-9.34%,1,66,0.02,141.60%,Call,8,03/19/21,02/16/21,20.87%,13.90%
XLV|20210319|96.00C,XLV,96.00,+15.54%,15.05,17.53,20.00,10.15,10.15,unch,13,13,1.00,136.25%,Call,8,03/19/21,09/21/20,20.87%,13.90%
XLV|20210319|97.00C,XLV,97.00,+14.66%,14.00,16.18,18.35,17.45,0.63,+3.75%,6,798,0.01,90.45%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|98.00C,XLV,98.00,+13.78%,13.00,15.33,17.65,16.30,-1.47,-8.27%,1,98,0.01,117.67%,Call,8,03/19/21,03/02/21,20.87%,13.90%
XLV|20210319|99.00C,XLV,99.00,+12.90%,12.30,14.65,17.00,13.71,-2.41,-14.95%,6,203,0.03,120.25%,Call,8,03/19/21,03/05/21,20.87%,13.90%
XLV|20210319|100.00C,XLV,100.00,+12.02%,11.00,13.28,15.55,13.20,2.45,+22.79%,1,340,0.00,105.15%,Call,8,03/19/21,03/08/21,20.87%,13.90%
XLV|20210319|101.00C,XLV,101.00,+11.14%,10.85,12.55,14.25,13.10,-1.91,-12.72%,1,146,0.01,93.37%,Call,8,03/19/21,02/22/21,20.87%,13.90%
XLV|20210319|102.00C,XLV,102.00,+10.26%,9.00,11.05,13.10,13.13,0.02,+0.15%,1,426,0.00,85.05%,Call,8,03/19/21,02/24/21,20.87%,13.90%
XLV|20210319|103.00C,XLV,103.00,+9.38%,8.90,10.65,12.40,8.45,-2.29,-21.32%,4,942,0.00,86.65%,Call,8,03/19/21,03/05/21,20.87%,13.90%
XLV|20210319|104.00C,XLV,104.00,+8.50%,7.30,9.15,11.00,11.10,0.05,+0.45%,1,540,0.00,73.13%,Call,8,03/19/21,02/24/21,20.87%,13.90%
XLV|20210319|105.00C,XLV,105.00,+7.62%,7.90,8.60,9.30,9.00,-0.11,-1.21%,12,"1,178",0.01,43.27%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|106.00C,XLV,106.00,+6.74%,6.00,7.85,9.70,8.38,3.09,+58.41%,2,"2,899",0.00,49.75%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|107.00C,XLV,107.00,+5.86%,4.80,6.70,8.60,7.55,0.58,+8.32%,6,"1,964",0.00,49.12%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|108.00C,XLV,108.00,+4.98%,3.65,5.50,7.35,6.75,1.29,+23.63%,1,"1,471",0.00,48.46%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|109.00C,XLV,109.00,+4.10%,4.40,5.03,5.65,5.80,0.55,+10.48%,2,885,0.00,28.28%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|110.00C,XLV,110.00,+3.22%,3.40,4.25,5.10,4.27,0.22,+5.43%,33,"1,309",0.03,29.33%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|111.00C,XLV,111.00,+2.34%,2.71,3.23,3.75,3.04,0.24,+8.57%,15,299,0.05,23.78%,Call,8,03/19/21,03/08/21,20.87%,13.90%
XLV|20210319|112.00C,XLV,112.00,+1.46%,1.70,2.45,3.20,2.54,-1.06,-29.44%,1,738,0.00,23.93%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|113.00C,XLV,113.00,+0.58%,1.43,1.86,2.29,1.98,-0.06,-2.94%,1,670,0.00,24.60%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|114.00C,XLV,114.00,-0.30%,1.02,1.34,1.65,1.23,-0.12,-8.89%,14,"7,419",0.00,20.94%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|115.00C,XLV,115.00,-1.18%,0.35,0.67,0.99,0.82,0.01,+1.23%,74,"2,331",0.03,20.74%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|116.00C,XLV,116.00,-2.06%,0.45,0.63,0.81,0.49,-0.10,-16.95%,60,"2,223",0.03,20.05%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|117.00C,XLV,117.00,-2.94%,0.19,0.33,0.46,0.31,-0.04,-11.43%,25,"2,263",0.01,20.45%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|118.00C,XLV,118.00,-3.82%,0.20,0.24,0.28,0.22,0.01,+4.76%,794,"43,268",0.02,21.71%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|119.00C,XLV,119.00,-4.70%,0.07,0.16,0.25,0.10,-0.04,-28.57%,2,173,0.01,20.58%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|120.00C,XLV,120.00,-5.58%,0.06,0.08,0.10,0.10,0.02,+25.00%,13,"5,282",0.00,23.41%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|121.00C,XLV,121.00,-6.46%,0.01,0.06,0.11,0.12,0.03,+33.33%,10,195,0.05,23.70%,Call,8,03/19/21,03/09/21,20.87%,13.90%
XLV|20210319|122.00C,XLV,122.00,-7.34%,0.02,0.08,0.13,0.05,-0.06,-54.55%,1,17,0.06,0.00%,Call,8,03/19/21,03/05/21,20.87%,13.90%
XLV|20210319|123.00C,XLV,123.00,-8.22%,0.04,0.08,0.12,0.08,-0.14,-63.64%,2,2,1.00,0.00%,Call,8,03/19/21,02/22/21,20.87%,13.90%
XLV|20210319|124.00C,XLV,124.00,-9.10%,0.05,0.08,0.11,0.05,-0.02,-28.57%,5,8,0.63,0.00%,Call,8,03/19/21,03/08/21,20.87%,13.90%
XLV|20210319|125.00C,XLV,125.00,-9.98%,0.03,0.06,0.09,0.04,0.02,+100.00%,20,"3,932",0.01,31.29%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|130.00C,XLV,130.00,-14.38%,0.02,0.06,0.10,0.01,-0.01,-50.00%,25,"5,975",0.00,35.27%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|135.00C,XLV,135.00,-18.78%,0.01,0.01,0.01,0.01,0.00,unch,1,"5,880",0.00,43.90%,Call,8,03/19/21,03/10/21,20.87%,13.90%
XLV|20210319|140.00C,XLV,140.00,-23.17%,0.01,0.03,0.05,0.03,0.01,+50.00%,1,978,0.00,0.00%,Call,8,03/19/21,01/22/21,20.87%,13.90%
XLV|20210319|145.00C,XLV,145.00,-27.57%,0.01,0.01,0.01,0.05,0.01,+25.00%,4,129,0.03,0.00%,Call,8,03/19/21,11/10/20,20.87%,13.90%
XLV|20210319|150.00C,XLV,150.00,-31.97%,0.01,0.20,0.39,0.05,0.01,+25.00%,7,308,0.02,0.00%,Call,8,03/19/21,01/27/21,20.87%,13.90%
