Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLY|20210219|85.00C,XLY,85.00,+50.02%,82.60,85.05,87.50,0.00,0.00,unch,0,0,0.00,369.77%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|90.00C,XLY,90.00,+47.08%,77.50,79.95,82.40,0.00,0.00,unch,0,0,0.00,340.33%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|95.00C,XLY,95.00,+44.14%,72.60,75.05,77.50,0.00,0.00,unch,0,0,0.00,319.68%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|100.00C,XLY,100.00,+41.20%,67.50,69.95,72.40,0.00,0.00,unch,0,0,0.00,293.21%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|105.00C,XLY,105.00,+38.26%,62.60,65.05,67.50,0.00,0.00,unch,0,0,0.00,274.39%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|110.00C,XLY,110.00,+35.32%,57.60,60.05,62.50,0.00,0.00,unch,0,0,0.00,253.19%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|113.00C,XLY,113.00,+33.56%,54.60,57.05,59.50,0.00,0.00,unch,0,0,0.00,240.86%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|114.00C,XLY,114.00,+32.97%,53.60,56.05,58.50,0.00,0.00,unch,0,0,0.00,236.81%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|115.00C,XLY,115.00,+32.38%,52.60,55.05,57.50,0.00,0.00,unch,0,0,0.00,232.79%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|116.00C,XLY,116.00,+31.80%,51.60,54.05,56.50,0.00,0.00,unch,0,0,0.00,228.80%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|117.00C,XLY,117.00,+31.21%,50.60,53.05,55.50,0.00,0.00,unch,0,0,0.00,224.84%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|118.00C,XLY,118.00,+30.62%,49.60,52.05,54.50,0.00,0.00,unch,0,0,0.00,220.90%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|119.00C,XLY,119.00,+30.03%,48.60,51.05,53.50,0.00,0.00,unch,0,0,0.00,216.99%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|120.00C,XLY,120.00,+29.44%,47.60,50.05,52.50,0.00,0.00,unch,0,0,0.00,213.10%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|121.00C,XLY,121.00,+28.86%,46.60,49.05,51.50,0.00,0.00,unch,0,0,0.00,209.23%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|122.00C,XLY,122.00,+28.27%,45.60,48.05,50.50,0.00,0.00,unch,0,0,0.00,205.39%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|123.00C,XLY,123.00,+27.68%,44.60,47.05,49.50,0.00,0.00,unch,0,0,0.00,201.58%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|124.00C,XLY,124.00,+27.09%,43.60,46.05,48.50,0.00,0.00,unch,0,0,0.00,197.78%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|125.00C,XLY,125.00,+26.51%,42.60,45.05,47.50,0.00,0.00,unch,0,0,0.00,194.01%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|126.00C,XLY,126.00,+25.92%,41.60,44.05,46.50,0.00,0.00,unch,0,0,0.00,190.25%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|127.00C,XLY,127.00,+25.33%,40.60,43.05,45.50,0.00,0.00,unch,0,0,0.00,186.52%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|128.00C,XLY,128.00,+24.74%,39.60,42.05,44.50,0.00,0.00,unch,0,0,0.00,182.80%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|129.00C,XLY,129.00,+24.15%,39.20,41.60,44.00,0.00,0.00,unch,0,0,0.00,122.18%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|130.00C,XLY,130.00,+23.57%,37.60,40.05,42.50,0.00,0.00,unch,0,0,0.00,175.42%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|131.00C,XLY,131.00,+22.98%,36.60,39.05,41.50,29.30,29.30,unch,2,2,1.00,171.76%,Call,7,02/19/21,12/18/20,19.64%
XLY|20210219|132.00C,XLY,132.00,+22.39%,35.60,38.05,40.50,0.00,0.00,unch,0,0,0.00,168.11%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|133.00C,XLY,133.00,+21.80%,34.60,37.05,39.50,0.00,0.00,unch,0,0,0.00,164.48%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|134.00C,XLY,134.00,+21.21%,33.60,36.05,38.50,0.00,0.00,unch,0,0,0.00,160.86%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|135.00C,XLY,135.00,+20.63%,32.60,35.05,37.50,34.87,-0.15,-0.43%,2,2,1.00,157.26%,Call,7,02/19/21,02/11/21,19.64%
XLY|20210219|136.00C,XLY,136.00,+20.04%,31.60,34.05,36.50,0.00,0.00,unch,0,0,0.00,153.66%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|137.00C,XLY,137.00,+19.45%,30.60,33.05,35.50,0.00,0.00,unch,0,0,0.00,150.08%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|138.00C,XLY,138.00,+18.86%,29.60,32.05,34.50,22.70,22.70,unch,1,1,1.00,146.51%,Call,7,02/19/21,12/18/20,19.64%
XLY|20210219|139.00C,XLY,139.00,+18.27%,28.60,31.05,33.50,0.00,0.00,unch,0,0,0.00,142.95%,Call,7,02/19/21,N/A,19.64%
XLY|20210219|140.00C,XLY,140.00,+17.69%,27.60,30.05,32.50,25.48,-2.37,-8.51%,1,12,0.08,139.40%,Call,7,02/19/21,01/29/21,19.64%
XLY|20210219|141.00C,XLY,141.00,+17.10%,26.60,29.05,31.50,19.90,19.90,unch,5,5,1.00,135.86%,Call,7,02/19/21,12/18/20,19.64%
XLY|20210219|142.00C,XLY,142.00,+16.51%,25.60,28.05,30.50,23.85,4.65,+24.22%,6,17,0.35,132.33%,Call,7,02/19/21,01/27/21,19.64%
XLY|20210219|143.00C,XLY,143.00,+15.92%,24.60,27.05,29.50,23.85,0.45,+1.92%,1,9,0.11,128.80%,Call,7,02/19/21,01/15/21,19.64%
XLY|20210219|144.00C,XLY,144.00,+15.33%,23.60,26.05,28.50,28.28,11.85,+72.12%,2,3,0.67,125.27%,Call,7,02/19/21,02/08/21,19.64%
XLY|20210219|145.00C,XLY,145.00,+14.75%,22.60,25.05,27.50,24.95,1.98,+8.62%,2,7,0.29,121.75%,Call,7,02/19/21,02/10/21,19.64%
XLY|20210219|146.00C,XLY,146.00,+14.16%,21.60,24.05,26.50,24.95,8.70,+53.54%,2,5,0.40,85.99%,Call,7,02/19/21,02/11/21,19.64%
XLY|20210219|147.00C,XLY,147.00,+13.57%,21.65,23.83,26.00,16.65,-4.25,-20.33%,12,16,0.75,79.78%,Call,7,02/19/21,01/29/21,19.64%
XLY|20210219|148.00C,XLY,148.00,+12.98%,19.60,22.05,24.50,22.36,3.11,+16.16%,1,10,0.10,111.20%,Call,7,02/19/21,02/02/21,19.64%
XLY|20210219|149.00C,XLY,149.00,+12.39%,18.60,21.05,23.50,19.00,4.65,+32.40%,1,2,0.50,107.69%,Call,7,02/19/21,01/11/21,19.64%
XLY|20210219|150.00C,XLY,150.00,+11.81%,17.60,20.05,22.50,19.70,0.28,+1.44%,18,107,0.17,104.16%,Call,7,02/19/21,02/10/21,19.64%
