Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLY|20210401|105.00C,XLY,105.00,+34.57%,53.20,55.60,58.00,0.00,0.00,unch,0,0,0.00,66.71%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|110.00C,XLY,110.00,+31.46%,48.20,50.60,53.00,0.00,0.00,unch,0,0,0.00,60.24%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|115.00C,XLY,115.00,+28.34%,43.20,45.60,48.00,0.00,0.00,unch,0,0,0.00,54.02%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|120.00C,XLY,120.00,+25.22%,38.50,40.95,43.40,0.00,0.00,unch,0,0,0.00,58.59%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|125.00C,XLY,125.00,+22.11%,33.60,36.05,38.50,0.00,0.00,unch,0,0,0.00,53.73%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|130.00C,XLY,130.00,+18.99%,28.60,31.05,33.50,0.00,0.00,unch,0,0,0.00,46.87%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|135.00C,XLY,135.00,+15.88%,23.75,26.13,28.50,0.00,0.00,unch,0,0,0.00,41.25%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|140.00C,XLY,140.00,+12.76%,19.20,21.60,24.00,30.39,30.39,unch,1,1,1.00,39.86%,Call,34,04/01/21,02/19/21,0.00%
XLY|20210401|145.00C,XLY,145.00,+9.65%,14.60,17.05,19.50,0.00,0.00,unch,0,0,0.00,36.28%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|147.00C,XLY,147.00,+8.40%,12.60,15.05,17.50,0.00,0.00,unch,0,0,0.00,33.06%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|147.50C,XLY,147.50,+8.09%,12.50,14.85,17.20,0.00,0.00,unch,0,0,0.00,34.51%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|148.00C,XLY,148.00,+7.78%,12.00,14.33,16.65,0.00,0.00,unch,0,0,0.00,33.49%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|148.50C,XLY,148.50,+7.47%,11.50,13.88,16.25,0.00,0.00,unch,0,0,0.00,33.00%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|149.00C,XLY,149.00,+7.15%,11.00,13.40,15.80,0.00,0.00,unch,0,0,0.00,32.33%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|149.50C,XLY,149.50,+6.84%,10.50,12.95,15.40,0.00,0.00,unch,0,0,0.00,31.82%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|150.00C,XLY,150.00,+6.53%,10.05,12.50,14.95,0.00,0.00,unch,0,0,0.00,31.30%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|152.50C,XLY,152.50,+4.97%,8.00,10.38,12.75,0.00,0.00,unch,0,0,0.00,29.24%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|155.00C,XLY,155.00,+3.41%,6.55,8.88,11.20,0.00,0.00,unch,0,0,0.00,30.17%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|157.50C,XLY,157.50,+1.86%,4.95,7.23,9.50,14.13,14.13,unch,1,1,1.00,29.30%,Call,34,04/01/21,02/17/21,0.00%
XLY|20210401|160.00C,XLY,160.00,+0.30%,4.35,6.27,8.20,8.45,8.45,unch,20,20,1.00,31.20%,Call,34,04/01/21,02/24/21,0.00%
XLY|20210401|162.50C,XLY,162.50,-1.26%,3.10,4.98,6.85,5.25,5.25,unch,4,24,0.17,30.41%,Call,34,04/01/21,02/23/21,0.00%
XLY|20210401|164.00C,XLY,164.00,-2.19%,1.76,3.96,6.15,3.98,3.98,unch,100,0,0.00,28.40%,Call,34,04/01/21,02/25/21,0.00%
XLY|20210401|165.00C,XLY,165.00,-2.82%,2.06,4.03,6.00,3.70,-1.50,-28.85%,30,2,15.00,28.87%,Call,34,04/01/21,02/25/21,0.00%
XLY|20210401|166.00C,XLY,166.00,-3.44%,1.73,3.54,5.35,4.36,-1.49,-25.47%,7,9,0.78,29.87%,Call,34,04/01/21,02/24/21,0.00%
XLY|20210401|167.00C,XLY,167.00,-4.06%,1.40,3.40,5.40,4.32,-0.33,-7.10%,3,3,1.00,35.89%,Call,34,04/01/21,02/25/21,0.00%
XLY|20210401|167.50C,XLY,167.50,-4.37%,1.20,3.10,5.00,0.00,0.00,unch,0,0,0.00,30.08%,Call,34,04/01/21,N/A,0.00%
XLY|20210401|168.00C,XLY,168.00,-4.69%,0.43,2.72,5.00,3.90,3.90,unch,3,0,0.00,35.37%,Call,34,04/01/21,02/25/21,0.00%
