Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLY|20210409|148.00C,XLY,148.00,+7.04%,10.95,12.65,14.35,0.00,0.00,unch,0,0,0.00,27.55%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|148.50C,XLY,148.50,+6.72%,10.55,12.25,13.95,0.00,0.00,unch,0,0,0.00,27.48%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|149.00C,XLY,149.00,+6.41%,10.10,11.83,13.55,0.00,0.00,unch,0,0,0.00,27.19%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|149.50C,XLY,149.50,+6.09%,9.80,11.43,13.05,0.00,0.00,unch,0,0,0.00,27.05%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|150.00C,XLY,150.00,+5.78%,9.40,11.03,12.65,0.00,0.00,unch,0,0,0.00,26.88%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|152.50C,XLY,152.50,+4.21%,7.25,8.95,10.65,0.00,0.00,unch,0,0,0.00,25.13%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|155.00C,XLY,155.00,+2.64%,6.05,7.38,8.70,0.00,0.00,unch,0,0,0.00,25.41%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|156.00C,XLY,156.00,+2.01%,5.60,6.78,7.95,0.00,0.00,unch,0,0,0.00,25.39%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|157.50C,XLY,157.50,+1.07%,4.75,5.85,6.95,0.00,0.00,unch,0,0,0.00,24.94%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|159.00C,XLY,159.00,+0.13%,3.90,5.00,6.10,0.00,0.00,unch,0,0,0.00,24.53%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|160.00C,XLY,160.00,-0.50%,3.40,4.50,5.60,0.00,0.00,unch,0,0,0.00,24.39%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|161.00C,XLY,161.00,-1.13%,2.87,3.99,5.10,0.00,0.00,unch,0,0,0.00,24.02%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|162.00C,XLY,162.00,-1.76%,2.43,3.57,4.70,0.00,0.00,unch,0,0,0.00,23.95%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|162.50C,XLY,162.50,-2.07%,2.25,3.38,4.50,0.00,0.00,unch,0,0,0.00,23.96%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|163.00C,XLY,163.00,-2.39%,2.08,3.17,4.25,0.00,0.00,unch,0,0,0.00,23.83%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|164.00C,XLY,164.00,-3.02%,1.80,2.85,3.90,0.00,0.00,unch,0,0,0.00,23.99%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|165.00C,XLY,165.00,-3.64%,1.43,2.49,3.55,0.00,0.00,unch,0,0,0.00,23.76%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|166.00C,XLY,166.00,-4.27%,1.29,2.27,3.25,0.00,0.00,unch,0,0,0.00,24.14%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|167.00C,XLY,167.00,-4.90%,0.78,1.89,3.00,0.00,0.00,unch,0,0,0.00,23.45%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|167.50C,XLY,167.50,-5.21%,0.64,1.77,2.90,0.00,0.00,unch,0,0,0.00,23.45%,Call,37,04/09/21,N/A,0.00%
XLY|20210409|148.00P,XLY,148.00,-7.04%,0.82,1.93,3.05,0.00,0.00,unch,0,0,0.00,30.22%,Put,37,04/09/21,N/A,0.00%
XLY|20210409|148.50P,XLY,148.50,-6.72%,0.93,2.09,3.25,0.00,0.00,unch,0,0,0.00,30.43%,Put,37,04/09/21,N/A,0.00%
XLY|20210409|149.00P,XLY,149.00,-6.41%,1.03,2.17,3.30,0.00,0.00,unch,0,0,0.00,30.08%,Put,37,04/09/21,N/A,0.00%
XLY|20210409|149.50P,XLY,149.50,-6.09%,1.17,2.29,3.40,0.00,0.00,unch,0,0,0.00,29.99%,Put,37,04/09/21,N/A,0.00%
XLY|20210409|150.00P,XLY,150.00,-5.78%,1.27,2.39,3.50,0.00,0.00,unch,0,0,0.00,29.74%,Put,37,04/09/21,N/A,0.00%
XLY|20210409|152.50P,XLY,152.50,-4.21%,1.95,3.00,4.05,0.00,0.00,unch,0,0,0.00,28.79%,Put,37,04/09/21,N/A,0.00%
XLY|20210409|155.00P,XLY,155.00,-2.64%,2.78,3.76,4.75,0.00,0.00,unch,0,0,0.00,27.92%,Put,37,04/09/21,N/A,0.00%
XLY|20210409|156.00P,XLY,156.00,-2.01%,3.20,4.15,5.10,0.00,0.00,unch,0,0,0.00,27.76%,Put,37,04/09/21,N/A,0.00%
XLY|20210409|157.50P,XLY,157.50,-1.07%,3.75,4.70,5.65,0.00,0.00,unch,0,0,0.00,27.13%,Put,37,04/09/21,N/A,0.00%
XLY|20210409|159.00P,XLY,159.00,-0.13%,4.45,5.40,6.35,0.00,0.00,unch,0,0,0.00,26.93%,Put,37,04/09/21,N/A,0.00%
XLY|20210409|160.00P,XLY,160.00,+0.50%,4.85,5.80,6.75,0.00,0.00,unch,0,0,0.00,26.29%,Put,37,04/09/21,N/A,0.00%
XLY|20210409|161.00P,XLY,161.00,+1.13%,5.35,6.43,7.50,0.00,0.00,unch,0,0,0.00,26.62%,Put,37,04/09/21,N/A,0.00%
XLY|20210409|162.00P,XLY,162.00,+1.76%,5.85,6.98,8.10,0.00,0.00,unch,0,0,0.00,26.43%,Put,37,04/09/21,N/A,0.00%
XLY|20210409|162.50P,XLY,162.50,+2.07%,6.05,7.25,8.45,0.00,0.00,unch,0,0,0.00,26.28%,Put,37,04/09/21,N/A,0.00%
XLY|20210409|163.00P,XLY,163.00,+2.39%,6.35,7.55,8.75,5.77,5.77,unch,20,0,0.00,26.22%,Put,37,04/09/21,03/03/21,0.00%
XLY|20210409|164.00P,XLY,164.00,+3.02%,6.90,8.18,9.45,0.00,0.00,unch,0,0,0.00,26.12%,Put,37,04/09/21,N/A,0.00%
XLY|20210409|165.00P,XLY,165.00,+3.64%,7.55,8.85,10.15,7.65,-0.11,-1.42%,20,2,10.00,19.50%,Put,37,04/09/21,03/03/21,0.00%
XLY|20210409|166.00P,XLY,166.00,+4.27%,7.40,9.15,10.90,0.00,0.00,unch,0,0,0.00,23.91%,Put,37,04/09/21,N/A,0.00%
