Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
40.00,+46.19%,31.50,33.85,36.20,0.00,0.00,unch,0,0,0.00,426.94%,Call,N/A
45.00,+39.47%,26.50,28.85,31.20,0.00,0.00,unch,0,0,0.00,361.82%,Call,N/A
50.00,+32.74%,21.50,23.85,26.20,0.00,0.00,unch,0,0,0.00,303.05%,Call,N/A
51.00,+31.40%,20.50,22.85,25.20,0.00,0.00,unch,0,0,0.00,291.90%,Call,N/A
52.00,+30.05%,19.50,21.90,24.30,0.00,0.00,unch,0,0,0.00,286.11%,Call,N/A
53.00,+28.71%,18.50,20.93,23.35,0.00,0.00,unch,0,0,0.00,277.66%,Call,N/A
54.00,+27.36%,17.50,19.85,22.20,0.00,0.00,unch,0,0,0.00,259.44%,Call,N/A
55.00,+26.02%,16.50,18.88,21.25,21.70,1.21,+5.91%,1,1,1.00,251.32%,Call,01/13/21
56.00,+24.67%,15.50,17.93,20.35,0.00,0.00,unch,0,0,0.00,245.49%,Call,N/A
57.00,+23.33%,14.50,16.85,19.20,0.00,0.00,unch,0,0,0.00,228.22%,Call,N/A
58.00,+21.98%,13.50,15.93,18.35,0.00,0.00,unch,0,0,0.00,224.65%,Call,N/A
59.00,+20.63%,12.50,14.83,17.15,12.82,0.12,+0.94%,1,22,0.05,205.77%,Call,01/28/21
60.00,+19.29%,11.50,13.80,16.10,13.82,0.92,+7.13%,4,10,0.40,193.69%,Call,02/11/21
61.00,+17.94%,10.50,12.80,15.10,12.71,-0.36,-2.75%,5,2,2.50,183.88%,Call,02/11/21
62.00,+16.60%,9.50,11.70,13.90,11.70,-0.04,-0.34%,3,6,0.50,165.92%,Call,02/11/21
63.00,+15.25%,9.00,11.38,13.75,11.05,0.54,+5.14%,11,6,1.83,188.82%,Call,02/12/21
64.00,+13.91%,8.00,10.13,12.25,10.15,0.58,+6.06%,11,427,0.03,160.30%,Call,02/12/21
65.00,+12.56%,8.35,9.50,10.65,9.10,0.68,+8.08%,11,71,0.15,127.91%,Call,02/12/21
66.00,+11.22%,7.80,8.85,9.90,7.37,2.18,+42.00%,1,7,0.14,84.58%,Call,02/11/21
67.00,+9.87%,6.40,7.48,8.55,5.59,0.59,+11.80%,1,10,0.10,54.45%,Call,02/02/21
67.50,+9.20%,4.40,6.68,8.95,0.00,0.00,unch,0,0,0.00,132.16%,Call,N/A
68.00,+8.53%,5.30,6.18,7.05,5.80,-0.45,-7.20%,9,25,0.36,77.93%,Call,02/09/21
68.50,+7.86%,4.55,5.75,6.95,5.09,5.09,unch,20,20,1.00,88.77%,Call,02/05/21
69.00,+7.18%,3.00,5.38,7.75,4.82,-1.18,-19.67%,2,3,0.67,32.84%,Call,02/10/21
69.50,+6.51%,3.80,4.70,5.60,4.85,4.85,unch,2,2,1.00,67.35%,Call,01/26/21
70.00,+5.84%,2.00,4.33,6.65,4.18,0.59,+16.43%,1,341,0.00,112.13%,Call,02/12/21
70.50,+5.17%,2.90,3.93,4.95,2.84,-0.29,-9.27%,1,21,0.05,29.33%,Call,02/02/21
71.00,+4.49%,2.95,3.70,4.45,3.32,0.02,+0.61%,2,119,0.02,65.58%,Call,02/12/21
71.50,+3.82%,2.27,3.09,3.90,3.00,1.32,+78.57%,4,19,0.21,31.31%,Call,02/08/21
72.00,+3.15%,0.80,2.90,5.00,2.50,0.39,+18.48%,2,106,0.02,23.95%,Call,02/12/21
72.50,+2.48%,0.54,2.55,4.55,1.81,-0.88,-32.71%,1,14,0.07,38.76%,Call,02/11/21
73.00,+1.80%,1.00,1.60,2.20,1.55,0.28,+22.05%,217,105,2.07,18.49%,Call,02/12/21
73.50,+1.13%,0.61,2.46,4.30,1.25,0.30,+31.58%,169,283,0.60,20.35%,Call,02/12/21
74.00,+0.46%,0.49,0.83,1.16,0.84,0.34,+68.00%,30,"3,137",0.01,17.56%,Call,02/12/21
74.50,-0.22%,0.50,0.72,0.93,0.64,0.18,+39.13%,12,32,0.38,19.05%,Call,02/12/21
75.00,-0.89%,0.33,0.59,0.84,0.41,0.10,+32.26%,85,419,0.20,18.25%,Call,02/12/21
75.50,-1.56%,0.03,0.30,0.56,0.31,0.03,+10.71%,64,16,4.00,19.78%,Call,02/12/21
76.00,-2.23%,0.11,0.21,0.30,0.18,0.05,+38.46%,56,"4,474",0.01,19.06%,Call,02/12/21
76.50,-2.91%,0.02,0.26,0.49,0.10,-0.03,-23.08%,6,15,0.40,25.49%,Call,02/11/21
