Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLB|20210326|40.00C,XLB,40.00,+45.68%,31.30,33.65,36.00,0.00,0.00,unch,0,0,0.00,189.38%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|45.00C,XLB,45.00,+38.89%,26.50,28.75,31.00,0.00,0.00,unch,0,0,0.00,77.76%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|50.00C,XLB,50.00,+32.10%,21.25,23.63,26.00,0.00,0.00,unch,0,0,0.00,134.82%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|55.00C,XLB,55.00,+25.31%,16.55,19.03,21.50,0.00,0.00,unch,0,0,0.00,64.31%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|60.00C,XLB,60.00,+18.52%,11.55,14.03,16.50,0.00,0.00,unch,0,0,0.00,48.70%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|65.50C,XLB,65.50,+11.05%,7.55,8.63,9.70,0.00,0.00,unch,0,0,0.00,34.36%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|66.00C,XLB,66.00,+10.37%,7.15,8.18,9.20,0.00,0.00,unch,0,0,0.00,33.82%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|66.50C,XLB,66.50,+9.70%,6.20,7.35,8.50,0.00,0.00,unch,0,0,0.00,24.57%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|67.00C,XLB,67.00,+9.02%,6.20,7.35,8.50,0.00,0.00,unch,0,0,0.00,33.79%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|67.50C,XLB,67.50,+8.34%,5.35,6.48,7.60,0.00,0.00,unch,0,0,0.00,24.92%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|68.00C,XLB,68.00,+7.66%,5.35,6.43,7.50,0.00,0.00,unch,0,0,0.00,31.57%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|68.50C,XLB,68.50,+6.98%,3.50,5.65,7.80,0.00,0.00,unch,0,0,0.00,25.24%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|69.00C,XLB,69.00,+6.30%,4.20,5.18,6.15,0.00,0.00,unch,0,0,0.00,24.02%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|69.50C,XLB,69.50,+5.62%,3.80,4.75,5.70,5.55,5.55,unch,2,2,1.00,23.53%,Call,35,03/26/21,02/16/21,24.56%
XLB|20210326|70.00C,XLB,70.00,+4.94%,3.45,4.38,5.30,0.00,0.00,unch,0,0,0.00,23.62%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|70.50C,XLB,70.50,+4.26%,3.10,3.97,4.85,0.00,0.00,unch,0,0,0.00,23.14%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|71.00C,XLB,71.00,+3.59%,1.30,3.65,6.00,0.00,0.00,unch,0,0,0.00,23.46%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|71.50C,XLB,71.50,+2.91%,1.16,3.56,5.95,0.00,0.00,unch,0,0,0.00,26.29%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|72.00C,XLB,72.00,+2.23%,0.63,3.07,5.50,0.00,0.00,unch,0,0,0.00,24.14%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|72.50C,XLB,72.50,+1.55%,2.34,2.87,3.40,0.00,0.00,unch,0,0,0.00,25.24%,Call,35,03/26/21,N/A,24.56%
XLB|20210326|73.00C,XLB,73.00,+0.87%,0.20,2.60,5.00,2.92,-0.13,-4.26%,3,3,1.00,25.27%,Call,35,03/26/21,02/12/21,24.56%
XLB|20210326|73.50C,XLB,73.50,+0.19%,0.20,2.60,5.00,2.25,-0.18,-7.41%,2,20,0.10,24.22%,Call,35,03/26/21,02/18/21,24.56%
