Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLB|20210409|69.50C,XLB,69.50,+5.60%,2.60,5.05,7.50,0.00,0.00,unch,0,0,0.00,28.81%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|70.00C,XLB,70.00,+4.92%,2.00,4.35,6.70,0.00,0.00,unch,0,0,0.00,24.12%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|70.50C,XLB,70.50,+4.24%,2.00,4.33,6.65,0.00,0.00,unch,0,0,0.00,28.44%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|71.00C,XLB,71.00,+3.56%,1.65,4.08,6.50,0.00,0.00,unch,0,0,0.00,29.38%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|71.50C,XLB,71.50,+2.88%,1.00,3.35,5.70,0.00,0.00,unch,0,0,0.00,24.45%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|72.00C,XLB,72.00,+2.20%,0.70,3.10,5.50,0.00,0.00,unch,0,0,0.00,25.11%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|72.50C,XLB,72.50,+1.52%,0.50,2.88,5.25,0.00,0.00,unch,0,0,0.00,25.82%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|73.00C,XLB,73.00,+0.84%,2.50,3.75,5.00,3.84,3.84,unch,1,1,1.00,38.51%,Call,35,04/09/21,02/25/21,0.00%
XLB|20210409|73.50C,XLB,73.50,+0.16%,0.15,2.58,5.00,0.00,0.00,unch,0,0,0.00,28.25%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|74.00C,XLB,74.00,-0.52%,0.08,2.54,5.00,0.00,0.00,unch,0,1,0.00,30.45%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|74.50C,XLB,74.50,-1.20%,0.20,2.60,5.00,0.00,0.00,unch,0,0,0.00,33.54%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|75.00C,XLB,75.00,-1.87%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,35.02%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|75.50C,XLB,75.50,-2.55%,0.15,1.90,3.65,0.00,0.00,unch,0,0,0.00,30.20%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|76.00C,XLB,76.00,-3.23%,0.05,2.53,5.00,1.15,-0.85,-42.50%,12,5,2.40,23.49%,Call,35,04/09/21,03/04/21,0.00%
XLB|20210409|76.50C,XLB,76.50,-3.91%,0.10,1.54,2.98,0.00,0.00,unch,0,0,0.00,30.02%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|77.00C,XLB,77.00,-4.59%,0.23,1.50,2.77,0.00,0.00,unch,0,0,0.00,31.39%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|77.50C,XLB,77.50,-5.27%,0.11,1.33,2.54,0.00,0.00,unch,0,0,0.00,31.00%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|78.00C,XLB,78.00,-5.95%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,47.16%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|78.50C,XLB,78.50,-6.63%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,48.98%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|79.00C,XLB,79.00,-7.31%,0.11,2.56,5.00,0.00,0.00,unch,0,0,0.00,51.10%,Call,35,04/09/21,N/A,0.00%
XLB|20210409|69.50P,XLB,69.50,-5.60%,0.08,2.54,5.00,0.00,0.00,unch,0,0,0.00,48.13%,Put,35,04/09/21,N/A,0.00%
XLB|20210409|70.00P,XLB,70.00,-4.92%,0.10,1.51,2.91,0.00,0.00,unch,0,0,0.00,33.08%,Put,35,04/09/21,N/A,0.00%
XLB|20210409|70.50P,XLB,70.50,-4.24%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,43.24%,Put,35,04/09/21,N/A,0.00%
XLB|20210409|71.00P,XLB,71.00,-3.56%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,40.84%,Put,35,04/09/21,N/A,0.00%
XLB|20210409|71.50P,XLB,71.50,-2.88%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,38.38%,Put,35,04/09/21,N/A,0.00%
XLB|20210409|72.00P,XLB,72.00,-2.20%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,35.88%,Put,35,04/09/21,N/A,0.00%
XLB|20210409|72.50P,XLB,72.50,-1.52%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,33.30%,Put,35,04/09/21,N/A,0.00%
