Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV","20D His Vol"
XLB|20210416|45.00C,XLB,45.00,+42.81%,31.95,33.53,35.10,32.25,32.25,unch,1,1,1.00,151.42%,Call,34,04/16/21,03/10/21,21.72%,20.12%
XLB|20210416|50.00C,XLB,50.00,+36.46%,28.00,28.80,29.60,0.00,0.00,unch,0,0,0.00,78.54%,Call,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|55.00C,XLB,55.00,+30.11%,22.45,23.63,24.80,22.00,0.30,+1.38%,2,3,0.67,100.15%,Call,34,04/16/21,03/10/21,21.72%,20.12%
XLB|20210416|56.00C,XLB,56.00,+28.83%,20.60,22.50,24.40,0.00,0.00,unch,0,0,0.00,109.83%,Call,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|57.00C,XLB,57.00,+27.56%,20.70,21.70,22.70,0.00,0.00,unch,0,0,0.00,48.27%,Call,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|58.00C,XLB,58.00,+26.29%,20.05,20.85,21.65,0.00,0.00,unch,0,0,0.00,58.93%,Call,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|59.00C,XLB,59.00,+25.02%,17.30,19.65,22.00,0.00,0.00,unch,0,0,0.00,108.69%,Call,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|60.00C,XLB,60.00,+23.75%,18.20,18.75,19.30,19.00,3.55,+22.98%,4,2,2.00,59.83%,Call,34,04/16/21,03/12/21,21.72%,20.12%
XLB|20210416|61.00C,XLB,61.00,+22.48%,15.30,17.65,20.00,0.00,0.00,unch,0,0,0.00,100.17%,Call,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|62.00C,XLB,62.00,+21.21%,16.20,16.75,17.30,16.35,3.31,+25.38%,2,2,1.00,42.37%,Call,34,04/16/21,03/10/21,21.72%,20.12%
XLB|20210416|63.00C,XLB,63.00,+19.94%,15.15,15.77,16.40,13.70,3.25,+31.10%,5,15,0.33,41.60%,Call,34,04/16/21,03/08/21,21.72%,20.12%
XLB|20210416|64.00C,XLB,64.00,+18.67%,14.00,14.65,15.30,14.53,1.78,+13.96%,1,38,0.03,56.40%,Call,34,04/16/21,03/10/21,21.72%,20.12%
XLB|20210416|65.00C,XLB,65.00,+17.40%,13.00,13.55,14.10,13.61,0.05,+0.37%,18,725,0.02,48.27%,Call,34,04/16/21,03/12/21,21.72%,20.12%
XLB|20210416|66.00C,XLB,66.00,+16.13%,12.20,12.85,13.50,11.17,-0.23,-2.02%,1,7,0.14,37.61%,Call,34,04/16/21,03/09/21,21.72%,20.12%
XLB|20210416|67.00C,XLB,67.00,+14.86%,10.80,11.60,12.40,11.54,0.04,+0.35%,9,90,0.10,49.05%,Call,34,04/16/21,03/12/21,21.72%,20.12%
XLB|20210416|68.00C,XLB,68.00,+13.58%,10.30,10.80,11.30,10.47,1.37,+15.05%,5,22,0.23,43.85%,Call,34,04/16/21,03/12/21,21.72%,20.12%
XLB|20210416|69.00C,XLB,69.00,+12.31%,7.50,9.75,12.00,9.46,1.31,+16.07%,8,7,1.14,25.92%,Call,34,04/16/21,03/10/21,21.72%,20.12%
XLB|20210416|70.00C,XLB,70.00,+11.04%,8.55,8.88,9.20,8.75,0.83,+10.48%,16,46,0.35,28.09%,Call,34,04/16/21,03/11/21,21.72%,20.12%
XLB|20210416|71.00C,XLB,71.00,+9.77%,5.75,8.05,10.35,8.17,1.44,+21.40%,1,20,0.05,29.63%,Call,34,04/16/21,03/11/21,21.72%,20.12%
XLB|20210416|72.00C,XLB,72.00,+8.50%,6.30,6.82,7.35,6.87,-0.36,-4.98%,22,35,0.63,22.71%,Call,34,04/16/21,03/12/21,21.72%,20.12%
XLB|20210416|73.00C,XLB,73.00,+7.23%,5.45,5.95,6.45,5.80,-0.25,-4.13%,6,52,0.12,18.24%,Call,34,04/16/21,03/12/21,21.72%,20.12%
XLB|20210416|74.00C,XLB,74.00,+5.96%,4.60,5.13,5.65,5.15,0.05,+0.98%,9,87,0.10,22.47%,Call,34,04/16/21,03/12/21,21.72%,20.12%
XLB|20210416|75.00C,XLB,75.00,+4.69%,4.20,4.43,4.65,4.31,-0.10,-2.27%,21,"3,690",0.01,21.58%,Call,34,04/16/21,03/12/21,21.72%,20.12%
XLB|20210416|76.00C,XLB,76.00,+3.42%,3.10,3.53,3.95,3.60,-0.16,-4.26%,2,291,0.01,21.71%,Call,34,04/16/21,03/12/21,21.72%,20.12%
XLB|20210416|77.00C,XLB,77.00,+2.15%,0.94,3.22,5.50,2.94,-0.10,-3.29%,19,270,0.07,21.58%,Call,34,04/16/21,03/12/21,21.72%,20.12%
XLB|20210416|78.00C,XLB,78.00,+0.88%,2.15,2.28,2.40,2.29,-0.09,-3.78%,127,"1,630",0.08,20.76%,Call,34,04/16/21,03/12/21,21.72%,20.12%
XLB|20210416|79.00C,XLB,79.00,-0.39%,1.72,1.86,2.00,1.78,0.01,+0.56%,196,"3,259",0.06,20.61%,Call,34,04/16/21,03/12/21,21.72%,20.12%
XLB|20210416|80.00C,XLB,80.00,-1.66%,1.34,1.42,1.50,1.32,0.02,+1.54%,74,"2,811",0.03,21.22%,Call,34,04/16/21,03/12/21,21.72%,20.12%
XLB|20210416|81.00C,XLB,81.00,-2.94%,0.75,0.90,1.05,0.92,-0.16,-14.81%,1,55,0.02,19.41%,Call,34,04/16/21,03/12/21,21.72%,20.12%
XLB|20210416|82.00C,XLB,82.00,-4.21%,0.40,0.67,0.93,0.70,-0.02,-2.78%,56,200,0.28,19.94%,Call,34,04/16/21,03/12/21,21.72%,20.12%
XLB|20210416|83.00C,XLB,83.00,-5.48%,0.42,0.52,0.62,0.48,-0.05,-9.43%,1,11,0.09,19.70%,Call,34,04/16/21,03/12/21,21.72%,20.12%
XLB|20210416|84.00C,XLB,84.00,-6.75%,0.27,0.36,0.45,0.39,0.39,unch,2,2,1.00,20.25%,Call,34,04/16/21,03/11/21,21.72%,20.12%
XLB|20210416|85.00C,XLB,85.00,-8.02%,0.18,0.26,0.33,0.21,0.03,+16.67%,10,27,0.37,20.47%,Call,34,04/16/21,03/11/21,21.72%,20.12%
XLB|20210416|86.00C,XLB,86.00,-9.29%,0.11,0.19,0.27,0.00,0.00,unch,0,0,0.00,20.99%,Call,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|87.00C,XLB,87.00,-10.56%,0.02,0.17,0.31,0.00,0.00,unch,0,0,0.00,22.24%,Call,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|88.00C,XLB,88.00,-11.83%,0.02,0.11,0.20,0.02,0.02,unch,2,2,1.00,22.17%,Call,34,04/16/21,03/09/21,21.72%,20.12%
XLB|20210416|89.00C,XLB,89.00,-13.10%,0.01,0.14,0.26,0.00,0.00,unch,0,0,0.00,24.90%,Call,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|90.00C,XLB,90.00,-14.37%,0.01,0.10,0.19,0.00,0.00,unch,0,0,0.00,25.14%,Call,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|45.00P,XLB,45.00,-42.81%,0.00,0.07,0.14,0.00,0.00,unch,0,0,0.00,0.00%,Put,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|50.00P,XLB,50.00,-36.46%,0.00,0.25,0.49,0.00,0.00,unch,0,0,0.00,0.00%,Put,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|55.00P,XLB,55.00,-30.11%,0.01,0.25,0.48,0.00,0.00,unch,0,0,0.00,0.00%,Put,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|56.00P,XLB,56.00,-28.83%,0.01,0.27,0.53,0.00,0.00,unch,0,0,0.00,0.00%,Put,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|57.00P,XLB,57.00,-27.56%,0.01,0.09,0.16,0.05,-0.05,-50.00%,10,10,1.00,0.00%,Put,34,04/16/21,02/25/21,21.72%,20.12%
XLB|20210416|58.00P,XLB,58.00,-26.29%,0.02,0.17,0.32,0.00,0.00,unch,0,0,0.00,0.00%,Put,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|59.00P,XLB,59.00,-25.02%,0.01,0.18,0.34,0.15,0.15,unch,1,1,1.00,0.00%,Put,34,04/16/21,02/19/21,21.72%,20.12%
XLB|20210416|60.00P,XLB,60.00,-23.75%,0.03,0.12,0.21,0.00,0.00,unch,0,1,0.00,0.00%,Put,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|61.00P,XLB,61.00,-22.48%,0.01,0.12,0.22,0.00,0.00,unch,0,0,0.00,0.00%,Put,34,04/16/21,N/A,21.72%,20.12%
XLB|20210416|62.00P,XLB,62.00,-21.21%,0.02,0.12,0.22,0.12,0.12,unch,1,1,1.00,0.00%,Put,34,04/16/21,03/08/21,21.72%,20.12%
XLB|20210416|63.00P,XLB,63.00,-19.94%,0.01,0.11,0.21,0.11,0.06,+120.00%,1,2,0.50,39.41%,Put,34,04/16/21,03/11/21,21.72%,20.12%
XLB|20210416|64.00P,XLB,64.00,-18.67%,0.02,0.13,0.23,0.57,0.05,+9.62%,1,3,0.33,37.91%,Put,34,04/16/21,03/04/21,21.72%,20.12%
XLB|20210416|65.00P,XLB,65.00,-17.40%,0.02,0.10,0.18,0.13,-0.51,-79.69%,1,36,0.03,34.09%,Put,34,04/16/21,03/10/21,21.72%,20.12%
XLB|20210416|66.00P,XLB,66.00,-16.13%,0.07,0.20,0.32,0.34,-0.31,-47.69%,2,4,0.50,36.23%,Put,34,04/16/21,03/08/21,21.72%,20.12%
XLB|20210416|67.00P,XLB,67.00,-14.86%,0.10,0.21,0.31,0.18,-0.52,-74.29%,14,10,1.40,34.07%,Put,34,04/16/21,03/10/21,21.72%,20.12%
