Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
35.00,+52.05%,35.50,38.00,40.50,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
40.00,+45.21%,30.50,33.00,35.50,26.35,-0.42,-1.57%,1,1,1.00,0.00%,Call,01/19/21
45.00,+38.36%,25.50,28.00,30.50,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
50.00,+31.51%,20.50,23.00,25.50,15.64,0.27,+1.76%,5,5,1.00,0.00%,Call,01/13/21
53.00,+27.40%,17.50,20.00,22.50,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
54.00,+26.03%,16.50,19.00,21.50,11.56,-1.24,-9.69%,4,2,2.00,0.00%,Call,01/15/21
55.00,+24.66%,15.50,18.00,20.50,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
56.00,+23.29%,14.50,17.00,19.50,9.80,9.80,unch,3,3,1.00,0.00%,Call,01/14/21
57.00,+21.92%,13.50,16.00,18.50,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
58.00,+20.55%,12.50,15.00,17.50,9.30,9.30,unch,8,8,1.00,0.00%,Call,12/18/20
59.00,+19.18%,11.50,14.00,16.50,9.90,2.70,+37.50%,1,5,0.20,0.00%,Call,01/22/21
59.50,+18.49%,11.00,13.50,16.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
60.00,+17.81%,10.50,13.00,15.50,10.20,0.25,+2.51%,6,16,0.38,0.00%,Call,02/04/21
60.50,+17.12%,10.00,12.50,15.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
61.00,+16.44%,9.50,12.00,14.50,6.50,-0.40,-5.80%,2,2,1.00,0.00%,Call,01/29/21
61.50,+15.75%,9.00,11.50,14.00,7.70,0.70,+10.00%,2,2,1.00,0.00%,Call,01/21/21
62.00,+15.07%,8.50,11.00,13.50,8.28,-0.22,-2.59%,1,5,0.20,0.00%,Call,02/04/21
62.50,+14.38%,8.00,10.50,13.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
63.00,+13.70%,8.20,10.60,13.00,9.70,3.40,+53.97%,3,58,0.05,198.67%,Call,02/12/21
63.50,+13.01%,7.00,9.50,12.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
64.00,+12.33%,6.50,9.00,11.50,4.28,0.28,+7.00%,1,42,0.02,0.00%,Call,02/01/21
64.50,+11.64%,6.00,8.50,11.00,4.57,1.27,+38.48%,1,3,0.33,0.00%,Call,01/20/21
65.00,+10.96%,7.10,9.05,11.00,7.80,0.21,+2.77%,60,110,0.55,176.27%,Call,02/12/21
65.50,+10.27%,5.00,7.50,10.00,4.63,2.68,+137.44%,1,1,1.00,0.00%,Call,01/28/21
66.00,+9.59%,4.60,7.05,9.50,6.30,0.78,+14.13%,10,89,0.11,43.51%,Call,02/09/21
66.50,+8.90%,4.60,7.05,9.50,6.39,2.79,+77.50%,1,97,0.01,159.37%,Call,02/12/21
67.00,+8.22%,3.50,5.75,8.00,5.84,0.39,+7.16%,1,139,0.01,122.08%,Call,02/12/21
67.50,+7.53%,3.50,6.00,8.50,3.90,0.76,+24.20%,5,34,0.15,63.21%,Call,02/05/21
68.00,+6.85%,3.20,5.60,8.00,3.55,1.10,+44.90%,1,210,0.00,63.42%,Call,02/05/21
68.50,+6.16%,2.10,4.55,7.00,4.00,1.18,+41.84%,1,17,0.06,29.87%,Call,02/10/21
69.00,+5.48%,2.10,4.55,7.00,3.78,0.67,+21.54%,8,110,0.07,53.17%,Call,02/10/21
69.50,+4.79%,1.10,3.55,6.00,3.01,-0.30,-9.06%,1,9,0.11,24.29%,Call,02/11/21
70.00,+4.11%,0.50,3.00,5.50,2.90,0.90,+45.00%,20,237,0.08,104.49%,Call,02/12/21
70.50,+3.42%,2.10,2.75,3.40,2.59,0.44,+20.47%,1,13,0.08,21.34%,Call,02/12/21
71.00,+2.74%,1.65,3.33,5.00,1.72,-0.26,-13.13%,3,28,0.11,59.34%,Call,02/11/21
71.50,+2.05%,1.30,2.50,3.70,1.65,0.48,+41.03%,3,6,0.50,44.55%,Call,02/10/21
72.00,+1.37%,0.95,2.98,5.00,1.30,0.35,+36.84%,6,425,0.01,18.67%,Call,02/12/21
72.50,+0.68%,0.60,1.35,2.10,0.86,-0.09,-9.47%,13,26,0.50,15.58%,Call,02/12/21
73.00,unch,0.40,0.58,0.75,0.58,0.08,+16.00%,5,226,0.02,15.61%,Call,02/12/21
73.50,-0.68%,0.20,2.60,5.00,0.30,0.05,+20.00%,1,5,0.20,75.99%,Call,02/10/21
74.00,-1.37%,0.10,2.55,5.00,0.30,0.05,+20.00%,3,6,0.50,18.34%,Call,02/12/21
75.00,-2.74%,0.05,2.53,5.00,0.05,0.04,+400.00%,1,8,0.13,14.92%,Call,02/12/21
76.00,-4.11%,0.05,1.30,2.55,0.05,-0.05,-50.00%,1,5,0.20,0.00%,Call,02/11/21
