Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
35.00,+51.10%,34.00,36.50,39.00,0.00,0.00,unch,0,0,0.00,527.69%,Call,N/A
40.00,+44.11%,29.00,31.50,34.00,0.00,0.00,unch,0,0,0.00,448.09%,Call,N/A
45.00,+37.12%,24.00,26.50,29.00,0.00,0.00,unch,0,0,0.00,377.82%,Call,N/A
50.00,+30.14%,19.00,21.50,24.00,0.00,0.00,unch,0,0,0.00,314.29%,Call,N/A
55.00,+23.15%,14.00,16.50,19.00,0.00,0.00,unch,0,0,0.00,255.52%,Call,N/A
60.00,+16.17%,9.00,11.50,14.00,0.00,0.00,unch,0,0,0.00,199.79%,Call,N/A
62.00,+13.37%,7.00,9.50,12.00,0.00,0.00,unch,0,0,0.00,177.92%,Call,N/A
62.50,+12.67%,6.50,9.00,11.50,0.00,0.00,unch,0,0,0.00,172.46%,Call,N/A
63.00,+11.97%,6.00,8.50,11.00,0.00,0.00,unch,0,0,0.00,166.99%,Call,N/A
63.50,+11.28%,5.50,8.00,10.50,0.00,0.00,unch,0,0,0.00,161.53%,Call,N/A
64.00,+10.58%,5.00,7.50,10.00,0.00,0.00,unch,0,0,0.00,156.05%,Call,N/A
64.50,+9.88%,4.50,7.00,9.50,6.19,6.19,unch,2,2,1.00,150.55%,Call,01/26/21
65.00,+9.18%,4.00,6.50,9.00,5.60,5.60,unch,22,22,1.00,145.04%,Call,02/04/21
65.50,+8.48%,3.50,6.00,8.50,0.00,0.00,unch,0,0,0.00,139.50%,Call,N/A
66.00,+7.78%,3.00,5.50,8.00,5.10,1.30,+34.21%,3,3,1.00,133.94%,Call,02/03/21
66.50,+7.08%,3.00,5.50,8.00,0.00,0.00,unch,0,0,0.00,57.89%,Call,N/A
67.00,+6.39%,2.50,5.00,7.50,3.40,0.20,+6.25%,1,1,1.00,53.93%,Call,02/02/21
67.50,+5.69%,2.00,4.50,7.00,0.00,0.00,unch,0,0,0.00,49.92%,Call,N/A
68.00,+4.99%,1.50,4.00,6.50,3.78,0.72,+23.53%,1,4,0.25,45.85%,Call,02/05/21
68.50,+4.29%,0.50,3.00,5.50,4.78,2.71,+130.92%,1,4,0.25,105.39%,Call,02/12/21
69.00,+3.59%,0.50,3.00,5.50,3.60,0.80,+28.57%,1,1,1.00,37.48%,Call,02/23/21
69.50,+2.89%,0.05,2.53,5.00,2.10,-0.35,-14.29%,1,2,0.50,33.99%,Call,01/27/21
70.00,+2.19%,0.25,2.63,5.00,2.95,-0.55,-15.71%,1,35,0.03,47.84%,Call,02/24/21
70.50,+1.50%,1.10,3.05,5.00,2.85,0.75,+35.71%,1,6,0.17,68.33%,Call,02/11/21
71.00,+0.80%,0.25,2.63,5.00,2.15,0.54,+33.54%,7,29,0.24,63.98%,Call,02/24/21
71.50,+0.10%,0.50,2.75,5.00,1.95,0.52,+36.36%,1,2,0.50,74.31%,Call,02/19/21
72.00,-0.60%,0.10,2.55,5.00,1.30,-0.40,-23.53%,1,815,0.00,75.27%,Call,02/25/21
72.50,-1.30%,0.20,1.25,2.30,0.81,-0.29,-26.36%,3,88,0.03,33.15%,Call,02/26/21
73.00,-2.00%,0.05,2.53,5.00,1.12,0.47,+72.31%,10,813,0.01,47.20%,Call,02/26/21
73.50,-2.70%,0.05,2.53,5.00,0.50,-0.07,-12.28%,10,15,0.67,33.26%,Call,02/26/21
74.00,-3.40%,0.10,0.18,0.25,0.50,-0.05,-9.09%,17,15,1.13,24.84%,Call,02/26/21
74.50,-4.09%,0.05,2.53,5.00,0.33,-0.14,-29.79%,12,13,0.92,34.94%,Call,02/26/21
75.00,-4.79%,0.10,2.55,5.00,0.37,0.17,+85.00%,1,6,0.17,0.00%,Call,01/27/21
76.00,-6.19%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
76.50,-6.89%,0.10,2.55,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
77.00,-7.59%,0.00,2.50,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
78.00,-8.98%,0.00,2.50,5.00,0.04,0.04,unch,30,0,0.00,35.75%,Call,02/26/21
78.50,-9.68%,0.00,2.50,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
79.00,-10.38%,0.00,2.50,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
80.00,-11.78%,0.00,2.50,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
85.00,-18.76%,0.00,2.50,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
35.00,-51.10%,0.00,2.50,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
40.00,-44.11%,0.00,2.50,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
45.00,-37.12%,0.00,2.50,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
50.00,-30.14%,0.00,2.50,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
55.00,-23.15%,0.25,2.63,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
60.00,-16.17%,0.10,2.55,5.00,0.15,0.15,unch,7,7,1.00,0.00%,Put,02/12/21
62.00,-13.37%,0.15,1.20,2.25,0.82,0.22,+36.67%,2,3,0.67,0.00%,Put,01/27/21
62.50,-12.67%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
63.00,-11.97%,0.10,2.55,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
63.50,-11.28%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
64.00,-10.58%,0.05,2.53,5.00,0.16,0.07,+77.78%,1,3,0.33,0.00%,Put,02/17/21
64.50,-9.88%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
65.00,-9.18%,0.05,2.53,5.00,1.20,0.08,+7.14%,14,15,0.93,0.00%,Put,01/28/21
65.50,-8.48%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
66.00,-7.78%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
66.50,-7.08%,0.05,2.53,5.00,1.55,0.15,+10.71%,1,1,1.00,0.00%,Put,02/01/21
67.00,-6.39%,0.05,2.53,5.00,0.45,0.00,unch,40,41,0.98,0.00%,Put,02/10/21
67.50,-5.69%,0.05,2.53,5.00,0.38,-2.12,-84.80%,1,7,0.14,119.69%,Put,02/10/21
68.00,-4.99%,0.10,2.55,5.00,0.20,-0.25,-55.56%,30,10,3.00,35.05%,Put,02/26/21
68.50,-4.29%,0.05,0.23,0.40,0.60,0.60,unch,1,1,1.00,32.70%,Put,02/08/21
69.00,-3.59%,0.15,2.58,5.00,0.35,-0.20,-36.36%,2,9,0.22,103.49%,Put,02/22/21
69.50,-2.89%,0.05,2.53,5.00,2.72,2.72,unch,1,1,1.00,95.96%,Put,01/27/21
70.00,-2.19%,0.25,1.13,2.00,0.55,-0.10,-15.38%,2,6,0.33,49.72%,Put,02/18/21
70.50,-1.50%,0.10,2.55,5.00,0.60,-0.15,-20.00%,11,1,11.00,28.82%,Put,02/26/21
71.00,-0.80%,0.10,2.55,5.00,1.30,1.30,unch,1,1,1.00,42.95%,Put,02/26/21
71.50,-0.10%,0.05,2.53,5.00,1.15,-0.20,-14.81%,2,5,0.40,32.29%,Put,02/26/21
72.00,+0.60%,0.10,2.55,5.00,1.14,-0.42,-26.92%,1,21,0.05,24.65%,Put,02/26/21
72.50,+1.30%,0.15,2.58,5.00,1.10,0.05,+4.76%,23,11,2.09,13.51%,Put,02/26/21
73.00,+2.00%,0.10,2.55,5.00,1.30,0.15,+13.04%,18,12,1.50,114.88%,Put,02/26/21
73.50,+2.70%,1.55,3.28,5.00,0.00,0.00,unch,0,0,0.00,58.53%,Put,N/A
74.00,+3.40%,0.50,3.00,5.50,0.00,0.00,unch,0,0,0.00,39.55%,Put,N/A
74.50,+4.09%,0.60,3.05,5.50,0.00,0.00,unch,0,0,0.00,24.77%,Put,N/A
75.00,+4.79%,1.00,3.50,6.00,0.00,0.00,unch,0,0,0.00,24.07%,Put,N/A
76.00,+6.19%,2.00,4.50,7.00,0.00,0.00,unch,0,0,0.00,29.22%,Put,N/A
76.50,+6.89%,2.60,5.05,7.50,0.00,0.00,unch,0,0,0.00,36.01%,Put,N/A
77.00,+7.59%,3.00,5.50,8.00,0.00,0.00,unch,0,0,0.00,34.13%,Put,N/A
78.00,+8.98%,4.00,6.50,9.00,0.00,0.00,unch,0,0,0.00,38.85%,Put,N/A
78.50,+9.68%,4.50,7.00,9.50,0.00,0.00,unch,0,0,0.00,41.15%,Put,N/A
79.00,+10.38%,5.00,7.50,10.00,0.00,0.00,unch,0,0,0.00,43.41%,Put,N/A
80.00,+11.78%,6.00,8.50,11.00,0.00,0.00,unch,0,0,0.00,47.83%,Put,N/A
85.00,+18.76%,11.00,13.50,16.00,0.00,0.00,unch,0,0,0.00,68.26%,Put,N/A
"Downloaded from Barchart.com as of 03-01-2021 08:09am CST"
