Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLC|20210312|35.00C,XLC,35.00,+51.96%,35.50,38.00,40.50,0.00,0.00,unch,0,0,0.00,219.66%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|40.00C,XLC,40.00,+45.10%,30.50,33.00,35.50,0.00,0.00,unch,0,0,0.00,183.39%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|45.00C,XLC,45.00,+38.24%,25.50,28.00,30.50,0.00,0.00,unch,0,0,0.00,151.19%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|50.00C,XLC,50.00,+31.38%,20.50,23.00,25.50,0.00,0.00,unch,0,0,0.00,122.04%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|55.00C,XLC,55.00,+24.51%,15.50,18.00,20.50,0.00,0.00,unch,0,0,0.00,95.17%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|60.00C,XLC,60.00,+17.65%,10.50,13.00,15.50,0.00,0.00,unch,0,0,0.00,69.92%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|62.00C,XLC,62.00,+14.91%,8.50,11.00,13.50,0.00,0.00,unch,0,0,0.00,60.12%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|62.50C,XLC,62.50,+14.22%,8.00,10.50,13.00,0.00,0.00,unch,0,0,0.00,57.69%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|63.00C,XLC,63.00,+13.53%,7.50,10.00,12.50,0.00,0.00,unch,0,0,0.00,55.26%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|63.50C,XLC,63.50,+12.85%,7.00,9.50,12.00,0.00,0.00,unch,0,0,0.00,52.84%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|64.00C,XLC,64.00,+12.16%,6.50,9.00,11.50,0.00,0.00,unch,0,0,0.00,50.42%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|64.50C,XLC,64.50,+11.47%,6.00,8.50,11.00,0.00,0.00,unch,0,0,0.00,47.99%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|65.00C,XLC,65.00,+10.79%,5.50,8.00,10.50,0.00,0.00,unch,0,0,0.00,45.57%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|65.50C,XLC,65.50,+10.10%,5.00,7.50,10.00,0.00,0.00,unch,0,0,0.00,43.15%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|66.00C,XLC,66.00,+9.42%,5.00,7.45,9.90,0.00,0.00,unch,0,0,0.00,60.70%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|66.50C,XLC,66.50,+8.73%,4.50,6.95,9.40,0.00,0.00,unch,0,0,0.00,57.58%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|67.00C,XLC,67.00,+8.04%,3.50,6.00,8.50,0.00,0.00,unch,0,0,0.00,35.84%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|67.50C,XLC,67.50,+7.36%,3.00,5.50,8.00,0.00,0.00,unch,0,0,0.00,33.38%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|68.00C,XLC,68.00,+6.67%,2.55,5.03,7.50,0.00,0.00,unch,0,0,0.00,32.20%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|68.50C,XLC,68.50,+5.98%,3.40,4.60,5.80,0.00,0.00,unch,0,0,0.00,32.92%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|69.00C,XLC,69.00,+5.30%,2.10,3.80,5.50,0.00,-2.42,-100.00%,0,0,0.00,68.69%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|69.50C,XLC,69.50,+4.61%,2.30,3.50,4.70,0.00,0.00,unch,0,0,0.00,23.34%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|70.00C,XLC,70.00,+3.93%,1.20,3.35,5.50,0.00,0.00,unch,0,0,0.00,32.18%,Call,10,03/12/21,N/A,31.03%
XLC|20210312|70.50C,XLC,70.50,+3.24%,0.65,3.08,5.50,0.00,0.00,unch,0,0,0.00,34.63%,Call,10,03/12/21,N/A,31.03%
