Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLC|20210319|30.00C,XLC,30.00,+58.56%,40.00,42.50,45.00,0.00,0.00,unch,0,0,0.00,251.18%,Call,10,03/19/21,N/A,25.84%
XLC|20210319|35.00C,XLC,35.00,+51.65%,35.00,37.50,40.00,0.00,0.00,unch,0,5,0.00,210.61%,Call,10,03/19/21,N/A,25.84%
XLC|20210319|40.00C,XLC,40.00,+44.74%,30.00,32.50,35.00,33.22,6.82,+25.83%,1,1,1.00,175.39%,Call,10,03/19/21,02/19/21,25.84%
XLC|20210319|43.00C,XLC,43.00,+40.60%,27.00,29.50,32.00,0.00,0.00,unch,0,0,0.00,156.21%,Call,10,03/19/21,N/A,25.84%
XLC|20210319|44.00C,XLC,44.00,+39.22%,26.00,28.50,31.00,0.00,0.00,unch,0,0,0.00,150.10%,Call,10,03/19/21,N/A,25.84%
XLC|20210319|45.00C,XLC,45.00,+37.84%,25.00,27.50,30.00,0.00,0.00,unch,0,0,0.00,144.10%,Call,10,03/19/21,N/A,25.84%
XLC|20210319|46.00C,XLC,46.00,+36.46%,24.00,26.50,29.00,0.00,0.00,unch,0,0,0.00,138.23%,Call,10,03/19/21,N/A,25.84%
XLC|20210319|47.00C,XLC,47.00,+35.07%,23.00,25.50,28.00,0.00,0.00,unch,0,0,0.00,132.46%,Call,10,03/19/21,N/A,25.84%
XLC|20210319|48.00C,XLC,48.00,+33.69%,22.00,24.50,27.00,14.02,-0.45,-3.11%,3,3,1.00,126.80%,Call,10,03/19/21,10/21/20,25.84%
XLC|20210319|49.00C,XLC,49.00,+32.31%,21.00,23.50,26.00,0.00,0.00,unch,0,0,0.00,121.24%,Call,10,03/19/21,N/A,25.84%
XLC|20210319|50.00C,XLC,50.00,+30.93%,20.00,22.50,25.00,22.80,-0.40,-1.72%,1,18,0.06,115.78%,Call,10,03/19/21,02/22/21,25.84%
XLC|20210319|51.00C,XLC,51.00,+29.55%,19.00,21.50,24.00,20.80,11.20,+116.67%,1,1,1.00,110.40%,Call,10,03/19/21,02/09/21,25.84%
XLC|20210319|52.00C,XLC,52.00,+28.17%,18.00,20.50,23.00,15.27,1.13,+7.99%,3,3,1.00,105.10%,Call,10,03/19/21,12/01/20,25.84%
XLC|20210319|53.00C,XLC,53.00,+26.79%,17.00,19.50,22.00,17.30,2.40,+16.11%,2,18,0.11,99.89%,Call,10,03/19/21,02/04/21,25.84%
XLC|20210319|54.00C,XLC,54.00,+25.40%,16.00,18.50,21.00,14.00,1.02,+7.86%,1,3,0.33,94.74%,Call,10,03/19/21,12/31/20,25.84%
XLC|20210319|55.00C,XLC,55.00,+24.02%,15.00,17.50,20.00,14.00,2.01,+16.76%,1,15,0.07,89.67%,Call,10,03/19/21,01/20/21,25.84%
XLC|20210319|56.00C,XLC,56.00,+22.64%,14.00,16.50,19.00,16.83,4.90,+41.07%,3,21,0.14,84.65%,Call,10,03/19/21,02/12/21,25.84%
XLC|20210319|57.00C,XLC,57.00,+21.26%,13.00,15.50,18.00,15.50,-0.10,-0.64%,1,13,0.08,79.70%,Call,10,03/19/21,03/01/21,25.84%
XLC|20210319|58.00C,XLC,58.00,+19.88%,12.00,14.50,17.00,14.40,4.22,+41.45%,2,346,0.01,74.80%,Call,10,03/19/21,02/09/21,25.84%
XLC|20210319|59.00C,XLC,59.00,+18.50%,11.00,13.50,16.00,13.60,0.80,+6.25%,1,25,0.04,69.94%,Call,10,03/19/21,02/10/21,25.84%
XLC|20210319|60.00C,XLC,60.00,+17.12%,10.00,12.50,15.00,12.75,0.35,+2.82%,3,661,0.00,65.13%,Call,10,03/19/21,03/01/21,25.84%
XLC|20210319|61.00C,XLC,61.00,+15.73%,9.00,11.50,14.00,9.44,2.44,+34.86%,2,109,0.02,60.35%,Call,10,03/19/21,01/26/21,25.84%
XLC|20210319|62.00C,XLC,62.00,+14.35%,8.00,10.50,13.00,8.70,-1.21,-12.21%,1,123,0.01,55.60%,Call,10,03/19/21,03/04/21,25.84%
XLC|20210319|63.00C,XLC,63.00,+12.97%,7.00,9.50,12.00,9.70,-0.90,-8.49%,1,142,0.01,50.87%,Call,10,03/19/21,03/04/21,25.84%
XLC|20210319|64.00C,XLC,64.00,+11.59%,6.00,8.50,11.00,8.98,1.28,+16.62%,3,90,0.03,46.16%,Call,10,03/19/21,02/12/21,25.84%
XLC|20210319|65.00C,XLC,65.00,+10.21%,5.00,7.50,10.00,7.30,0.02,+0.27%,2,563,0.00,41.44%,Call,10,03/19/21,03/05/21,25.84%
XLC|20210319|66.00C,XLC,66.00,+8.83%,4.00,6.50,9.00,7.87,0.37,+4.93%,1,198,0.01,36.71%,Call,10,03/19/21,03/02/21,25.84%
XLC|20210319|67.00C,XLC,67.00,+7.45%,3.50,5.55,7.60,6.74,0.29,+4.50%,2,568,0.00,34.86%,Call,10,03/19/21,03/01/21,25.84%
XLC|20210319|67.50C,XLC,67.50,+6.76%,3.00,4.85,6.70,0.00,0.00,unch,0,0,0.00,81.67%,Call,10,03/19/21,N/A,25.84%
XLC|20210319|68.00C,XLC,68.00,+6.06%,4.20,4.90,5.60,4.75,-0.30,-5.94%,1,247,0.00,42.89%,Call,10,03/19/21,03/03/21,25.84%
XLC|20210319|68.50C,XLC,68.50,+5.37%,2.00,4.50,7.00,0.00,0.00,unch,0,0,0.00,42.68%,Call,10,03/19/21,N/A,25.84%
XLC|20210319|69.00C,XLC,69.00,+4.68%,2.90,3.95,5.00,4.05,0.05,+1.25%,3,53,0.06,37.91%,Call,10,03/19/21,02/26/21,25.84%
XLC|20210319|69.50C,XLC,69.50,+3.99%,1.00,3.50,6.00,0.00,0.00,unch,0,0,0.00,35.90%,Call,10,03/19/21,N/A,25.84%
XLC|20210319|70.00C,XLC,70.00,+3.30%,2.05,3.28,4.50,3.82,-0.18,-4.50%,2,143,0.01,52.09%,Call,10,03/19/21,03/08/21,25.84%
XLC|20210319|70.50C,XLC,70.50,+2.61%,0.50,2.25,4.00,2.32,-0.60,-20.55%,1,1,1.00,22.32%,Call,10,03/19/21,03/04/21,25.84%
XLC|20210319|71.00C,XLC,71.00,+1.92%,1.90,2.40,2.90,2.82,-0.28,-9.03%,2,"10,316",0.00,43.45%,Call,10,03/19/21,03/08/21,25.84%
XLC|20210319|71.50C,XLC,71.50,+1.23%,1.35,2.18,3.00,2.15,-0.85,-28.33%,1,1,1.00,35.23%,Call,10,03/19/21,03/08/21,25.84%
XLC|20210319|72.00C,XLC,72.00,+0.54%,0.45,1.53,2.60,1.95,0.36,+22.64%,4,38,0.11,27.82%,Call,10,03/19/21,03/05/21,25.84%
XLC|20210319|72.50C,XLC,72.50,-0.15%,0.60,1.95,3.30,1.22,0.07,+6.09%,3,555,0.01,42.02%,Call,10,03/19/21,03/05/21,25.84%
XLC|20210319|73.00C,XLC,73.00,-0.84%,0.40,1.43,2.45,1.38,0.28,+25.45%,28,27,1.04,34.83%,Call,10,03/19/21,03/08/21,25.84%
XLC|20210319|73.50C,XLC,73.50,-1.53%,0.20,1.23,2.25,1.52,0.04,+2.70%,1,15,0.07,42.18%,Call,10,03/19/21,03/08/21,25.84%
XLC|20210319|74.00C,XLC,74.00,-2.22%,0.35,0.95,1.55,0.93,-0.24,-20.51%,34,130,0.26,33.36%,Call,10,03/19/21,03/08/21,25.84%
XLC|20210319|74.50C,XLC,74.50,-2.91%,0.10,0.83,1.55,0.00,0.00,unch,0,0,0.00,34.57%,Call,10,03/19/21,N/A,25.84%
XLC|20210319|75.00C,XLC,75.00,-3.61%,0.25,0.58,0.90,0.60,-0.11,-15.49%,38,"1,003",0.04,32.38%,Call,10,03/19/21,03/08/21,25.84%
XLC|20210319|75.50C,XLC,75.50,-4.30%,0.10,0.68,1.25,0.47,-0.05,-9.62%,11,22,0.50,37.42%,Call,10,03/19/21,03/02/21,25.84%
XLC|20210319|76.00C,XLC,76.00,-4.99%,0.05,0.55,1.05,0.50,0.09,+21.95%,50,78,0.64,35.61%,Call,10,03/19/21,03/08/21,25.84%
XLC|20210319|76.50C,XLC,76.50,-5.68%,0.05,0.45,0.85,0.22,0.02,+10.00%,2,6,0.33,36.87%,Call,10,03/19/21,03/05/21,25.84%
