Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLC|20210409|67.00C,XLC,67.00,+6.71%,4.70,5.60,6.50,0.00,0.00,unch,0,0,0.00,28.57%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|67.50C,XLC,67.50,+6.02%,4.40,5.25,6.10,0.00,0.00,unch,0,0,0.00,28.92%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|68.00C,XLC,68.00,+5.32%,2.45,4.08,5.70,0.00,0.00,unch,0,0,0.00,16.49%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|68.50C,XLC,68.50,+4.62%,1.65,3.47,5.30,0.00,0.00,unch,0,0,0.00,12.99%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|69.00C,XLC,69.00,+3.93%,3.40,4.15,4.90,0.00,0.00,unch,0,0,0.00,28.17%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|69.50C,XLC,69.50,+3.23%,3.10,3.85,4.60,0.00,0.00,unch,0,0,0.00,28.40%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|70.00C,XLC,70.00,+2.53%,2.60,3.50,4.40,0.00,0.00,unch,0,0,0.00,27.87%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|70.50C,XLC,70.50,+1.84%,0.50,2.35,4.20,0.00,0.00,unch,0,0,0.00,18.03%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|71.00C,XLC,71.00,+1.14%,2.15,2.93,3.70,3.10,0.25,+8.77%,3,1,3.00,29.69%,Call,37,04/09/21,03/03/21,25.86%
XLC|20210409|71.50C,XLC,71.50,+0.45%,1.75,2.48,3.20,2.45,-0.20,-7.55%,1,6,0.17,25.35%,Call,37,04/09/21,03/03/21,25.86%
XLC|20210409|72.00C,XLC,72.00,-0.25%,1.50,3.40,5.30,2.30,-0.05,-2.13%,2,1,2.00,26.37%,Call,37,04/09/21,03/03/21,25.86%
XLC|20210409|72.50C,XLC,72.50,-0.95%,0.25,1.40,2.55,0.00,0.00,unch,0,0,0.00,18.94%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|73.00C,XLC,73.00,-1.64%,0.25,2.63,5.00,0.00,0.00,unch,0,0,0.00,34.79%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|73.50C,XLC,73.50,-2.34%,0.10,2.55,5.00,0.00,0.00,unch,0,0,0.00,36.21%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|74.00C,XLC,74.00,-3.04%,0.10,2.55,5.00,0.00,0.00,unch,0,0,0.00,38.37%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|74.50C,XLC,74.50,-3.73%,0.60,1.18,1.75,0.00,0.00,unch,0,0,0.00,24.57%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|75.00C,XLC,75.00,-4.43%,0.55,0.88,1.20,0.00,0.00,unch,0,0,0.00,22.58%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|75.50C,XLC,75.50,-5.12%,0.45,0.75,1.05,0.00,0.00,unch,0,0,0.00,22.55%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|76.00C,XLC,76.00,-5.82%,0.20,0.55,0.90,0.00,0.00,unch,0,0,0.00,21.17%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|76.50C,XLC,76.50,-6.52%,0.20,0.58,0.95,0.00,0.00,unch,0,0,0.00,22.99%,Call,37,04/09/21,N/A,25.86%
XLC|20210409|67.00P,XLC,67.00,-6.71%,0.75,1.18,1.60,0.00,0.00,unch,0,0,0.00,33.76%,Put,37,04/09/21,N/A,25.86%
