Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
15.00,+66.42%,27.00,28.78,30.55,29.85,3.00,+11.17%,10,47,0.21,649.43%,Call,01/14/21
16.00,+64.18%,26.00,27.78,29.55,27.35,27.35,unch,1,6,0.17,614.65%,Call,01/13/21
17.00,+61.94%,25.00,26.80,28.60,24.00,2.85,+13.48%,10,18,0.56,590.92%,Call,01/06/21
18.00,+59.70%,24.00,25.80,27.60,20.15,2.15,+11.94%,1,24,0.04,560.11%,Call,12/28/20
19.00,+57.47%,23.00,24.78,26.55,24.35,24.35,unch,10,10,1.00,523.21%,Call,01/12/21
20.00,+55.23%,22.00,24.10,26.20,23.10,5.00,+27.62%,7,108,0.06,584.91%,Call,01/13/21
21.00,+52.99%,21.00,22.85,24.70,17.20,2.65,+18.21%,1,1,1.00,491.76%,Call,11/23/20
22.00,+50.75%,20.00,21.80,23.60,21.80,5.60,+34.57%,12,28,0.43,453.02%,Call,01/14/21
23.00,+48.51%,19.00,20.80,22.60,21.55,4.45,+26.02%,7,16,0.44,429.42%,Call,01/14/21
24.00,+46.27%,18.00,19.78,21.55,19.40,4.65,+31.53%,20,20,1.00,400.48%,Call,01/12/21
25.00,+44.03%,17.00,19.05,21.10,15.63,-1.52,-8.86%,2,8,0.25,440.55%,Call,01/28/21
26.00,+41.80%,16.00,17.78,19.55,15.30,-2.40,-13.56%,2,3,0.67,358.47%,Call,01/26/21
27.00,+39.56%,15.00,16.78,18.55,15.70,1.90,+13.77%,2,55,0.04,338.60%,Call,02/05/21
28.00,+37.32%,14.00,15.78,17.55,15.67,-0.63,-3.87%,1,6,0.17,319.39%,Call,02/11/21
29.00,+35.08%,13.00,14.80,16.60,15.38,0.58,+3.92%,1,8,0.13,305.91%,Call,02/08/21
30.00,+32.84%,12.00,13.78,15.55,14.46,0.85,+6.25%,6,143,0.04,282.71%,Call,02/12/21
31.00,+30.60%,11.00,12.85,14.70,8.91,-0.14,-1.55%,203,152,1.34,278.97%,Call,02/01/21
32.00,+28.36%,12.00,12.78,13.55,10.55,0.88,+9.10%,1,573,0.00,150.93%,Call,02/05/21
33.00,+26.12%,9.00,10.78,12.55,10.65,-0.90,-7.79%,1,692,0.00,231.19%,Call,02/11/21
34.00,+23.89%,10.30,10.65,11.00,10.20,0.54,+5.59%,18,430,0.04,161.60%,Call,02/12/21
35.00,+21.65%,8.35,9.45,10.55,9.47,0.72,+8.23%,1,"1,826",0.00,198.60%,Call,02/12/21
36.00,+19.41%,6.00,7.48,8.95,8.28,-0.19,-2.24%,2,"1,178",0.00,129.52%,Call,02/12/21
36.50,+18.29%,5.50,7.30,9.10,0.00,0.00,unch,0,0,0.00,178.42%,Call,N/A
37.00,+17.17%,7.45,8.23,9.00,7.50,0.80,+11.94%,4,"6,067",0.00,197.15%,Call,02/12/21
37.50,+16.05%,4.65,6.60,8.55,6.15,-0.60,-8.89%,4,34,0.12,191.69%,Call,02/11/21
38.00,+14.93%,5.10,6.50,7.90,6.47,0.83,+14.72%,9,"5,285",0.00,173.89%,Call,02/12/21
38.50,+13.81%,3.65,5.60,7.55,6.05,2.35,+63.51%,5,106,0.05,174.48%,Call,02/10/21
39.00,+12.69%,5.45,5.90,6.35,5.47,0.86,+18.66%,49,"1,477",0.03,122.59%,Call,02/12/21
39.50,+11.57%,2.50,4.63,6.75,4.92,0.65,+15.22%,3,378,0.01,168.40%,Call,02/12/21
40.00,+10.45%,4.20,4.60,5.00,4.65,0.82,+21.41%,413,"16,655",0.02,83.33%,Call,02/12/21
40.50,+9.34%,3.95,4.93,5.90,4.12,0.82,+24.85%,4,"1,486",0.00,158.40%,Call,02/12/21
41.00,+8.22%,3.45,3.73,4.00,3.75,0.68,+22.15%,46,"9,528",0.00,48.35%,Call,02/12/21
41.50,+7.10%,3.10,3.40,3.70,3.21,0.46,+16.73%,41,"2,587",0.02,37.93%,Call,02/12/21
42.00,+5.98%,2.56,2.78,3.00,2.78,0.45,+19.31%,277,"9,332",0.03,40.67%,Call,02/12/21
42.50,+4.86%,2.14,2.39,2.64,2.31,0.80,+52.98%,311,"11,106",0.03,37.39%,Call,02/12/21
43.00,+3.74%,1.61,1.79,1.96,1.87,0.38,+25.50%,569,"13,547",0.04,35.30%,Call,02/12/21
43.50,+2.62%,1.46,1.51,1.56,1.50,0.44,+41.51%,263,"6,781",0.04,35.63%,Call,02/12/21
44.00,+1.50%,1.05,1.15,1.25,1.15,0.24,+26.37%,"9,036","27,493",0.33,34.78%,Call,02/12/21
44.50,+0.38%,0.78,0.87,0.95,0.85,0.18,+26.87%,"1,212","5,770",0.21,34.12%,Call,02/12/21
45.00,-0.74%,0.56,0.61,0.66,0.65,0.15,+30.00%,"7,829","28,023",0.28,35.66%,Call,02/12/21
45.50,-1.86%,0.39,0.42,0.44,0.41,0.06,+17.14%,"1,476","6,951",0.21,33.17%,Call,02/12/21
46.00,-2.98%,0.24,0.31,0.37,0.27,0.00,unch,"4,636","18,545",0.25,33.04%,Call,02/12/21
46.50,-4.10%,0.19,0.23,0.27,0.20,0.01,+5.26%,97,"5,998",0.02,34.91%,Call,02/12/21
47.00,-5.22%,0.12,0.16,0.20,0.14,0.00,unch,"1,614","23,721",0.07,35.98%,Call,02/12/21
47.50,-6.34%,0.06,0.17,0.27,0.10,0.01,+11.11%,274,"1,925",0.14,37.26%,Call,02/12/21
48.00,-7.45%,0.05,0.08,0.11,0.07,0.01,+16.67%,"4,775","17,139",0.28,38.31%,Call,02/12/21
49.00,-9.69%,0.02,0.03,0.04,0.03,-0.02,-40.00%,55,"8,645",0.01,39.39%,Call,02/12/21
50.00,-11.93%,0.02,0.03,0.03,0.03,0.01,+50.00%,199,"17,554",0.01,46.26%,Call,02/12/21
51.00,-14.17%,0.01,0.03,0.05,0.02,0.01,+100.00%,3,"1,006",0.00,49.63%,Call,02/12/21
52.00,-16.41%,0.01,0.03,0.06,0.02,-0.03,-60.00%,7,"1,583",0.00,60.62%,Call,02/09/21
53.00,-18.65%,0.01,0.03,0.05,0.01,0.00,unch,1,195,0.01,0.00%,Call,02/11/21
54.00,-20.89%,0.01,0.17,0.33,0.01,-0.01,-50.00%,1,529,0.00,0.00%,Call,02/11/21
55.00,-23.13%,0.01,0.02,0.02,0.01,0.00,unch,23,"2,588",0.01,66.55%,Call,02/12/21
56.00,-25.36%,0.01,0.17,0.33,0.02,0.00,unch,1,589,0.00,0.00%,Call,02/09/21
15.00,-66.42%,0.01,0.01,0.01,0.01,0.00,unch,2,539,0.00,0.00%,Put,01/19/21
