Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLE|20210226|30.00C,XLE,30.00,+34.25%,14.20,15.28,16.35,15.49,15.49,unch,2,0,0.00,158.50%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|34.00C,XLE,34.00,+25.49%,9.00,10.70,12.40,11.49,0.99,+9.43%,2,3,0.67,116.64%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|34.50C,XLE,34.50,+24.39%,9.15,10.58,12.00,0.00,0.00,unch,0,0,0.00,213.63%,Call,7,02/26/21,N/A,37.53%
XLE|20210226|35.00C,XLE,35.00,+23.30%,8.95,10.13,11.30,5.75,0.85,+17.35%,16,17,0.94,191.57%,Call,7,02/26/21,02/02/21,37.53%
XLE|20210226|35.50C,XLE,35.50,+22.20%,8.55,9.73,10.90,8.26,8.26,unch,1,1,1.00,191.38%,Call,7,02/26/21,02/11/21,37.53%
XLE|20210226|36.00C,XLE,36.00,+21.10%,7.85,9.13,10.40,6.10,0.19,+3.21%,1,64,0.02,183.95%,Call,7,02/26/21,02/04/21,37.53%
XLE|20210226|36.50C,XLE,36.50,+20.01%,6.95,8.48,10.00,7.96,3.43,+75.72%,2,7,0.29,183.15%,Call,7,02/26/21,02/08/21,37.53%
XLE|20210226|37.00C,XLE,37.00,+18.91%,7.05,8.23,9.40,8.53,2.74,+47.32%,2,23,0.09,94.37%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|37.50C,XLE,37.50,+17.82%,6.50,7.53,8.55,4.55,-0.04,-0.87%,1,31,0.03,138.29%,Call,7,02/26/21,01/22/21,37.53%
XLE|20210226|38.00C,XLE,38.00,+16.72%,6.85,7.58,8.30,6.46,0.11,+1.73%,200,207,0.97,90.31%,Call,7,02/26/21,02/12/21,37.53%
XLE|20210226|38.50C,XLE,38.50,+15.63%,5.55,6.73,7.90,5.51,-0.24,-4.17%,2,26,0.08,147.40%,Call,7,02/26/21,02/09/21,37.53%
XLE|20210226|39.00C,XLE,39.00,+14.53%,5.15,6.33,7.50,6.62,-0.28,-4.06%,1,6,0.17,84.71%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|39.50C,XLE,39.50,+13.43%,5.40,6.15,6.90,5.21,1.21,+30.25%,8,143,0.06,82.16%,Call,7,02/26/21,02/12/21,37.53%
XLE|20210226|40.00C,XLE,40.00,+12.34%,3.00,4.33,5.65,5.50,-0.90,-14.06%,5,147,0.03,60.82%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|40.50C,XLE,40.50,+11.24%,4.50,5.18,5.85,5.75,0.37,+6.88%,1,"1,078",0.00,73.19%,Call,7,02/26/21,02/17/21,37.53%
XLE|20210226|41.00C,XLE,41.00,+10.15%,3.35,4.45,5.55,5.25,-0.23,-4.20%,5,"1,087",0.00,103.14%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|41.50C,XLE,41.50,+9.05%,3.60,3.95,4.30,4.30,0.00,unch,21,446,0.05,70.40%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|42.00C,XLE,42.00,+7.96%,3.20,3.50,3.80,3.62,-0.90,-19.91%,21,461,0.05,52.26%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|42.50C,XLE,42.50,+6.86%,2.73,3.04,3.35,3.45,-0.05,-1.43%,3,"2,565",0.00,40.62%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|43.00C,XLE,43.00,+5.76%,2.30,2.64,2.98,2.70,-0.65,-19.40%,45,"1,728",0.03,46.00%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|43.50C,XLE,43.50,+4.67%,2.01,2.29,2.56,2.48,-0.57,-18.69%,13,"3,054",0.00,54.09%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|44.00C,XLE,44.00,+3.57%,1.62,1.89,2.15,1.84,-0.68,-26.98%,79,"2,891",0.03,40.32%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|44.50C,XLE,44.50,+2.48%,1.32,1.41,1.49,1.54,-0.77,-33.33%,88,"1,056",0.08,35.91%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|45.00C,XLE,45.00,+1.38%,1.02,1.26,1.50,1.20,-0.73,-37.82%,245,"11,854",0.02,39.84%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|45.50C,XLE,45.50,+0.28%,0.86,0.94,1.02,0.94,-0.70,-42.68%,173,"1,884",0.09,39.67%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|46.00C,XLE,46.00,-0.81%,0.65,0.71,0.76,0.73,-0.56,-43.41%,575,"11,785",0.05,39.91%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|46.50C,XLE,46.50,-1.91%,0.42,0.51,0.60,0.55,-0.32,-36.78%,333,"1,301",0.26,39.84%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|47.00C,XLE,47.00,-3.00%,0.36,0.42,0.47,0.41,-0.41,-50.00%,955,"5,779",0.17,40.00%,Call,7,02/26/21,02/18/21,37.53%
XLE|20210226|47.50C,XLE,47.50,-4.10%,0.21,0.30,0.38,0.30,-0.35,-53.85%,944,"2,906",0.32,40.16%,Call,7,02/26/21,02/18/21,37.53%
