Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
30.00,+37.69%,16.60,18.15,19.70,20.40,4.30,+26.71%,1,6,0.17,0.00%,Call,02/24/21
33.50,+30.43%,13.35,14.77,16.20,6.35,6.35,unch,3,3,1.00,164.16%,Call,01/29/21
34.00,+29.39%,12.50,14.10,15.70,15.65,5.25,+50.48%,2,4,0.50,303.00%,Call,02/25/21
35.00,+27.31%,11.85,13.27,14.70,14.63,-0.27,-1.81%,1,17,0.06,147.35%,Call,02/25/21
36.50,+24.20%,10.15,11.68,13.20,0.00,0.00,unch,0,0,0.00,105.16%,Call,N/A
37.00,+23.16%,9.65,11.18,12.70,11.60,2.25,+24.06%,2,39,0.05,166.80%,Call,02/26/21
37.50,+22.12%,9.20,10.73,12.25,4.90,4.90,unch,10,10,1.00,110.65%,Call,01/22/21
38.00,+21.08%,8.90,9.90,10.90,10.25,-0.88,-7.91%,5,108,0.05,110.79%,Call,02/26/21
38.50,+20.04%,7.95,9.60,11.25,7.15,-0.55,-7.14%,1,3,0.33,229.47%,Call,02/18/21
39.00,+19.00%,7.25,9.30,11.35,8.00,0.96,+13.64%,2,22,0.09,108.60%,Call,02/22/21
39.50,+17.96%,7.15,8.68,10.20,8.94,-1.89,-17.45%,2,14,0.14,119.87%,Call,02/26/21
40.00,+16.93%,6.95,8.05,9.15,7.90,-2.25,-22.17%,82,"5,119",0.02,168.42%,Call,02/26/21
40.50,+15.89%,6.30,7.78,9.25,8.18,2.78,+51.48%,2,53,0.04,128.74%,Call,02/26/21
41.00,+14.85%,5.75,7.43,9.10,7.18,-2.38,-24.90%,1,75,0.01,67.51%,Call,02/26/21
41.50,+13.81%,5.30,6.75,8.20,6.85,-1.65,-19.41%,11,59,0.19,88.06%,Call,02/26/21
42.00,+12.77%,4.90,6.33,7.75,6.68,-1.38,-17.12%,2,707,0.00,109.48%,Call,02/26/21
42.50,+11.73%,4.50,5.85,7.20,5.75,-0.89,-13.40%,1,164,0.01,66.25%,Call,02/26/21
43.00,+10.70%,3.90,5.70,7.50,5.65,-0.74,-11.58%,8,"2,059",0.00,94.64%,Call,02/26/21
43.50,+9.66%,3.65,4.33,5.00,6.94,0.21,+3.12%,7,66,0.11,78.14%,Call,02/25/21
44.00,+8.62%,3.05,4.28,5.50,4.44,-0.78,-14.94%,263,457,0.58,67.89%,Call,02/26/21
44.50,+7.58%,2.94,3.84,4.75,3.37,-2.06,-37.94%,1,77,0.01,107.29%,Call,02/26/21
45.00,+6.54%,2.33,2.87,3.40,3.67,-1.51,-29.15%,97,638,0.15,53.40%,Call,02/26/21
45.50,+5.50%,2.09,3.05,4.00,2.94,-1.06,-26.50%,6,465,0.01,50.02%,Call,02/26/21
46.00,+4.47%,1.73,2.18,2.62,2.78,-1.17,-29.62%,671,"2,482",0.27,23.87%,Call,02/26/21
46.50,+3.43%,1.51,2.19,2.86,2.42,-0.91,-27.33%,26,"3,716",0.01,60.71%,Call,02/26/21
47.00,+2.39%,1.22,1.82,2.42,1.94,-1.20,-38.22%,214,"2,431",0.09,53.57%,Call,02/26/21
47.50,+1.35%,1.15,1.54,1.92,1.69,-0.76,-31.02%,118,340,0.35,55.49%,Call,02/26/21
48.00,+0.31%,0.76,1.25,1.73,1.32,-0.73,-35.61%,153,"1,885",0.08,51.21%,Call,02/26/21
48.50,-0.73%,0.60,0.83,1.06,0.85,-0.86,-50.29%,472,"1,991",0.24,41.63%,Call,02/26/21
49.00,-1.77%,0.48,0.65,0.81,0.83,-0.62,-42.76%,460,880,0.52,41.29%,Call,02/26/21
49.50,-2.80%,0.54,0.70,0.85,0.76,-0.45,-37.19%,363,"3,817",0.10,53.62%,Call,02/26/21
50.00,-3.84%,0.18,0.43,0.69,0.42,-0.56,-57.14%,"1,134","1,487",0.76,44.54%,Call,02/26/21
50.50,-4.88%,0.09,0.26,0.43,0.35,-0.40,-53.33%,503,"3,567",0.14,46.66%,Call,02/26/21
51.00,-5.92%,0.14,0.20,0.26,0.29,-0.33,-53.23%,411,"2,388",0.17,42.66%,Call,02/26/21
52.00,-8.00%,0.09,0.15,0.21,0.14,-0.22,-61.11%,"2,609","1,585",1.65,46.91%,Call,02/26/21
53.00,-10.07%,0.05,0.11,0.16,0.07,-0.15,-68.18%,81,"1,102",0.07,46.97%,Call,02/26/21
54.00,-12.15%,0.01,0.06,0.11,0.04,-0.12,-75.00%,71,"1,018",0.07,48.62%,Call,02/26/21
55.00,-14.23%,0.02,0.03,0.03,0.03,-0.09,-75.00%,91,486,0.19,52.34%,Call,02/26/21
56.00,-16.30%,0.05,0.04,0.03,0.05,-0.03,-37.50%,60,82,0.73,0.00%,Call,02/25/21
57.00,-18.38%,0.01,0.04,0.07,0.01,-0.04,-80.00%,3,562,0.01,54.99%,Call,02/26/21
58.00,-20.46%,0.02,0.02,0.01,0.03,0.03,unch,14,14,1.00,0.00%,Call,02/25/21
59.00,-22.53%,0.00,0.22,0.44,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
30.00,-37.69%,0.02,0.13,0.24,0.03,-0.08,-72.73%,4,4,1.00,0.00%,Put,02/08/21
33.50,-30.43%,0.02,0.08,0.15,0.01,-0.04,-80.00%,8,20,0.40,0.00%,Put,02/08/21
34.00,-29.39%,0.01,0.10,0.18,0.02,-0.06,-75.00%,1,10,0.10,0.00%,Put,02/23/21
35.00,-27.31%,0.02,0.13,0.23,0.01,-0.01,-50.00%,1,158,0.01,142.86%,Put,02/25/21
36.50,-24.20%,0.01,0.16,0.30,0.04,-0.02,-33.33%,6,68,0.09,132.49%,Put,02/23/21
37.00,-23.16%,0.01,0.15,0.28,0.02,-0.05,-71.43%,1,"1,891",0.00,125.37%,Put,02/22/21
37.50,-22.12%,0.01,0.14,0.26,0.04,-0.05,-55.56%,3,21,0.14,118.34%,Put,02/17/21
38.00,-21.08%,0.01,0.12,0.23,0.01,-0.07,-87.50%,12,24,0.50,110.48%,Put,02/24/21
38.50,-20.04%,0.01,0.06,0.11,0.02,-0.08,-80.00%,1,32,0.03,92.66%,Put,02/22/21
39.00,-19.00%,0.02,0.11,0.21,0.01,-0.01,-50.00%,190,"1,209",0.16,99.53%,Put,02/24/21
39.50,-17.96%,0.01,0.06,0.11,0.04,-0.02,-33.33%,10,22,0.45,78.07%,Put,02/26/21
40.00,-16.93%,0.01,0.05,0.08,0.05,0.04,+400.00%,37,"5,216",0.01,76.60%,Put,02/26/21
