Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLE|20210312|46.00C,XLE,46.00,+9.87%,4.25,5.28,6.30,4.78,-0.02,-0.42%,46,301,0.15,111.78%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|46.50C,XLE,46.50,+8.89%,4.10,4.98,5.85,4.05,0.05,+1.25%,1,116,0.01,67.75%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|47.00C,XLE,47.00,+7.92%,3.75,4.55,5.35,4.52,0.86,+23.50%,8,345,0.02,64.91%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|47.50C,XLE,47.50,+6.94%,3.15,3.58,4.00,3.25,-0.01,-0.31%,31,"1,312",0.02,58.68%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|48.00C,XLE,48.00,+5.96%,3.00,3.65,4.30,3.35,0.58,+20.94%,153,512,0.30,46.10%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|49.00C,XLE,49.00,+4.00%,2.50,2.90,3.30,2.38,0.35,+17.24%,276,755,0.37,58.17%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|50.00C,XLE,50.00,+2.04%,1.66,1.86,2.06,1.82,0.66,+56.90%,528,892,0.59,42.14%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|51.00C,XLE,51.00,+0.08%,1.11,1.25,1.39,1.30,0.55,+73.33%,"10,421","6,883",1.51,43.17%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|51.50C,XLE,51.50,-0.90%,0.87,1.20,1.52,1.03,0.41,+66.13%,"1,014","1,214",0.84,41.79%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|52.50C,XLE,52.50,-2.86%,0.61,0.71,0.80,0.68,0.20,+41.67%,907,930,0.98,42.37%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|53.00C,XLE,53.00,-3.84%,0.45,0.63,0.80,0.59,0.25,+73.53%,292,"2,542",0.11,44.41%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|53.50C,XLE,53.50,-4.82%,0.34,0.59,0.83,0.47,0.11,+30.56%,205,225,0.91,44.52%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|54.00C,XLE,54.00,-5.80%,0.23,0.36,0.48,0.33,0.14,+73.68%,73,280,0.26,42.70%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|55.00C,XLE,55.00,-7.76%,0.10,0.22,0.35,0.23,0.08,+53.33%,418,"1,578",0.26,45.23%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|56.00C,XLE,56.00,-9.72%,0.06,0.14,0.22,0.14,0.02,+16.67%,30,9,3.33,45.90%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|56.50C,XLE,56.50,-10.70%,0.05,0.12,0.19,0.16,0.05,+45.45%,17,132,0.13,50.75%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|57.00C,XLE,57.00,-11.68%,0.05,0.07,0.09,0.10,0.00,unch,9,32,0.28,44.93%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|57.50C,XLE,57.50,-12.66%,0.01,0.08,0.14,0.05,-0.03,-37.50%,3,61,0.05,44.79%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|60.00C,XLE,60.00,-17.55%,0.01,0.02,0.03,0.03,0.01,+50.00%,299,29,10.31,52.91%,Call,8,03/12/21,03/04/21,40.33%
XLE|20210312|46.00P,XLE,46.00,-9.87%,0.05,0.13,0.21,0.27,0.10,+58.82%,37,192,0.19,49.66%,Put,8,03/12/21,03/04/21,40.33%
XLE|20210312|46.50P,XLE,46.50,-8.89%,0.06,0.15,0.24,0.16,-0.08,-33.33%,2,220,0.01,48.15%,Put,8,03/12/21,03/04/21,40.33%
XLE|20210312|47.00P,XLE,47.00,-7.92%,0.11,0.20,0.29,0.21,-0.10,-32.26%,337,"2,128",0.16,47.53%,Put,8,03/12/21,03/04/21,40.33%
XLE|20210312|47.50P,XLE,47.50,-6.94%,0.16,0.25,0.33,0.26,-0.17,-39.53%,109,292,0.37,46.15%,Put,8,03/12/21,03/04/21,40.33%
XLE|20210312|48.00P,XLE,48.00,-5.96%,0.14,0.32,0.49,0.31,-0.22,-41.51%,"1,500","2,637",0.57,44.17%,Put,8,03/12/21,03/04/21,40.33%
XLE|20210312|49.00P,XLE,49.00,-4.00%,0.28,0.51,0.73,0.67,-0.10,-12.99%,"4,452","4,146",1.07,49.28%,Put,8,03/12/21,03/04/21,40.33%
XLE|20210312|50.00P,XLE,50.00,-2.04%,0.70,0.85,1.00,0.82,-0.59,-41.84%,"1,829",293,6.24,42.08%,Put,8,03/12/21,03/04/21,40.33%
XLE|20210312|51.00P,XLE,51.00,-0.08%,1.12,1.28,1.43,1.27,-0.36,-22.09%,545,88,6.19,42.07%,Put,8,03/12/21,03/04/21,40.33%
XLE|20210312|51.50P,XLE,51.50,+0.90%,1.00,1.31,1.62,1.65,-0.25,-13.16%,47,174,0.27,34.28%,Put,8,03/12/21,03/04/21,40.33%
XLE|20210312|52.50P,XLE,52.50,+2.86%,1.49,2.09,2.69,2.26,-0.59,-20.70%,19,108,0.18,45.10%,Put,8,03/12/21,03/04/21,40.33%
XLE|20210312|53.00P,XLE,53.00,+3.84%,1.78,2.32,2.86,3.20,-0.05,-1.54%,176,453,0.39,33.14%,Put,8,03/12/21,03/04/21,40.33%
XLE|20210312|53.50P,XLE,53.50,+4.82%,1.97,2.81,3.65,2.94,-2.61,-47.03%,7,16,0.44,43.03%,Put,8,03/12/21,03/04/21,40.33%
XLE|20210312|54.00P,XLE,54.00,+5.80%,2.32,2.99,3.65,3.45,-1.34,-27.97%,14,9,1.56,48.03%,Put,8,03/12/21,03/04/21,40.33%
XLE|20210312|55.00P,XLE,55.00,+7.76%,2.94,4.02,5.10,3.45,-0.90,-20.69%,13,43,0.30,83.96%,Put,8,03/12/21,03/04/21,40.33%
XLE|20210312|56.00P,XLE,56.00,+9.72%,3.90,4.70,5.50,4.65,-1.38,-22.89%,5,40,0.13,67.18%,Put,8,03/12/21,03/04/21,40.33%
XLE|20210312|56.50P,XLE,56.50,+10.70%,4.40,5.28,6.15,0.00,0.00,unch,0,0,0.00,78.39%,Put,8,03/12/21,N/A,40.33%
XLE|20210312|57.00P,XLE,57.00,+11.68%,4.90,5.70,6.50,6.95,6.95,unch,1,2,0.50,74.92%,Put,8,03/12/21,03/03/21,40.33%
XLE|20210312|57.50P,XLE,57.50,+12.66%,5.05,6.25,7.45,7.35,7.35,unch,1,1,1.00,100.03%,Put,8,03/12/21,02/26/21,40.33%
XLE|20210312|60.00P,XLE,60.00,+17.55%,7.75,8.65,9.55,0.00,0.00,unch,0,0,0.00,98.96%,Put,8,03/12/21,N/A,40.33%
"Downloaded from Barchart.com as of 03-05-2021 08:29am CST"
