Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV","20D His Vol"
XLE|20210319|15.00C,XLE,15.00,+72.00%,36.20,38.13,40.05,25.40,25.40,unch,4,9,0.44,822.24%,Call,6,03/19/21,01/06/21,42.81%,29.81%
XLE|20210319|16.00C,XLE,16.00,+70.13%,36.15,37.33,38.50,28.55,28.55,unch,20,20,1.00,689.60%,Call,6,03/19/21,02/11/21,42.81%,29.81%
XLE|20210319|17.00C,XLE,17.00,+68.27%,35.65,36.60,37.55,21.40,21.40,unch,111,111,1.00,380.90%,Call,6,03/19/21,12/23/20,42.81%,29.81%
XLE|20210319|18.00C,XLE,18.00,+66.40%,34.55,35.53,36.50,26.00,26.00,unch,30,44,0.68,627.41%,Call,6,03/19/21,01/14/21,42.81%,29.81%
XLE|20210319|19.00C,XLE,19.00,+64.53%,33.90,34.70,35.50,25.30,3.60,+16.59%,3,10,0.30,410.08%,Call,6,03/19/21,02/11/21,42.81%,29.81%
XLE|20210319|20.00C,XLE,20.00,+62.67%,32.55,33.47,34.40,24.30,3.60,+17.39%,5,25,0.20,556.40%,Call,6,03/19/21,02/11/21,42.81%,29.81%
XLE|20210319|21.00C,XLE,21.00,+60.80%,31.70,32.80,33.90,17.70,10.25,+137.58%,135,167,0.81,408.33%,Call,6,03/19/21,12/23/20,42.81%,29.81%
XLE|20210319|22.00C,XLE,22.00,+58.93%,30.55,31.53,32.50,27.80,5.60,+25.23%,8,9,0.89,523.37%,Call,6,03/19/21,03/01/21,42.81%,29.81%
XLE|20210319|23.00C,XLE,23.00,+57.07%,28.40,30.20,32.00,15.65,-1.78,-10.21%,4,3,1.33,564.29%,Call,6,03/19/21,12/23/20,42.81%,29.81%
XLE|20210319|24.00C,XLE,24.00,+55.20%,28.65,29.58,30.50,15.50,-4.65,-23.08%,2,22,0.09,241.27%,Call,6,03/19/21,01/29/21,42.81%,29.81%
XLE|20210319|25.00C,XLE,25.00,+53.33%,27.70,28.50,29.30,22.40,-2.30,-9.31%,1,65,0.02,430.67%,Call,6,03/19/21,02/26/21,42.81%,29.81%
XLE|20210319|26.00C,XLE,26.00,+51.47%,26.10,27.33,28.55,24.50,2.65,+12.13%,1,33,0.03,444.13%,Call,6,03/19/21,03/03/21,42.81%,29.81%
XLE|20210319|27.00C,XLE,27.00,+49.60%,25.75,26.58,27.40,26.69,10.94,+69.46%,1,57,0.02,278.10%,Call,6,03/19/21,03/12/21,42.81%,29.81%
XLE|20210319|28.00C,XLE,28.00,+47.73%,23.20,25.17,27.15,25.72,3.74,+17.02%,1,23,0.04,274.02%,Call,6,03/19/21,03/12/21,42.81%,29.81%
XLE|20210319|29.00C,XLE,29.00,+45.87%,22.20,24.17,26.15,24.20,2.20,+10.00%,5,41,0.12,447.51%,Call,6,03/19/21,03/08/21,42.81%,29.81%
XLE|20210319|30.00C,XLE,30.00,+44.00%,22.35,23.38,24.40,24.22,1.47,+6.46%,1,375,0.00,353.99%,Call,6,03/19/21,03/11/21,42.81%,29.81%
XLE|20210319|31.00C,XLE,31.00,+42.13%,21.70,22.55,23.40,22.74,4.16,+22.39%,1,286,0.00,240.80%,Call,6,03/19/21,03/12/21,42.81%,29.81%
XLE|20210319|32.00C,XLE,32.00,+40.27%,20.00,21.03,22.05,21.60,1.10,+5.37%,3,"7,654",0.00,182.30%,Call,6,03/19/21,03/12/21,42.81%,29.81%
XLE|20210319|33.00C,XLE,33.00,+38.40%,19.20,20.28,21.35,20.43,0.08,+0.39%,30,"6,098",0.00,301.23%,Call,6,03/19/21,03/09/21,42.81%,29.81%
XLE|20210319|34.00C,XLE,34.00,+36.53%,17.95,19.58,21.20,19.60,-0.35,-1.75%,2,"2,410",0.00,163.03%,Call,6,03/19/21,03/12/21,42.81%,29.81%
XLE|20210319|35.00C,XLE,35.00,+34.66%,16.45,18.48,20.50,18.70,0.10,+0.54%,2,"6,399",0.00,185.64%,Call,6,03/19/21,03/12/21,42.81%,29.81%
XLE|20210319|36.00C,XLE,36.00,+32.80%,17.00,18.50,20.00,17.75,-0.26,-1.44%,7,"2,838",0.00,185.09%,Call,6,03/19/21,03/12/21,42.81%,29.81%
XLE|20210319|37.00C,XLE,37.00,+30.93%,14.55,16.25,17.95,16.65,-0.50,-2.92%,7,"5,089",0.00,153.01%,Call,6,03/19/21,03/12/21,42.81%,29.81%
XLE|20210319|38.00C,XLE,38.00,+29.06%,14.65,15.65,16.65,15.40,-0.50,-3.14%,5,"4,522",0.00,254.82%,Call,6,03/19/21,03/12/21,42.81%,29.81%
XLE|20210319|39.00C,XLE,39.00,+27.20%,14.10,14.40,14.70,14.80,0.32,+2.21%,1,"9,671",0.00,144.79%,Call,6,03/19/21,03/11/21,42.81%,29.81%
XLE|20210319|40.00C,XLE,40.00,+25.33%,13.10,13.50,13.90,13.50,0.00,unch,8,"14,950",0.00,162.73%,Call,6,03/19/21,03/12/21,42.81%,29.81%
XLE|20210319|40.50C,XLE,40.50,+24.40%,11.65,13.05,14.45,10.00,2.10,+26.58%,1,1,1.00,239.85%,Call,6,03/19/21,02/24/21,42.81%,29.81%
