Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
15.00,+52.41%,14.05,15.73,17.40,0.00,0.00,unch,0,0,0.00,511.73%,Call,N/A
16.00,+49.24%,13.00,14.85,16.70,0.00,0.00,unch,0,0,0.00,523.28%,Call,N/A
17.00,+46.07%,12.00,13.85,15.70,0.00,0.00,unch,0,0,0.00,486.14%,Call,N/A
18.00,+42.89%,11.00,12.80,14.60,13.00,13.00,unch,1,1,1.00,437.30%,Call,01/08/21
19.00,+39.72%,10.00,11.80,13.60,0.00,0.00,unch,0,0,0.00,404.95%,Call,N/A
20.00,+36.55%,9.00,10.68,12.35,9.95,-0.10,-1.00%,1,149,0.01,341.47%,Call,01/26/21
21.00,+33.38%,8.00,9.70,11.40,9.05,9.05,unch,37,37,1.00,320.25%,Call,01/26/21
22.00,+30.20%,7.05,8.75,10.45,8.05,-0.85,-9.55%,26,67,0.39,299.27%,Call,01/26/21
23.00,+27.03%,6.00,7.73,9.45,7.30,1.15,+18.70%,24,24,1.00,272.95%,Call,01/22/21
24.00,+23.86%,5.05,6.70,8.35,6.05,-0.25,-3.97%,3,48,0.06,236.85%,Call,01/25/21
25.00,+20.69%,4.00,5.63,7.25,6.25,0.36,+6.11%,10,805,0.01,202.34%,Call,02/08/21
25.50,+19.10%,3.50,5.10,6.70,4.90,4.90,unch,13,13,1.00,185.63%,Call,01/22/21
26.00,+17.51%,3.00,4.60,6.20,4.23,0.89,+26.65%,2,82,0.02,174.30%,Call,02/03/21
26.50,+15.93%,2.50,4.10,5.70,2.84,0.11,+4.03%,15,21,0.71,163.04%,Call,02/01/21
27.00,+14.34%,3.95,4.53,5.10,4.48,0.17,+3.94%,20,806,0.02,142.39%,Call,02/12/21
27.50,+12.75%,1.50,3.08,4.65,3.28,0.60,+22.39%,1,142,0.01,136.12%,Call,02/04/21
28.00,+11.17%,3.25,3.63,4.00,3.45,0.20,+6.15%,29,"2,229",0.01,111.65%,Call,02/12/21
