Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLF|20210312|29.00C,XLF,29.00,+12.33%,3.05,4.78,6.50,4.56,1.66,+57.24%,1,282,0.00,117.95%,Call,8,03/12/21,02/24/21,29.55%
XLF|20210312|29.50C,XLF,29.50,+10.82%,3.00,4.48,5.95,3.58,0.18,+5.29%,3,9,0.33,31.11%,Call,8,03/12/21,03/04/21,29.55%
XLF|20210312|30.00C,XLF,30.00,+9.31%,0.95,3.23,5.50,3.77,0.37,+10.88%,1,208,0.00,56.05%,Call,8,03/12/21,03/03/21,29.55%
XLF|20210312|30.50C,XLF,30.50,+7.80%,1.98,3.49,5.00,2.48,-0.82,-24.85%,1,70,0.01,190.87%,Call,8,03/12/21,03/04/21,29.55%
XLF|20210312|31.00C,XLF,31.00,+6.29%,1.68,2.34,3.00,2.16,-0.44,-16.92%,12,181,0.07,35.55%,Call,8,03/12/21,03/04/21,29.55%
XLF|20210312|31.50C,XLF,31.50,+4.78%,1.50,2.04,2.58,1.69,-0.66,-28.09%,45,714,0.06,31.87%,Call,8,03/12/21,03/04/21,29.55%
XLF|20210312|32.00C,XLF,32.00,+3.26%,1.16,1.57,1.98,1.27,-0.53,-29.44%,64,666,0.10,30.51%,Call,8,03/12/21,03/04/21,29.55%
XLF|20210312|32.50C,XLF,32.50,+1.75%,0.49,0.77,1.04,0.99,-0.20,-16.81%,643,"1,344",0.48,34.45%,Call,8,03/12/21,03/04/21,29.55%
XLF|20210312|33.00C,XLF,33.00,+0.24%,0.46,0.58,0.70,0.65,-0.30,-31.58%,785,"1,883",0.42,31.52%,Call,8,03/12/21,03/04/21,29.55%
XLF|20210312|33.50C,XLF,33.50,-1.27%,0.24,0.35,0.45,0.40,-0.17,-29.82%,947,640,1.48,30.05%,Call,8,03/12/21,03/04/21,29.55%
XLF|20210312|34.00C,XLF,34.00,-2.78%,0.14,0.20,0.25,0.20,-0.16,-44.44%,"1,335","2,009",0.66,27.44%,Call,8,03/12/21,03/04/21,29.55%
XLF|20210312|34.50C,XLF,34.50,-4.29%,0.02,0.08,0.15,0.11,-0.10,-47.62%,664,"1,529",0.43,27.85%,Call,8,03/12/21,03/04/21,29.55%
XLF|20210312|35.00C,XLF,35.00,-5.80%,0.01,0.05,0.08,0.06,-0.06,-50.00%,399,"3,423",0.12,28.59%,Call,8,03/12/21,03/04/21,29.55%
XLF|20210312|35.50C,XLF,35.50,-7.32%,0.01,0.03,0.04,0.03,-0.04,-57.14%,278,646,0.43,28.97%,Call,8,03/12/21,03/04/21,29.55%
XLF|20210312|36.00C,XLF,36.00,-8.83%,0.01,0.04,0.07,0.02,-0.01,-33.33%,5,45,0.11,31.03%,Call,8,03/12/21,03/04/21,29.55%
XLF|20210312|37.00C,XLF,37.00,-11.85%,0.01,0.08,0.14,0.01,-0.01,-50.00%,29,29,1.00,0.00%,Call,8,03/12/21,03/03/21,29.55%
XLF|20210312|38.00C,XLF,38.00,-14.87%,0.01,0.03,0.05,0.03,0.03,unch,4,4,1.00,0.00%,Call,8,03/12/21,03/01/21,29.55%
XLF|20210312|38.50C,XLF,38.50,-16.38%,0.01,0.05,0.08,0.01,0.00,unch,30,55,0.55,0.00%,Call,8,03/12/21,03/03/21,29.55%
XLF|20210312|39.50C,XLF,39.50,-19.41%,0.00,1.58,3.15,0.00,0.00,unch,0,0,0.00,0.00%,Call,8,03/12/21,N/A,29.55%
XLF|20210312|40.00C,XLF,40.00,-20.92%,0.00,0.03,0.05,0.03,0.03,unch,4,4,1.00,0.00%,Call,8,03/12/21,03/03/21,29.55%
XLF|20210312|40.50C,XLF,40.50,-22.43%,0.00,0.02,0.03,0.01,0.01,unch,8,8,1.00,0.00%,Call,8,03/12/21,03/03/21,29.55%
XLF|20210312|29.00P,XLF,29.00,-12.33%,0.01,0.05,0.09,0.01,-0.10,-90.91%,6,62,0.10,53.55%,Put,8,03/12/21,03/01/21,29.55%
XLF|20210312|29.50P,XLF,29.50,-10.82%,0.01,0.06,0.11,0.02,0.00,unch,30,132,0.23,40.33%,Put,8,03/12/21,03/04/21,29.55%
XLF|20210312|30.00P,XLF,30.00,-9.31%,0.01,0.06,0.10,0.06,0.03,+100.00%,383,629,0.61,43.86%,Put,8,03/12/21,03/04/21,29.55%
XLF|20210312|30.50P,XLF,30.50,-7.80%,0.02,0.06,0.10,0.09,0.04,+80.00%,"4,154",495,8.39,42.01%,Put,8,03/12/21,03/04/21,29.55%
XLF|20210312|31.00P,XLF,31.00,-6.29%,0.03,0.11,0.18,0.13,0.08,+160.00%,"5,185",702,7.39,39.75%,Put,8,03/12/21,03/04/21,29.55%
XLF|20210312|31.50P,XLF,31.50,-4.78%,0.05,0.16,0.26,0.18,0.09,+100.00%,236,"6,345",0.04,36.85%,Put,8,03/12/21,03/04/21,29.55%
