Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLF|20210409|25.00C,XLF,25.00,+24.97%,6.00,8.40,10.80,0.00,0.00,unch,0,0,0.00,54.55%,Call,39,04/09/21,N/A,25.39%
XLF|20210409|26.50C,XLF,26.50,+20.47%,4.60,7.05,9.50,0.00,0.00,unch,0,0,0.00,55.82%,Call,39,04/09/21,N/A,25.39%
XLF|20210409|27.00C,XLF,27.00,+18.97%,4.10,6.55,9.00,0.00,0.00,unch,0,0,0.00,52.35%,Call,39,04/09/21,N/A,25.39%
XLF|20210409|27.50C,XLF,27.50,+17.47%,3.55,5.98,8.40,0.00,0.00,unch,0,0,0.00,44.65%,Call,39,04/09/21,N/A,25.39%
XLF|20210409|28.00C,XLF,28.00,+15.97%,3.10,5.55,8.00,0.00,0.00,unch,0,0,0.00,45.49%,Call,39,04/09/21,N/A,25.39%
XLF|20210409|28.50C,XLF,28.50,+14.47%,2.60,5.05,7.50,0.00,0.00,unch,0,0,0.00,42.08%,Call,39,04/09/21,N/A,25.39%
XLF|20210409|29.00C,XLF,29.00,+12.97%,2.20,4.60,7.00,0.00,0.00,unch,0,0,0.00,40.88%,Call,39,04/09/21,N/A,25.39%
XLF|20210409|29.50C,XLF,29.50,+11.46%,1.62,4.06,6.50,0.00,0.00,unch,0,0,0.00,35.70%,Call,39,04/09/21,N/A,25.39%
XLF|20210409|30.00C,XLF,30.00,+9.96%,3.25,3.65,4.05,0.00,0.00,unch,0,0,0.00,35.69%,Call,39,04/09/21,N/A,25.39%
XLF|20210409|30.50C,XLF,30.50,+8.46%,2.83,3.02,3.20,3.00,3.00,unch,4,0,0.00,26.43%,Call,39,04/09/21,03/01/21,25.39%
XLF|20210409|31.00C,XLF,31.00,+6.96%,2.46,2.58,2.70,0.00,0.00,unch,0,0,0.00,25.95%,Call,39,04/09/21,N/A,25.39%
XLF|20210409|31.50C,XLF,31.50,+5.46%,1.92,2.51,3.10,0.00,0.00,unch,0,0,0.00,34.58%,Call,39,04/09/21,N/A,25.39%
XLF|20210409|32.00C,XLF,32.00,+3.96%,1.60,1.93,2.25,0.00,0.00,unch,0,0,0.00,27.86%,Call,39,04/09/21,N/A,25.39%
XLF|20210409|32.50C,XLF,32.50,+2.46%,1.37,1.47,1.56,0.00,0.00,unch,0,0,0.00,24.19%,Call,39,04/09/21,N/A,25.39%
XLF|20210409|33.00C,XLF,33.00,+0.96%,1.02,1.13,1.24,1.19,0.36,+43.37%,14,12,1.17,24.36%,Call,39,04/09/21,03/01/21,25.39%
XLF|20210409|33.50C,XLF,33.50,-0.54%,0.83,0.94,1.04,0.96,0.34,+54.84%,8,145,0.06,24.67%,Call,39,04/09/21,03/01/21,25.39%
XLF|20210409|34.00C,XLF,34.00,-2.04%,0.62,0.79,0.96,0.68,0.24,+54.55%,2,65,0.03,22.94%,Call,39,04/09/21,03/01/21,25.39%
XLF|20210409|34.50C,XLF,34.50,-3.54%,0.39,0.49,0.59,0.53,0.53,unch,5,1,5.00,23.39%,Call,39,04/09/21,03/01/21,25.39%
XLF|20210409|35.00C,XLF,35.00,-5.04%,0.31,0.41,0.51,0.39,0.11,+39.29%,6,63,0.10,23.27%,Call,39,04/09/21,03/01/21,25.39%
XLF|20210409|35.50C,XLF,35.50,-6.54%,0.19,0.26,0.33,0.27,0.27,unch,1,0,0.00,22.81%,Call,39,04/09/21,03/01/21,25.39%
XLF|20210409|36.00C,XLF,36.00,-8.04%,0.16,0.19,0.22,0.22,0.08,+57.14%,1,30,0.03,23.91%,Call,39,04/09/21,03/01/21,25.39%
XLF|20210409|36.50C,XLF,36.50,-9.54%,0.09,0.13,0.17,0.00,0.00,unch,0,0,0.00,22.70%,Call,39,04/09/21,N/A,25.39%
XLF|20210409|37.00C,XLF,37.00,-11.04%,0.08,0.21,0.33,0.01,0.01,unch,1,0,0.00,28.48%,Call,39,04/09/21,03/01/21,25.39%
XLF|20210409|37.50C,XLF,37.50,-12.55%,0.05,0.14,0.23,0.00,0.00,unch,0,0,0.00,27.80%,Call,39,04/09/21,N/A,25.39%
XLF|20210409|38.00C,XLF,38.00,-14.05%,0.01,0.32,0.63,0.00,0.00,unch,0,0,0.00,38.01%,Call,39,04/09/21,N/A,25.39%
XLF|20210409|38.50C,XLF,38.50,-15.55%,0.01,0.84,1.66,0.00,0.00,unch,0,0,0.00,57.41%,Call,39,04/09/21,N/A,25.39%
