Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV","20D His Vol"
XLF|20210416|15.00C,XLF,15.00,+56.42%,18.95,19.65,20.35,0.00,0.00,unch,0,0,0.00,167.24%,Call,35,04/16/21,N/A,24.64%,20.92%
XLF|20210416|17.00C,XLF,17.00,+50.61%,16.85,17.88,18.90,0.00,0.00,unch,0,0,0.00,167.63%,Call,35,04/16/21,N/A,24.64%,20.92%
XLF|20210416|18.00C,XLF,18.00,+47.70%,15.90,16.80,17.70,0.00,0.00,unch,0,3,0.00,149.70%,Call,35,04/16/21,N/A,24.64%,20.92%
XLF|20210416|19.00C,XLF,19.00,+44.80%,14.85,15.88,16.90,0.00,0.00,unch,0,0,0.00,145.26%,Call,35,04/16/21,N/A,24.64%,20.92%
XLF|20210416|20.00C,XLF,20.00,+41.89%,13.80,14.83,15.85,12.90,-0.65,-4.80%,10,16,0.63,131.14%,Call,35,04/16/21,03/04/21,24.64%,20.92%
XLF|20210416|21.00C,XLF,21.00,+38.99%,12.95,13.80,14.65,0.00,0.00,unch,0,5,0.00,119.63%,Call,35,04/16/21,N/A,24.64%,20.92%
XLF|20210416|22.00C,XLF,22.00,+36.08%,12.15,12.50,12.85,8.80,1.50,+20.55%,5,201,0.02,82.32%,Call,35,04/16/21,02/04/21,24.64%,20.92%
XLF|20210416|23.00C,XLF,23.00,+33.18%,10.95,11.77,12.60,11.40,11.40,unch,10,0,0.00,99.99%,Call,35,04/16/21,03/10/21,24.64%,20.92%
XLF|20210416|24.00C,XLF,24.00,+30.27%,10.15,10.50,10.85,10.27,0.47,+4.80%,50,104,0.48,68.55%,Call,35,04/16/21,03/10/21,24.64%,20.92%
XLF|20210416|25.00C,XLF,25.00,+27.37%,9.20,9.45,9.70,9.37,-0.13,-1.37%,14,736,0.02,78.74%,Call,35,04/16/21,03/11/21,24.64%,20.92%
XLF|20210416|26.00C,XLF,26.00,+24.46%,7.95,8.70,9.45,7.85,0.53,+7.24%,10,325,0.03,71.15%,Call,35,04/16/21,03/03/21,24.64%,20.92%
XLF|20210416|27.00C,XLF,27.00,+21.56%,7.15,7.55,7.95,7.64,0.29,+3.95%,50,338,0.15,60.13%,Call,35,04/16/21,03/11/21,24.64%,20.92%
XLF|20210416|28.00C,XLF,28.00,+18.65%,5.95,7.40,8.85,6.31,0.11,+1.77%,40,531,0.08,85.43%,Call,35,04/16/21,03/10/21,24.64%,20.92%
XLF|20210416|29.00C,XLF,29.00,+15.75%,4.95,5.45,5.95,5.20,-0.19,-3.53%,5,521,0.01,60.08%,Call,35,04/16/21,03/11/21,24.64%,20.92%
XLF|20210416|30.00C,XLF,30.00,+12.84%,4.15,4.43,4.70,4.45,-0.12,-2.63%,39,"10,357",0.00,27.22%,Call,35,04/16/21,03/11/21,24.64%,20.92%
XLF|20210416|31.00C,XLF,31.00,+9.94%,3.30,3.53,3.75,3.60,-0.02,-0.55%,137,"2,105",0.07,30.80%,Call,35,04/16/21,03/11/21,24.64%,20.92%
XLF|20210416|32.00C,XLF,32.00,+7.03%,2.40,2.59,2.77,2.60,-0.13,-4.76%,769,"10,075",0.08,24.05%,Call,35,04/16/21,03/11/21,24.64%,20.92%
XLF|20210416|33.00C,XLF,33.00,+4.13%,1.78,1.84,1.90,1.83,-0.04,-2.14%,"1,020","75,065",0.01,23.92%,Call,35,04/16/21,03/11/21,24.64%,20.92%
XLF|20210416|34.00C,XLF,34.00,+1.22%,1.14,1.19,1.25,1.20,-0.12,-9.09%,"1,675","40,619",0.04,23.75%,Call,35,04/16/21,03/11/21,24.64%,20.92%
XLF|20210416|35.00C,XLF,35.00,-1.69%,0.68,0.72,0.76,0.72,-0.10,-12.20%,"15,010","61,923",0.24,23.42%,Call,35,04/16/21,03/11/21,24.64%,20.92%
XLF|20210416|36.00C,XLF,36.00,-4.59%,0.39,0.41,0.43,0.40,-0.07,-14.89%,"18,275","18,623",0.98,23.32%,Call,35,04/16/21,03/11/21,24.64%,20.92%
XLF|20210416|37.00C,XLF,37.00,-7.50%,0.19,0.22,0.24,0.21,-0.05,-19.23%,"1,379","43,026",0.03,23.48%,Call,35,04/16/21,03/11/21,24.64%,20.92%
XLF|20210416|38.00C,XLF,38.00,-10.40%,0.08,0.11,0.14,0.11,-0.03,-21.43%,"5,707","1,595",3.58,24.03%,Call,35,04/16/21,03/11/21,24.64%,20.92%
XLF|20210416|39.00C,XLF,39.00,-13.31%,0.03,0.06,0.08,0.07,-0.02,-22.22%,150,"1,114",0.13,25.74%,Call,35,04/16/21,03/11/21,24.64%,20.92%
XLF|20210416|40.00C,XLF,40.00,-16.21%,0.02,0.05,0.08,0.05,-0.01,-16.67%,29,"1,996",0.01,27.80%,Call,35,04/16/21,03/11/21,24.64%,20.92%
XLF|20210416|41.00C,XLF,41.00,-19.12%,0.01,0.05,0.08,0.03,0.01,+50.00%,54,253,0.21,30.80%,Call,35,04/16/21,03/10/21,24.64%,20.92%
XLF|20210416|42.00C,XLF,42.00,-22.02%,0.02,0.04,0.06,0.01,-0.02,-66.67%,20,168,0.12,33.51%,Call,35,04/16/21,03/11/21,24.64%,20.92%
XLF|20210416|43.00C,XLF,43.00,-24.93%,0.01,0.55,1.09,0.00,0.00,unch,0,1,0.00,0.00%,Call,35,04/16/21,N/A,24.64%,20.92%
XLF|20210416|44.00C,XLF,44.00,-27.83%,0.02,0.84,1.65,0.00,0.00,unch,0,0,0.00,0.00%,Call,35,04/16/21,N/A,24.64%,20.92%
XLF|20210416|45.00C,XLF,45.00,-30.74%,0.01,0.03,0.04,0.01,0.01,unch,1,0,0.00,35.48%,Call,35,04/16/21,03/11/21,24.64%,20.92%
XLF|20210416|46.00C,XLF,46.00,-33.64%,0.01,0.47,0.93,0.00,0.00,unch,0,0,0.00,0.00%,Call,35,04/16/21,N/A,24.64%,20.92%
XLF|20210416|47.00C,XLF,47.00,-36.55%,0.01,0.03,0.04,0.03,0.01,+50.00%,5,255,0.02,0.00%,Call,35,04/16/21,03/04/21,24.64%,20.92%
