Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
45.00,+50.17%,42.60,45.05,47.50,0.00,0.00,unch,0,0,0.00,465.45%,Call,N/A
50.00,+44.63%,37.60,40.05,42.50,0.00,0.00,unch,0,0,0.00,407.66%,Call,N/A
55.00,+39.09%,32.60,35.05,37.50,0.00,0.00,unch,0,0,0.00,355.27%,Call,N/A
60.00,+33.55%,27.60,30.05,32.50,0.00,0.00,unch,0,0,0.00,307.07%,Call,N/A
62.00,+31.34%,25.60,28.05,30.50,0.00,0.00,unch,0,0,0.00,288.74%,Call,N/A
63.00,+30.23%,24.60,27.05,29.50,0.00,0.00,unch,0,0,0.00,279.75%,Call,N/A
64.00,+29.13%,23.60,26.05,28.50,0.00,0.00,unch,0,0,0.00,270.87%,Call,N/A
65.00,+28.02%,22.60,25.05,27.50,0.00,0.00,unch,0,0,0.00,262.10%,Call,N/A
66.00,+26.91%,21.60,24.05,26.50,0.00,0.00,unch,0,0,0.00,253.42%,Call,N/A
67.00,+25.80%,20.60,23.05,25.50,0.00,0.00,unch,0,0,0.00,244.83%,Call,N/A
68.00,+24.70%,19.60,22.05,24.50,0.00,0.00,unch,0,6,0.00,236.33%,Call,N/A
69.00,+23.59%,18.60,21.05,23.50,0.00,0.00,unch,0,0,0.00,227.90%,Call,N/A
70.00,+22.48%,17.60,20.05,22.50,0.00,0.00,unch,0,0,0.00,219.55%,Call,N/A
71.00,+21.37%,16.60,19.05,21.50,0.00,0.00,unch,0,0,0.00,211.26%,Call,N/A
72.00,+20.27%,15.60,18.05,20.50,0.00,0.00,unch,0,0,0.00,203.03%,Call,N/A
73.00,+19.16%,14.60,17.05,19.50,0.00,0.00,unch,0,0,0.00,194.85%,Call,N/A
74.00,+18.05%,13.60,16.05,18.50,0.00,0.00,unch,0,0,0.00,186.72%,Call,N/A
75.00,+16.94%,12.60,15.05,17.50,14.92,3.22,+27.52%,1,2,0.50,178.62%,Call,02/10/21
76.00,+15.84%,11.60,14.05,16.50,12.87,-1.73,-11.85%,2,4,0.50,170.56%,Call,01/22/21
77.00,+14.73%,10.55,12.98,15.40,0.00,0.00,unch,0,0,0.00,159.33%,Call,N/A
78.00,+13.62%,9.50,11.95,14.40,11.20,-0.14,-1.23%,1,1,1.00,151.38%,Call,01/21/21
79.00,+12.51%,8.60,11.05,13.50,8.52,1.37,+19.16%,3,1,3.00,146.44%,Call,01/28/21
80.00,+11.41%,8.00,10.40,12.80,10.00,0.20,+2.04%,2,17,0.12,147.02%,Call,02/12/21
81.00,+10.30%,7.00,9.43,11.85,7.60,2.40,+46.15%,1,2,0.50,53.31%,Call,02/04/21
82.00,+9.19%,5.50,7.30,9.10,7.80,0.20,+2.63%,1,88,0.01,79.72%,Call,02/11/21
83.00,+8.08%,6.45,8.48,10.50,3.95,-0.59,-13.00%,2,17,0.12,85.07%,Call,02/01/21
83.50,+7.53%,4.50,6.75,9.00,0.00,0.00,unch,0,0,0.00,109.89%,Call,N/A
84.00,+6.98%,4.00,6.40,8.80,5.55,2.15,+63.24%,5,8,0.63,36.95%,Call,02/08/21
