Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLI|20210226|55.00C,XLI,55.00,+38.86%,32.50,34.90,37.30,0.00,0.00,unch,0,0,0.00,312.62%,Call,8,02/26/21,N/A,22.19%
XLI|20210226|60.00C,XLI,60.00,+33.30%,27.50,29.83,32.15,0.00,0.00,unch,0,0,0.00,264.23%,Call,8,02/26/21,N/A,22.19%
XLI|20210226|65.00C,XLI,65.00,+27.75%,22.50,24.80,27.10,0.00,0.00,unch,0,0,0.00,223.43%,Call,8,02/26/21,N/A,22.19%
XLI|20210226|70.00C,XLI,70.00,+22.19%,17.50,19.80,22.10,0.00,0.00,unch,0,0,0.00,186.71%,Call,8,02/26/21,N/A,22.19%
XLI|20210226|75.00C,XLI,75.00,+16.63%,12.50,14.85,17.20,0.00,0.00,unch,0,0,0.00,154.22%,Call,8,02/26/21,N/A,22.19%
XLI|20210226|78.50C,XLI,78.50,+12.74%,9.05,11.40,13.75,0.00,0.00,unch,0,0,0.00,130.91%,Call,8,02/26/21,N/A,22.19%
XLI|20210226|79.00C,XLI,79.00,+12.18%,8.55,10.90,13.25,0.00,0.00,unch,0,0,0.00,127.38%,Call,8,02/26/21,N/A,22.19%
XLI|20210226|80.00C,XLI,80.00,+11.07%,7.50,9.80,12.10,9.55,9.55,unch,4,2,2.00,116.55%,Call,8,02/26/21,01/21/21,22.19%
XLI|20210226|81.00C,XLI,81.00,+9.96%,6.50,8.90,11.30,0.00,0.00,unch,0,0,0.00,114.41%,Call,8,02/26/21,N/A,22.19%
XLI|20210226|82.00C,XLI,82.00,+8.85%,5.50,7.95,10.40,6.04,-0.09,-1.47%,7,9,0.78,109.57%,Call,8,02/26/21,02/02/21,22.19%
XLI|20210226|83.00C,XLI,83.00,+7.74%,4.65,7.00,9.35,5.30,1.15,+27.71%,1,213,0.00,30.29%,Call,8,02/26/21,02/02/21,22.19%
XLI|20210226|83.50C,XLI,83.50,+7.18%,4.15,6.48,8.80,4.90,0.95,+24.05%,2,1,2.00,25.34%,Call,8,02/26/21,02/02/21,22.19%
XLI|20210226|84.00C,XLI,84.00,+6.63%,3.60,6.02,8.45,4.05,0.27,+7.14%,1,3,0.33,28.62%,Call,8,02/26/21,01/29/21,22.19%
XLI|20210226|84.50C,XLI,84.50,+6.07%,3.30,5.55,7.80,0.00,0.00,unch,0,1,0.00,28.26%,Call,8,02/26/21,N/A,22.19%
XLI|20210226|85.00C,XLI,85.00,+5.51%,2.20,3.88,5.55,5.20,0.89,+20.65%,1,6,0.17,44.15%,Call,8,02/26/21,02/11/21,22.19%
XLI|20210226|85.50C,XLI,85.50,+4.96%,2.20,4.53,6.85,0.00,0.00,unch,0,0,0.00,22.60%,Call,8,02/26/21,N/A,22.19%
XLI|20210226|86.00C,XLI,86.00,+4.40%,1.87,4.19,6.50,3.68,-0.87,-19.12%,9,209,0.04,27.52%,Call,8,02/26/21,02/11/21,22.19%
XLI|20210226|86.50C,XLI,86.50,+3.85%,1.40,3.70,6.00,2.30,2.30,unch,6,6,1.00,25.53%,Call,8,02/26/21,01/29/21,22.19%
XLI|20210226|87.00C,XLI,87.00,+3.29%,1.30,3.65,6.00,3.27,0.12,+3.81%,5,24,0.21,34.77%,Call,8,02/26/21,02/08/21,22.19%
XLI|20210226|87.50C,XLI,87.50,+2.73%,0.55,2.95,5.35,1.64,-0.90,-35.43%,1,2,0.50,26.89%,Call,8,02/26/21,02/01/21,22.19%
XLI|20210226|88.00C,XLI,88.00,+2.18%,0.46,2.73,5.00,2.70,0.13,+5.06%,3,12,0.25,30.00%,Call,8,02/26/21,02/12/21,22.19%
XLI|20210226|88.50C,XLI,88.50,+1.62%,0.40,2.63,4.85,2.15,0.19,+9.69%,4,7,0.57,34.50%,Call,8,02/26/21,02/08/21,22.19%
XLI|20210226|89.00C,XLI,89.00,+1.07%,0.32,1.98,3.65,1.86,0.21,+12.73%,1,2,0.50,27.82%,Call,8,02/26/21,02/05/21,22.19%
XLI|20210226|89.50C,XLI,89.50,+0.51%,0.27,1.81,3.35,1.73,-0.13,-6.99%,1,36,0.03,29.87%,Call,8,02/26/21,02/12/21,22.19%
XLI|20210226|90.00C,XLI,90.00,-0.04%,0.22,1.11,2.00,1.16,-0.55,-32.16%,7,29,0.24,22.44%,Call,8,02/26/21,02/17/21,22.19%
XLI|20210226|90.50C,XLI,90.50,-0.60%,0.17,1.52,2.86,1.15,-0.30,-20.69%,1,8,0.13,33.47%,Call,8,02/26/21,02/16/21,22.19%
XLI|20210226|91.00C,XLI,91.00,-1.16%,0.13,1.42,2.70,1.03,0.05,+5.10%,20,66,0.30,35.57%,Call,8,02/26/21,02/16/21,22.19%
XLI|20210226|91.50C,XLI,91.50,-1.71%,0.04,0.35,0.66,0.54,-0.24,-30.77%,4,104,0.04,21.62%,Call,8,02/26/21,02/17/21,22.19%
XLI|20210226|92.00C,XLI,92.00,-2.27%,0.17,0.42,0.67,0.40,-0.19,-32.20%,15,53,0.28,21.40%,Call,8,02/26/21,02/17/21,22.19%
XLI|20210226|92.50C,XLI,92.50,-2.82%,0.05,1.01,1.97,0.30,-0.19,-38.78%,1,71,0.01,21.49%,Call,8,02/26/21,02/17/21,22.19%
XLI|20210226|93.00C,XLI,93.00,-3.38%,0.03,0.85,1.66,0.24,-0.20,-45.45%,35,1,35.00,22.17%,Call,8,02/26/21,02/17/21,22.19%
XLI|20210226|93.50C,XLI,93.50,-3.94%,0.01,0.74,1.47,1.05,1.05,unch,3,3,1.00,37.81%,Call,8,02/26/21,01/19/21,22.19%
XLI|20210226|94.00C,XLI,94.00,-4.49%,0.07,0.75,1.43,0.19,-0.06,-24.00%,21,30,0.70,40.77%,Call,8,02/26/21,02/16/21,22.19%
XLI|20210226|94.50C,XLI,94.50,-5.05%,0.04,0.74,1.43,0.48,-0.29,-37.66%,14,1,14.00,43.05%,Call,8,02/26/21,01/22/21,22.19%
XLI|20210226|95.00C,XLI,95.00,-5.60%,0.01,0.71,1.40,0.14,0.03,+27.27%,1,15,0.07,44.85%,Call,8,02/26/21,02/16/21,22.19%
XLI|20210226|95.50C,XLI,95.50,-6.16%,0.01,0.70,1.38,0.90,0.90,unch,8,8,1.00,47.07%,Call,8,02/26/21,01/07/21,22.19%
XLI|20210226|96.00C,XLI,96.00,-6.71%,0.01,0.69,1.36,0.50,-1.46,-74.49%,14,14,1.00,49.22%,Call,8,02/26/21,01/20/21,22.19%
XLI|20210226|96.50C,XLI,96.50,-7.27%,0.01,0.68,1.35,0.00,0.00,unch,0,0,0.00,0.00%,Call,8,02/26/21,N/A,22.19%
XLI|20210226|97.00C,XLI,97.00,-7.83%,0.01,0.68,1.34,0.30,0.30,unch,1,1,1.00,0.00%,Call,8,02/26/21,01/21/21,22.19%
XLI|20210226|100.00C,XLI,100.00,-11.16%,0.02,0.67,1.32,0.22,-0.05,-18.52%,3,1,3.00,0.00%,Call,8,02/26/21,01/13/21,22.19%
