Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLI|20210312|87.50C,XLI,87.50,+4.14%,2.00,4.40,6.80,2.65,0.44,+19.91%,10,11,0.91,37.51%,Call,8,03/12/21,02/03/21,31.39%
XLI|20210312|88.00C,XLI,88.00,+3.59%,1.50,3.93,6.35,4.12,-0.03,-0.72%,3,7,0.43,39.73%,Call,8,03/12/21,03/04/21,31.39%
XLI|20210312|88.50C,XLI,88.50,+3.05%,1.21,3.61,6.00,4.30,4.30,unch,4,0,0.00,50.91%,Call,8,03/12/21,03/04/21,31.39%
XLI|20210312|89.00C,XLI,89.00,+2.50%,0.54,2.97,5.40,4.82,0.52,+12.09%,2,6,0.33,29.95%,Call,8,03/12/21,03/01/21,31.39%
XLI|20210312|89.50C,XLI,89.50,+1.95%,0.50,2.85,5.20,3.60,0.53,+17.26%,1,30,0.03,49.27%,Call,8,03/12/21,03/04/21,31.39%
XLI|20210312|90.00C,XLI,90.00,+1.40%,0.20,2.60,5.00,3.75,-0.35,-8.54%,10,24,0.42,35.63%,Call,8,03/12/21,03/01/21,31.39%
XLI|20210312|90.50C,XLI,90.50,+0.85%,0.20,2.60,5.00,1.91,-0.14,-6.83%,35,42,0.83,27.99%,Call,8,03/12/21,03/04/21,31.39%
XLI|20210312|91.00C,XLI,91.00,+0.31%,0.05,2.53,5.00,2.83,-0.01,-0.35%,31,60,0.52,44.51%,Call,8,03/12/21,03/03/21,31.39%
XLI|20210312|91.50C,XLI,91.50,-0.24%,0.05,2.48,4.90,1.47,-1.06,-41.90%,1,31,0.03,29.45%,Call,8,03/12/21,03/04/21,31.39%
XLI|20210312|92.00C,XLI,92.00,-0.79%,0.05,2.53,5.00,1.12,-1.01,-47.42%,28,93,0.30,27.03%,Call,8,03/12/21,03/04/21,31.39%
XLI|20210312|92.50C,XLI,92.50,-1.34%,0.20,1.10,2.00,1.25,-0.59,-32.07%,40,65,0.62,33.26%,Call,8,03/12/21,03/04/21,31.39%
XLI|20210312|93.50C,XLI,93.50,-2.43%,0.04,2.52,5.00,0.50,-0.79,-61.24%,7,80,0.09,24.43%,Call,8,03/12/21,03/04/21,31.39%
XLI|20210312|94.00C,XLI,94.00,-2.98%,0.25,2.63,5.00,1.03,-0.12,-10.43%,5,259,0.02,38.88%,Call,8,03/12/21,03/04/21,31.39%
XLI|20210312|95.00C,XLI,95.00,-4.08%,0.02,2.51,5.00,0.33,-0.43,-56.58%,32,29,1.10,27.71%,Call,8,03/12/21,03/04/21,31.39%
XLI|20210312|96.00C,XLI,96.00,-5.17%,0.05,0.33,0.60,0.22,-0.21,-48.84%,5,10,0.50,28.47%,Call,8,03/12/21,03/04/21,31.39%
XLI|20210312|96.50C,XLI,96.50,-5.72%,0.01,2.51,5.00,0.41,0.13,+46.43%,2,2,1.00,84.24%,Call,8,03/12/21,03/03/21,31.39%
XLI|20210312|97.00C,XLI,97.00,-6.27%,0.03,2.52,5.00,0.30,0.15,+100.00%,5,38,0.13,87.45%,Call,8,03/12/21,03/03/21,31.39%
XLI|20210312|98.00C,XLI,98.00,-7.36%,0.03,2.52,5.00,0.24,0.24,unch,3,3,1.00,0.00%,Call,8,03/12/21,02/25/21,31.39%
