Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV","20D His Vol"
XLI|20210319|40.00C,XLI,40.00,+58.11%,53.05,55.53,58.00,0.00,0.00,unch,0,0,0.00,254.27%,Call,7,03/19/21,N/A,27.40%,18.69%
XLI|20210319|45.00C,XLI,45.00,+52.87%,48.05,50.53,53.00,0.00,0.00,unch,0,0,0.00,222.08%,Call,7,03/19/21,N/A,27.40%,18.69%
XLI|20210319|49.00C,XLI,49.00,+48.69%,44.00,46.48,48.95,0.00,0.00,unch,0,0,0.00,423.27%,Call,7,03/19/21,N/A,27.40%,18.69%
XLI|20210319|50.00C,XLI,50.00,+47.64%,43.05,45.53,48.00,38.20,-0.99,-2.53%,2,2,1.00,193.22%,Call,7,03/19/21,12/16/20,27.40%,18.69%
XLI|20210319|51.00C,XLI,51.00,+46.59%,42.00,44.48,46.95,0.00,0.00,unch,0,0,0.00,402.68%,Call,7,03/19/21,N/A,27.40%,18.69%
XLI|20210319|52.00C,XLI,52.00,+45.54%,41.05,43.53,46.00,0.00,0.00,unch,0,0,0.00,182.46%,Call,7,03/19/21,N/A,27.40%,18.69%
XLI|20210319|53.00C,XLI,53.00,+44.50%,40.00,42.48,44.95,0.00,0.00,unch,0,0,0.00,382.88%,Call,7,03/19/21,N/A,27.40%,18.69%
XLI|20210319|54.00C,XLI,54.00,+43.45%,39.05,41.53,44.00,35.20,14.31,+68.50%,4,4,1.00,172.08%,Call,7,03/19/21,12/04/20,27.40%,18.69%
XLI|20210319|55.00C,XLI,55.00,+42.40%,38.05,40.50,42.95,29.88,4.38,+17.18%,5,3,1.67,151.27%,Call,7,03/19/21,11/11/20,27.40%,18.69%
XLI|20210319|56.00C,XLI,56.00,+41.36%,37.00,39.48,41.95,0.00,0.00,unch,0,0,0.00,354.51%,Call,7,03/19/21,N/A,27.40%,18.69%
XLI|20210319|57.00C,XLI,57.00,+40.31%,36.05,38.53,41.00,0.00,0.00,unch,0,0,0.00,157.16%,Call,7,03/19/21,N/A,27.40%,18.69%
XLI|20210319|58.00C,XLI,58.00,+39.26%,35.05,37.53,40.00,0.00,0.00,unch,0,0,0.00,152.35%,Call,7,03/19/21,N/A,27.40%,18.69%
XLI|20210319|59.00C,XLI,59.00,+38.21%,34.05,36.53,39.00,21.30,1.79,+9.17%,5,4,1.25,147.62%,Call,7,03/19/21,10/06/20,27.40%,18.69%
XLI|20210319|60.00C,XLI,60.00,+37.17%,33.00,35.48,37.95,33.08,3.70,+12.59%,1,6,0.17,318.82%,Call,7,03/19/21,03/04/21,27.40%,18.69%
XLI|20210319|61.00C,XLI,61.00,+36.12%,32.20,34.60,37.00,17.89,17.89,unch,3,3,1.00,158.19%,Call,7,03/19/21,08/12/20,27.40%,18.69%
XLI|20210319|62.00C,XLI,62.00,+35.07%,31.20,33.60,36.00,0.00,0.00,unch,0,0,0.00,153.12%,Call,7,03/19/21,N/A,27.40%,18.69%
XLI|20210319|63.00C,XLI,63.00,+34.02%,30.05,32.53,35.00,22.78,4.36,+23.67%,4,11,0.36,129.37%,Call,7,03/19/21,11/13/20,27.40%,18.69%
XLI|20210319|64.00C,XLI,64.00,+32.98%,29.05,31.53,34.00,13.92,13.92,unch,1,1,1.00,124.97%,Call,7,03/19/21,08/20/20,27.40%,18.69%
XLI|20210319|65.00C,XLI,65.00,+31.93%,28.05,30.53,33.00,26.38,3.47,+15.15%,1,1,1.00,120.63%,Call,7,03/19/21,02/26/21,27.40%,18.69%
XLI|20210319|66.00C,XLI,66.00,+30.88%,27.05,29.53,32.00,14.46,4.26,+41.76%,2,3,0.67,116.34%,Call,7,03/19/21,10/05/20,27.40%,18.69%
XLI|20210319|67.00C,XLI,67.00,+29.84%,26.05,28.53,31.00,0.00,0.00,unch,0,0,0.00,112.11%,Call,7,03/19/21,N/A,27.40%,18.69%
XLI|20210319|68.00C,XLI,68.00,+28.79%,25.05,27.53,30.00,20.30,0.98,+5.07%,2,12,0.17,107.92%,Call,7,03/19/21,12/01/20,27.40%,18.69%
