Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLK|20210312|110.00C,XLK,110.00,+13.08%,16.00,17.50,19.00,17.00,17.00,unch,109,0,0.00,68.54%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|115.00C,XLK,115.00,+9.13%,9.70,12.10,14.50,11.70,-3.48,-22.92%,4,4,1.00,39.79%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|120.00C,XLK,120.00,+5.18%,5.00,7.35,9.70,10.28,-1.32,-11.38%,1,5,0.20,41.45%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|124.00C,XLK,124.00,+2.02%,3.20,4.35,5.50,6.75,-4.30,-38.91%,1,1,1.00,39.28%,Call,8,03/12/21,03/03/21,32.97%
XLK|20210312|125.00C,XLK,125.00,+1.23%,2.33,3.52,4.70,3.50,-3.88,-52.57%,2,45,0.04,35.81%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|125.50C,XLK,125.50,+0.84%,1.73,3.84,5.95,7.30,-0.27,-3.57%,5,7,0.71,44.27%,Call,8,03/12/21,02/24/21,32.97%
XLK|20210312|126.00C,XLK,126.00,+0.44%,2.07,3.01,3.95,2.51,-3.98,-61.33%,11,2,5.50,29.91%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|126.50C,XLK,126.50,+0.05%,1.82,2.76,3.70,2.50,2.50,unch,2,0,0.00,33.20%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|127.00C,XLK,127.00,-0.35%,1.40,2.72,4.05,1.95,-3.08,-61.23%,9,14,0.64,29.02%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|127.50C,XLK,127.50,-0.74%,1.34,2.22,3.10,1.62,1.62,unch,20,0,0.00,27.53%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|128.00C,XLK,128.00,-1.14%,0.71,2.86,5.00,1.90,-5.26,-73.46%,53,1,53.00,34.12%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|128.50C,XLK,128.50,-1.53%,0.30,2.45,4.60,2.51,-4.59,-64.65%,4,1,4.00,45.17%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|129.00C,XLK,129.00,-1.93%,0.69,1.99,3.30,1.26,-1.59,-55.79%,22,15,1.47,30.25%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|129.50C,XLK,129.50,-2.32%,0.31,1.36,2.40,1.12,-1.36,-54.84%,5,22,0.23,30.48%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|130.00C,XLK,130.00,-2.72%,0.40,1.00,1.60,1.07,-1.29,-54.66%,16,111,0.14,31.90%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|130.50C,XLK,130.50,-3.11%,0.25,1.09,1.93,0.88,-1.07,-54.87%,67,35,1.91,30.94%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|131.00C,XLK,131.00,-3.51%,0.19,0.96,1.72,1.34,-0.26,-16.25%,1,46,0.02,40.36%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|131.50C,XLK,131.50,-3.90%,0.03,0.77,1.51,0.61,-0.90,-59.60%,4,49,0.08,29.96%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|132.00C,XLK,132.00,-4.30%,0.07,0.42,0.77,0.47,-0.82,-63.57%,7,22,0.32,28.87%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|132.50C,XLK,132.50,-4.69%,0.04,0.46,0.88,0.34,-0.81,-70.43%,1,22,0.05,27.49%,Call,8,03/12/21,03/04/21,32.97%
XLK|20210312|110.00P,XLK,110.00,-13.08%,0.07,0.20,0.32,0.22,0.12,+120.00%,14,9,1.56,58.07%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|115.00P,XLK,115.00,-9.13%,0.07,0.32,0.58,0.50,0.25,+100.00%,61,20,3.05,52.67%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|120.00P,XLK,120.00,-5.18%,0.49,0.85,1.20,0.90,0.52,+136.84%,68,"1,610",0.04,43.22%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|124.00P,XLK,124.00,-2.02%,0.52,1.64,2.76,2.08,1.39,+201.45%,1,8,0.13,43.11%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|125.00P,XLK,125.00,-1.23%,0.87,1.87,2.86,2.07,0.87,+72.50%,40,"1,607",0.02,37.31%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|125.50P,XLK,125.50,-0.84%,0.87,2.94,5.00,2.30,1.26,+121.15%,5,73,0.07,37.46%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|126.00P,XLK,126.00,-0.44%,1.55,2.06,2.56,2.41,1.47,+156.38%,25,107,0.23,35.80%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|126.50P,XLK,126.50,-0.05%,1.36,2.36,3.35,2.60,1.28,+96.97%,11,23,0.48,35.04%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|127.00P,XLK,127.00,+0.35%,1.20,2.80,4.40,2.83,1.68,+146.09%,107,45,2.38,34.62%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|127.50P,XLK,127.50,+0.74%,1.60,2.78,3.95,2.24,0.48,+27.27%,11,71,0.15,22.87%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|128.00P,XLK,128.00,+1.14%,1.16,3.26,5.35,2.56,0.76,+42.22%,4,192,0.02,23.03%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|128.50P,XLK,128.50,+1.53%,1.59,3.75,5.90,2.08,0.71,+51.82%,16,43,0.37,9.31%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|129.00P,XLK,129.00,+1.93%,1.73,4.04,6.35,4.70,3.00,+176.47%,12,64,0.19,44.06%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|129.50P,XLK,129.50,+2.32%,1.72,4.06,6.40,4.85,2.61,+116.52%,14,18,0.78,41.66%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|130.00P,XLK,130.00,+2.72%,2.00,4.35,6.70,4.80,2.48,+106.90%,2,71,0.03,35.98%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|130.50P,XLK,130.50,+3.11%,3.15,5.08,7.00,2.57,-0.12,-4.46%,10,46,0.22,34.69%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|131.00P,XLK,131.00,+3.51%,3.45,4.93,6.40,5.34,2.59,+94.18%,23,62,0.37,32.87%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|131.50P,XLK,131.50,+3.90%,3.20,5.18,7.15,3.43,1.73,+101.76%,10,17,0.59,21.10%,Put,8,03/12/21,03/03/21,32.97%
XLK|20210312|132.00P,XLK,132.00,+4.30%,3.50,5.75,8.00,5.60,2.62,+87.92%,1,32,0.03,20.17%,Put,8,03/12/21,03/04/21,32.97%
XLK|20210312|132.50P,XLK,132.50,+4.69%,4.00,5.98,7.95,6.92,4.56,+193.22%,12,38,0.32,39.97%,Put,8,03/12/21,03/04/21,32.97%
"Downloaded from Barchart.com as of 03-05-2021 08:29am CST"
