Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLK|20210312|70.00C,XLK,70.00,+45.72%,56.60,59.05,61.50,0.00,0.00,unch,0,0,0.00,197.07%,Call,7,03/12/21,N/A,28.81%
XLK|20210312|75.00C,XLK,75.00,+41.84%,51.60,54.05,56.50,0.00,0.00,unch,0,0,0.00,176.83%,Call,7,03/12/21,N/A,28.81%
XLK|20210312|80.00C,XLK,80.00,+37.96%,46.60,49.05,51.50,0.00,0.00,unch,0,0,0.00,157.80%,Call,7,03/12/21,N/A,28.81%
XLK|20210312|85.00C,XLK,85.00,+34.08%,41.60,44.05,46.50,0.00,0.00,unch,0,0,0.00,139.81%,Call,7,03/12/21,N/A,28.81%
XLK|20210312|90.00C,XLK,90.00,+30.21%,36.60,39.05,41.50,38.60,38.60,unch,1,0,0.00,241.31%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|95.00C,XLK,95.00,+26.33%,31.50,33.95,36.40,0.00,0.00,unch,0,0,0.00,73.74%,Call,7,03/12/21,N/A,28.81%
XLK|20210312|100.00C,XLK,100.00,+22.45%,26.50,28.90,31.30,0.00,0.00,unch,0,0,0.00,182.86%,Call,7,03/12/21,N/A,28.81%
XLK|20210312|105.00C,XLK,105.00,+18.57%,21.50,23.85,26.20,0.00,0.00,unch,0,0,0.00,155.43%,Call,7,03/12/21,N/A,28.81%
XLK|20210312|110.00C,XLK,110.00,+14.70%,17.10,18.98,20.85,18.70,1.70,+10.00%,13,121,0.11,123.07%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|115.00C,XLK,115.00,+10.82%,11.50,13.80,16.10,12.01,0.31,+2.65%,2,3,0.67,104.83%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|120.00C,XLK,120.00,+6.94%,7.00,9.25,11.50,9.35,-0.93,-9.05%,4,10,0.40,43.19%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|124.00C,XLK,124.00,+3.84%,4.45,5.90,7.35,6.75,-4.30,-38.91%,1,1,1.00,39.53%,Call,7,03/12/21,03/03/21,28.81%
XLK|20210312|125.00C,XLK,125.00,+3.06%,3.65,4.98,6.30,4.25,0.75,+21.43%,5,46,0.11,22.12%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|125.50C,XLK,125.50,+2.68%,3.30,4.55,5.80,2.50,-4.80,-65.75%,2,7,0.29,35.05%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|126.00C,XLK,126.00,+2.29%,2.38,3.86,5.35,4.31,1.80,+71.71%,12,10,1.20,36.70%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|126.50C,XLK,126.50,+1.90%,2.37,3.74,5.10,3.80,1.30,+52.00%,5,2,2.50,33.88%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|127.00C,XLK,127.00,+1.51%,2.15,3.25,4.35,3.60,1.65,+84.62%,14,22,0.64,35.61%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|127.50C,XLK,127.50,+1.12%,2.04,2.62,3.20,2.15,0.53,+32.72%,13,16,0.81,18.52%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|128.00C,XLK,128.00,+0.74%,2.40,3.05,3.70,2.65,0.75,+39.47%,47,58,0.81,30.33%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|128.50C,XLK,128.50,+0.35%,0.78,2.29,3.80,2.23,-0.28,-11.16%,7,5,1.40,28.23%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|129.00C,XLK,129.00,-0.04%,0.96,1.87,2.77,2.10,0.84,+66.67%,97,34,2.85,29.96%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|129.50C,XLK,129.50,-0.43%,0.67,1.58,2.48,1.90,0.78,+69.64%,4,27,0.15,30.44%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|130.00C,XLK,130.00,-0.81%,0.91,1.23,1.55,1.55,0.48,+44.86%,183,118,1.55,28.53%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|130.50C,XLK,130.50,-1.20%,0.54,1.20,1.86,1.00,0.12,+13.64%,25,88,0.28,23.29%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|131.00C,XLK,131.00,-1.59%,0.44,0.80,1.16,1.09,-0.25,-18.66%,14,52,0.27,27.20%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|131.50C,XLK,131.50,-1.98%,0.30,0.85,1.40,0.95,0.34,+55.74%,13,50,0.26,27.45%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|132.00C,XLK,132.00,-2.37%,0.22,0.71,1.19,0.74,0.27,+57.45%,19,26,0.73,26.25%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|132.50C,XLK,132.50,-2.75%,0.12,0.56,1.00,0.67,0.33,+97.06%,9,28,0.32,27.13%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|133.00C,XLK,133.00,-3.14%,0.06,0.59,1.12,0.43,0.19,+79.17%,48,69,0.70,24.43%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|133.50C,XLK,133.50,-3.53%,0.04,0.37,0.70,0.35,0.15,+75.00%,16,17,0.94,24.44%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|134.00C,XLK,134.00,-3.92%,0.03,0.18,0.33,0.27,0.01,+3.85%,207,49,4.22,24.12%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|134.50C,XLK,134.50,-4.30%,0.06,0.27,0.48,0.24,-0.55,-69.62%,26,32,0.81,24.87%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|135.00C,XLK,135.00,-4.69%,0.05,0.11,0.18,0.15,0.01,+7.14%,7,45,0.16,23.40%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|135.50C,XLK,135.50,-5.08%,0.01,0.23,0.45,0.14,-0.42,-75.00%,6,16,0.38,27.61%,Call,7,03/12/21,03/04/21,28.81%
XLK|20210312|136.00C,XLK,136.00,-5.47%,0.01,0.09,0.17,0.15,-0.03,-16.67%,5,59,0.08,26.19%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|136.50C,XLK,136.50,-5.85%,0.03,0.10,0.17,0.10,0.00,unch,1,23,0.04,25.25%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|137.00C,XLK,137.00,-6.24%,0.01,0.06,0.10,0.09,-0.11,-55.00%,1,38,0.03,23.71%,Call,7,03/12/21,03/04/21,28.81%
XLK|20210312|137.50C,XLK,137.50,-6.63%,0.01,0.17,0.33,0.08,-0.11,-57.89%,1,51,0.02,26.60%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|138.00C,XLK,138.00,-7.02%,0.01,0.09,0.17,0.03,-0.10,-76.92%,1,100,0.01,23.62%,Call,7,03/12/21,03/05/21,28.81%
XLK|20210312|138.50C,XLK,138.50,-7.41%,0.01,0.18,0.34,0.16,-0.22,-57.89%,48,55,0.87,33.96%,Call,7,03/12/21,03/03/21,28.81%
