Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV","20D His Vol"
XLK|20210416|65.00C,XLK,65.00,+50.54%,64.00,66.48,68.95,0.00,0.00,unch,0,0,0.00,101.53%,Call,34,04/16/21,N/A,27.44%,29.78%
XLK|20210416|70.00C,XLK,70.00,+46.73%,59.00,61.48,63.95,0.00,0.00,unch,0,0,0.00,91.76%,Call,34,04/16/21,N/A,27.44%,29.78%
XLK|20210416|75.00C,XLK,75.00,+42.93%,54.00,56.48,58.95,0.00,0.00,unch,0,0,0.00,82.63%,Call,34,04/16/21,N/A,27.44%,29.78%
XLK|20210416|80.00C,XLK,80.00,+39.12%,49.00,51.48,53.95,0.00,0.00,unch,0,0,0.00,74.05%,Call,34,04/16/21,N/A,27.44%,29.78%
XLK|20210416|85.00C,XLK,85.00,+35.32%,44.00,46.48,48.95,0.00,0.00,unch,0,0,0.00,65.95%,Call,34,04/16/21,N/A,27.44%,29.78%
XLK|20210416|90.00C,XLK,90.00,+31.51%,39.00,41.48,43.95,40.95,-0.42,-1.02%,1,1,1.00,113.73%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|95.00C,XLK,95.00,+27.71%,34.45,36.55,38.65,36.18,36.18,unch,20,0,0.00,97.56%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|100.00C,XLK,100.00,+23.90%,29.00,31.40,33.80,30.00,-1.60,-5.06%,11,15,0.73,87.92%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|105.00C,XLK,105.00,+20.10%,24.00,26.38,28.75,23.05,0.77,+3.46%,2,11,0.18,76.08%,Call,34,04/16/21,03/05/21,27.44%,29.78%
XLK|20210416|110.00C,XLK,110.00,+16.29%,20.20,21.95,23.70,21.30,-1.68,-7.31%,22,60,0.37,64.56%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|115.00C,XLK,115.00,+12.49%,14.50,16.90,19.30,17.00,-0.95,-5.29%,10,32,0.31,34.90%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|120.00C,XLK,120.00,+8.68%,10.80,12.53,14.25,12.33,-1.07,-7.99%,17,"1,556",0.01,30.18%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|121.00C,XLK,121.00,+7.92%,10.75,12.03,13.30,11.39,1.75,+18.15%,4,4,1.00,28.93%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|122.00C,XLK,122.00,+7.16%,8.70,10.68,12.65,10.30,-1.31,-11.28%,2,13,0.15,26.15%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|123.00C,XLK,123.00,+6.40%,8.00,9.95,11.90,9.27,0.57,+6.55%,1,7,0.14,30.05%,Call,34,04/16/21,03/10/21,27.44%,29.78%
XLK|20210416|124.00C,XLK,124.00,+5.64%,7.50,9.18,10.85,10.35,-0.18,-1.71%,2,1,2.00,29.73%,Call,34,04/16/21,02/24/21,27.44%,29.78%
XLK|20210416|125.00C,XLK,125.00,+4.88%,6.35,8.25,10.15,8.06,0.61,+8.19%,5,55,0.09,26.64%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|126.00C,XLK,126.00,+4.12%,5.65,7.58,9.50,7.47,-0.53,-6.63%,4,60,0.07,27.43%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|127.00C,XLK,127.00,+3.36%,5.00,6.85,8.70,6.40,-1.46,-18.58%,10,102,0.10,24.56%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|128.00C,XLK,128.00,+2.59%,4.60,5.68,6.75,6.20,-0.50,-7.46%,1,64,0.02,27.50%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|129.00C,XLK,129.00,+1.83%,3.65,5.55,7.45,5.75,1.20,+26.37%,1,41,0.02,27.08%,Call,34,04/16/21,03/10/21,27.44%,29.78%
XLK|20210416|130.00C,XLK,130.00,+1.07%,4.00,4.63,5.25,4.80,-0.90,-15.79%,51,"1,578",0.03,25.82%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|131.00C,XLK,131.00,+0.31%,2.70,4.53,6.35,4.35,-0.90,-17.14%,18,111,0.16,26.24%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|132.00C,XLK,132.00,-0.45%,2.52,3.99,5.45,3.94,-0.53,-11.86%,33,543,0.06,26.66%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|133.00C,XLK,133.00,-1.21%,2.20,3.68,5.15,3.20,-0.75,-18.99%,10,243,0.04,24.77%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|134.00C,XLK,134.00,-1.97%,2.34,2.97,3.60,2.60,-0.94,-26.55%,1,266,0.00,23.48%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|135.00C,XLK,135.00,-2.73%,2.10,2.50,2.90,2.48,-0.44,-15.07%,35,259,0.14,25.04%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|136.00C,XLK,136.00,-3.49%,1.08,2.29,3.50,2.00,-0.50,-20.00%,14,220,0.06,23.99%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|137.00C,XLK,137.00,-4.25%,1.26,1.88,2.50,1.76,-0.27,-13.30%,7,146,0.05,24.33%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|138.00C,XLK,138.00,-5.01%,1.25,1.71,2.17,1.36,-0.49,-26.49%,15,365,0.04,23.21%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|139.00C,XLK,139.00,-5.78%,1.15,1.27,1.39,1.28,-0.27,-17.42%,2,191,0.01,24.34%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|140.00C,XLK,140.00,-6.54%,0.62,1.07,1.52,1.07,-0.19,-15.08%,14,612,0.02,24.22%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|141.00C,XLK,141.00,-7.30%,0.22,0.65,1.08,1.10,0.43,+64.18%,12,52,0.23,21.70%,Call,34,04/16/21,03/11/21,27.44%,29.78%
XLK|20210416|142.00C,XLK,142.00,-8.06%,0.13,0.67,1.21,0.67,-0.19,-22.09%,1,115,0.01,23.35%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|143.00C,XLK,143.00,-8.82%,0.27,0.52,0.77,0.69,0.17,+32.69%,3,30,0.10,22.96%,Call,34,04/16/21,03/11/21,27.44%,29.78%
XLK|20210416|144.00C,XLK,144.00,-9.58%,0.09,0.60,1.11,0.47,0.09,+23.68%,1,93,0.01,25.27%,Call,34,04/16/21,03/09/21,27.44%,29.78%
XLK|20210416|145.00C,XLK,145.00,-10.34%,0.07,0.30,0.53,0.43,-0.02,-4.44%,16,452,0.04,24.29%,Call,34,04/16/21,03/12/21,27.44%,29.78%
XLK|20210416|146.00C,XLK,146.00,-11.10%,0.05,0.58,1.11,0.38,-0.01,-2.56%,4,88,0.05,24.74%,Call,34,04/16/21,03/12/21,27.44%,29.78%
