Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLP|20210212|55.00C,XLP,55.00,+16.36%,10.20,10.65,11.10,0.00,0.00,unch,0,0,0.00,97.27%,Call,7,02/12/21,N/A,10.94%
XLP|20210212|58.00C,XLP,58.00,+11.80%,7.15,7.65,8.15,0.00,0.00,unch,0,0,0.00,77.64%,Call,7,02/12/21,N/A,10.94%
XLP|20210212|59.00C,XLP,59.00,+10.28%,4.10,6.43,8.75,0.00,0.00,unch,0,0,0.00,134.10%,Call,7,02/12/21,N/A,10.94%
XLP|20210212|60.00C,XLP,60.00,+8.76%,5.10,5.65,6.20,0.00,0.00,unch,0,0,0.00,64.62%,Call,7,02/12/21,N/A,10.94%
XLP|20210212|60.50C,XLP,60.50,+8.00%,4.05,4.93,5.80,0.00,0.00,unch,0,0,0.00,65.16%,Call,7,02/12/21,N/A,10.94%
XLP|20210212|61.00C,XLP,61.00,+7.24%,3.45,4.65,5.85,0.00,0.00,unch,0,0,0.00,82.05%,Call,7,02/12/21,N/A,10.94%
XLP|20210212|61.50C,XLP,61.50,+6.48%,3.15,4.00,4.85,0.00,0.00,unch,0,0,0.00,58.74%,Call,7,02/12/21,N/A,10.94%
XLP|20210212|62.00C,XLP,62.00,+5.72%,2.71,3.53,4.35,0.00,0.00,unch,0,0,0.00,54.37%,Call,7,02/12/21,N/A,10.94%
XLP|20210212|62.50C,XLP,62.50,+4.96%,2.21,2.96,3.70,0.00,0.00,unch,0,0,0.00,44.17%,Call,7,02/12/21,N/A,10.94%
XLP|20210212|63.00C,XLP,63.00,+4.20%,1.84,2.45,3.05,0.00,0.00,unch,0,0,0.00,33.89%,Call,7,02/12/21,N/A,10.94%
XLP|20210212|63.50C,XLP,63.50,+3.44%,0.45,1.65,2.85,0.00,0.00,unch,0,1,0.00,40.75%,Call,7,02/12/21,N/A,10.94%
XLP|20210212|64.00C,XLP,64.00,+2.68%,1.11,1.67,2.22,1.77,0.47,+36.15%,1,9,0.11,10.95%,Call,7,02/12/21,02/05/21,10.94%
XLP|20210212|64.50C,XLP,64.50,+1.92%,0.50,1.21,1.91,0.74,0.01,+1.37%,5,3,1.67,32.78%,Call,7,02/12/21,02/03/21,10.94%
XLP|20210212|65.00C,XLP,65.00,+1.16%,0.39,0.83,1.27,1.04,0.58,+126.09%,3,"5,033",0.00,16.29%,Call,7,02/12/21,02/05/21,10.94%
XLP|20210212|65.50C,XLP,65.50,+0.40%,0.11,0.43,0.74,0.52,0.24,+85.71%,16,19,0.84,10.48%,Call,7,02/12/21,02/05/21,10.94%
XLP|20210212|66.00C,XLP,66.00,-0.36%,0.04,0.21,0.38,0.35,0.24,+218.18%,64,97,0.66,12.72%,Call,7,02/12/21,02/05/21,10.94%
XLP|20210212|66.50C,XLP,66.50,-1.13%,0.01,0.08,0.14,0.08,0.01,+14.29%,111,61,1.82,8.92%,Call,7,02/12/21,02/05/21,10.94%
XLP|20210212|67.00C,XLP,67.00,-1.89%,0.01,0.06,0.11,0.06,0.02,+50.00%,44,87,0.51,11.40%,Call,7,02/12/21,02/05/21,10.94%
XLP|20210212|67.50C,XLP,67.50,-2.65%,0.01,0.03,0.06,0.01,-0.44,-97.78%,1,143,0.01,9.94%,Call,7,02/12/21,02/05/21,10.94%
XLP|20210212|68.00C,XLP,68.00,-3.41%,0.01,0.03,0.06,0.16,0.05,+45.45%,11,28,0.39,0.00%,Call,7,02/12/21,01/25/21,10.94%
XLP|20210212|68.50C,XLP,68.50,-4.17%,0.01,0.03,0.05,0.23,0.23,unch,10,10,1.00,0.00%,Call,7,02/12/21,01/15/21,10.94%
XLP|20210212|69.00C,XLP,69.00,-4.93%,0.01,0.03,0.04,0.01,-0.01,-50.00%,8,21,0.38,16.57%,Call,7,02/12/21,02/05/21,10.94%
XLP|20210212|69.50C,XLP,69.50,-5.69%,0.01,0.03,0.05,0.00,0.00,unch,0,0,0.00,0.00%,Call,7,02/12/21,N/A,10.94%
XLP|20210212|70.00C,XLP,70.00,-6.45%,0.01,0.03,0.05,0.05,-0.21,-80.77%,1,13,0.08,0.00%,Call,7,02/12/21,02/04/21,10.94%
XLP|20210212|70.50C,XLP,70.50,-7.21%,0.01,0.03,0.05,0.00,0.00,unch,0,1,0.00,0.00%,Call,7,02/12/21,N/A,10.94%
XLP|20210212|71.00C,XLP,71.00,-7.97%,0.01,0.03,0.05,0.01,-0.15,-93.75%,1,2,0.50,0.00%,Call,7,02/12/21,02/04/21,10.94%
XLP|20210212|71.50C,XLP,71.50,-8.73%,0.01,0.03,0.05,0.01,0.01,unch,1,1,1.00,0.00%,Call,7,02/12/21,01/26/21,10.94%
