Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
40.00,+39.11%,24.35,25.60,26.85,0.00,0.00,unch,0,0,0.00,322.99%,Call,N/A
45.00,+31.50%,19.10,20.60,22.10,0.00,0.00,unch,0,0,0.00,278.57%,Call,N/A
50.00,+23.88%,14.15,15.58,17.00,0.00,0.00,unch,0,0,0.00,214.74%,Call,N/A
52.00,+20.84%,12.15,13.45,14.75,0.00,0.00,unch,0,0,0.00,179.22%,Call,N/A
53.00,+19.32%,11.20,12.58,13.95,0.00,0.00,unch,0,0,0.00,179.48%,Call,N/A
54.00,+17.80%,10.35,11.65,12.95,0.00,0.00,unch,0,0,0.00,168.86%,Call,N/A
55.00,+16.27%,9.30,10.65,12.00,0.00,0.00,unch,0,0,0.00,160.69%,Call,N/A
56.00,+14.75%,8.70,9.85,11.00,0.00,0.00,unch,0,0,0.00,81.82%,Call,N/A
57.00,+13.23%,7.25,8.85,10.45,10.30,10.30,unch,1,1,1.00,74.55%,Call,12/28/20
58.00,+11.71%,6.65,7.78,8.90,0.00,0.00,unch,0,0,0.00,59.52%,Call,N/A
59.00,+10.18%,4.75,6.28,7.80,0.00,0.00,unch,0,0,0.00,110.02%,Call,N/A
59.50,+9.42%,3.80,6.15,8.50,0.00,0.00,unch,0,0,0.00,150.28%,Call,N/A
60.00,+8.66%,3.80,5.65,7.50,6.15,0.18,+3.02%,10,10,1.00,126.28%,Call,02/09/21
60.50,+7.90%,3.30,5.03,6.75,4.05,4.05,unch,10,10,1.00,111.42%,Call,02/03/21
61.00,+7.14%,2.81,4.56,6.30,5.85,5.85,unch,2,2,1.00,107.55%,Call,01/04/21
61.50,+6.38%,2.92,4.09,5.25,0.00,0.00,unch,0,0,0.00,81.96%,Call,N/A
62.00,+5.62%,1.67,3.34,5.00,4.40,0.60,+15.79%,1,2,0.50,85.56%,Call,01/26/21
62.50,+4.86%,2.13,3.54,4.95,2.73,-0.22,-7.46%,1,1,1.00,43.66%,Call,02/04/21
63.00,+4.09%,0.85,2.75,4.65,2.75,0.04,+1.48%,10,82,0.12,23.75%,Call,02/12/21
63.50,+3.33%,0.64,2.05,3.45,1.85,0.35,+23.33%,1,5,0.20,66.58%,Call,02/04/21
