Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLP|20210409|59.00C,XLP,59.00,+7.13%,4.30,5.03,5.75,0.00,0.00,unch,0,0,0.00,27.50%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|59.50C,XLP,59.50,+6.34%,3.70,4.45,5.20,0.00,0.00,unch,0,0,0.00,24.17%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|60.00C,XLP,60.00,+5.56%,3.20,3.85,4.50,0.00,0.00,unch,0,0,0.00,20.39%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|60.50C,XLP,60.50,+4.77%,2.69,3.50,4.30,0.00,0.00,unch,0,0,0.00,21.00%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|61.00C,XLP,61.00,+3.98%,2.41,3.06,3.70,0.00,0.00,unch,0,0,0.00,19.87%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|61.50C,XLP,61.50,+3.20%,2.15,2.75,3.35,0.00,0.00,unch,0,0,0.00,20.53%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|62.00C,XLP,62.00,+2.41%,1.70,2.19,2.67,0.00,0.00,unch,0,0,0.00,17.26%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|62.50C,XLP,62.50,+1.62%,1.35,1.90,2.44,0.00,0.00,unch,0,0,0.00,17.55%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|63.00C,XLP,63.00,+0.83%,1.03,1.59,2.14,0.00,0.00,unch,0,0,0.00,17.20%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|63.50C,XLP,63.50,+0.05%,0.69,1.10,1.50,1.32,-0.13,-8.97%,10,11,0.91,17.07%,Call,37,04/09/21,03/03/21,15.91%
XLP|20210409|64.00C,XLP,64.00,-0.74%,0.68,1.01,1.34,0.87,-0.25,-22.32%,6,17,0.35,14.23%,Call,37,04/09/21,03/03/21,15.91%
XLP|20210409|64.50C,XLP,64.50,-1.53%,0.32,0.70,1.07,0.00,-1.11,-100.00%,0,0,0.00,14.40%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|65.00C,XLP,65.00,-2.31%,0.31,0.61,0.90,0.00,0.00,unch,0,0,0.00,15.35%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|65.50C,XLP,65.50,-3.10%,0.18,0.48,0.77,0.00,0.00,unch,0,0,0.00,15.41%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|66.00C,XLP,66.00,-3.89%,0.14,0.35,0.56,0.31,0.31,unch,7,0,0.00,14.46%,Call,37,04/09/21,03/03/21,15.91%
XLP|20210409|66.50C,XLP,66.50,-4.67%,0.03,0.24,0.44,0.00,0.00,unch,0,0,0.00,14.59%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|67.00C,XLP,67.00,-5.46%,0.03,0.19,0.35,0.00,0.00,unch,0,0,0.00,15.05%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|67.50C,XLP,67.50,-6.25%,0.02,0.13,0.23,0.00,0.00,unch,0,0,0.00,14.67%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|68.00C,XLP,68.00,-7.04%,0.01,0.14,0.26,0.00,0.00,unch,0,0,0.00,16.23%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|68.50C,XLP,68.50,-7.82%,0.01,0.12,0.22,0.00,0.00,unch,0,0,0.00,16.81%,Call,37,04/09/21,N/A,15.91%
XLP|20210409|59.00P,XLP,59.00,-7.13%,0.17,0.38,0.58,0.00,0.00,unch,0,0,0.00,22.66%,Put,37,04/09/21,N/A,15.91%
XLP|20210409|59.50P,XLP,59.50,-6.34%,0.14,0.41,0.68,0.00,0.00,unch,0,0,0.00,21.55%,Put,37,04/09/21,N/A,15.91%
XLP|20210409|60.00P,XLP,60.00,-5.56%,0.22,0.50,0.78,0.00,0.00,unch,0,0,0.00,21.33%,Put,37,04/09/21,N/A,15.91%
XLP|20210409|60.50P,XLP,60.50,-4.77%,0.19,0.55,0.90,0.00,0.00,unch,0,0,0.00,20.11%,Put,37,04/09/21,N/A,15.91%
XLP|20210409|61.00P,XLP,61.00,-3.98%,0.29,0.57,0.84,0.00,0.00,unch,0,0,0.00,18.38%,Put,37,04/09/21,N/A,15.91%
XLP|20210409|61.50P,XLP,61.50,-3.20%,0.38,0.93,1.48,0.00,0.00,unch,0,0,0.00,21.47%,Put,37,04/09/21,N/A,15.91%
XLP|20210409|62.00P,XLP,62.00,-2.41%,0.50,0.94,1.37,0.84,0.84,unch,1,0,0.00,17.83%,Put,37,04/09/21,03/03/21,15.91%
XLP|20210409|62.50P,XLP,62.50,-1.62%,0.74,1.19,1.63,0.87,0.14,+19.18%,1,1,1.00,15.70%,Put,37,04/09/21,03/03/21,15.91%
XLP|20210409|63.00P,XLP,63.00,-0.83%,0.77,1.33,1.89,1.20,1.20,unch,3,0,0.00,17.13%,Put,37,04/09/21,03/03/21,15.91%
XLP|20210409|63.50P,XLP,63.50,-0.05%,0.96,1.46,1.96,0.00,0.00,unch,0,0,0.00,17.27%,Put,37,04/09/21,N/A,15.91%
XLP|20210409|64.00P,XLP,64.00,+0.74%,1.40,1.96,2.52,1.67,0.33,+24.63%,8,17,0.47,16.42%,Put,37,04/09/21,03/03/21,15.91%
XLP|20210409|64.50P,XLP,64.50,+1.53%,1.36,2.12,2.88,0.00,-1.39,-100.00%,0,0,0.00,18.27%,Put,37,04/09/21,N/A,15.91%
XLP|20210409|65.00P,XLP,65.00,+2.31%,1.40,2.33,3.25,2.25,0.41,+22.28%,3,23,0.13,15.56%,Put,37,04/09/21,03/03/21,15.91%
XLP|20210409|65.50P,XLP,65.50,+3.10%,1.87,2.86,3.85,0.00,0.00,unch,0,0,0.00,19.14%,Put,37,04/09/21,N/A,15.91%
XLP|20210409|66.00P,XLP,66.00,+3.89%,2.33,3.17,4.00,2.77,-0.48,-14.77%,1,1,1.00,10.94%,Put,37,04/09/21,03/03/21,15.91%
XLP|20210409|66.50P,XLP,66.50,+4.67%,2.39,3.45,4.50,0.00,0.00,unch,0,0,0.00,16.11%,Put,37,04/09/21,N/A,15.91%
XLP|20210409|67.00P,XLP,67.00,+5.46%,2.87,3.89,4.90,0.00,0.00,unch,0,0,0.00,16.43%,Put,37,04/09/21,N/A,15.91%
XLP|20210409|67.50P,XLP,67.50,+6.25%,2.69,3.95,5.20,0.00,0.00,unch,0,0,0.00,31.69%,Put,37,04/09/21,N/A,15.91%
XLP|20210409|68.00P,XLP,68.00,+7.04%,2.91,4.26,5.60,0.00,0.00,unch,0,0,0.00,31.98%,Put,37,04/09/21,N/A,15.91%
XLP|20210409|68.50P,XLP,68.50,+7.82%,4.15,5.15,6.15,0.00,0.00,unch,0,0,0.00,11.51%,Put,37,04/09/21,N/A,15.91%
"Downloaded from Barchart.com as of 03-04-2021 12:18am CST"
