Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLP|20210416|50.00C,XLP,50.00,+23.05%,14.40,15.00,15.60,0.00,0.00,unch,0,0,0.00,42.81%,Call,38,04/16/21,N/A,15.82%
XLP|20210416|51.00C,XLP,51.00,+21.51%,13.30,13.98,14.65,0.00,0.00,unch,0,0,0.00,66.04%,Call,38,04/16/21,N/A,15.82%
XLP|20210416|52.00C,XLP,52.00,+19.98%,11.65,12.55,13.45,0.00,0.00,unch,0,0,0.00,56.80%,Call,38,04/16/21,N/A,15.82%
XLP|20210416|53.00C,XLP,53.00,+18.44%,11.45,11.93,12.40,0.00,0.00,unch,0,0,0.00,51.74%,Call,38,04/16/21,N/A,15.82%
XLP|20210416|54.00C,XLP,54.00,+16.90%,10.00,10.83,11.65,0.00,0.00,unch,0,0,0.00,54.41%,Call,38,04/16/21,N/A,15.82%
XLP|20210416|55.00C,XLP,55.00,+15.36%,9.25,10.03,10.80,0.00,0.00,unch,0,0,0.00,31.31%,Call,38,04/16/21,N/A,15.82%
XLP|20210416|56.00C,XLP,56.00,+13.82%,8.35,8.90,9.45,0.00,0.00,unch,0,0,0.00,42.31%,Call,38,04/16/21,N/A,15.82%
XLP|20210416|57.00C,XLP,57.00,+12.28%,7.45,8.05,8.65,0.00,0.00,unch,0,0,0.00,27.09%,Call,38,04/16/21,N/A,15.82%
XLP|20210416|58.00C,XLP,58.00,+10.74%,6.50,6.98,7.45,0.00,0.00,unch,0,0,0.00,35.11%,Call,38,04/16/21,N/A,15.82%
XLP|20210416|59.00C,XLP,59.00,+9.20%,5.50,6.03,6.55,0.00,0.00,unch,0,0,0.00,20.31%,Call,38,04/16/21,N/A,15.82%
XLP|20210416|60.00C,XLP,60.00,+7.66%,4.55,5.13,5.70,4.31,0.11,+2.62%,5,5,1.00,20.78%,Call,38,04/16/21,03/01/21,15.82%
XLP|20210416|61.00C,XLP,61.00,+6.12%,3.40,4.28,5.15,3.90,0.40,+11.43%,1,2,0.50,20.85%,Call,38,04/16/21,03/05/21,15.82%
XLP|20210416|62.00C,XLP,62.00,+4.59%,2.90,3.33,3.75,3.45,0.45,+15.00%,1,11,0.09,20.18%,Call,38,04/16/21,03/08/21,15.82%
XLP|20210416|63.00C,XLP,63.00,+3.05%,2.07,2.47,2.87,2.63,0.84,+46.93%,1,57,0.02,18.65%,Call,38,04/16/21,03/08/21,15.82%
XLP|20210416|64.00C,XLP,64.00,+1.51%,1.60,1.73,1.85,1.75,0.27,+18.24%,139,500,0.28,15.52%,Call,38,04/16/21,03/08/21,15.82%
XLP|20210416|65.00C,XLP,65.00,-0.03%,1.10,1.22,1.33,1.31,0.30,+29.70%,133,866,0.15,16.66%,Call,38,04/16/21,03/08/21,15.82%
XLP|20210416|66.00C,XLP,66.00,-1.57%,0.56,0.80,1.03,0.76,0.17,+28.81%,142,481,0.30,14.96%,Call,38,04/16/21,03/08/21,15.82%
